Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.000201,13.823005,[ 9 24] ; [29 12],[16.94594595 16.05405405] ; [21.05405405 19.94594595],1
n5,1,0.00108,10.684587,[ 8 25] ; [25 15],[14.91780822 18.08219178] ; [18.08219178 21.91780822],0
v4,1,0.00492,7.908429,[25  8] ; [39  1],[28.93150685  4.06849315] ; [35.06849315  4.93150685],0
p4,1,0.013111,6.154123,[11 22] ; [25 15],[16.2739726 16.7260274] ; [19.7260274 20.2739726],0
p6,1,0.013948,6.044729,[ 4 28] ; [15 24],[ 8.56338028 23.43661972] ; [10.43661972 28.56338028],0
p10,1,0.014306,6.0,[15 17] ; [30 10],[20. 12.] ; [25. 15.],0
p3,1,0.018073,5.589094,[ 8 24] ; [21 19],[12.88888889 19.11111111] ; [16.11111111 23.88888889],0
b3,1,0.0362,4.387676,[8 8] ; [ 5 21],[ 4.95238095 11.04761905] ; [ 8.04761905 17.95238095],0
b2,1,0.0362,4.387676,[8 8] ; [ 5 21],[ 4.95238095 11.04761905] ; [ 8.04761905 17.95238095],0
n4,1,0.039664,4.232218,[13 20] ; [26 15],[17.39189189 15.60810811] ; [21.60810811 19.39189189],0
p8,1,0.043878,4.06125,[10 22] ; [22 18],[14.22222222 17.77777778] ; [17.77777778 22.22222222],0
d4,1,0.052795,3.750396,[30  3] ; [30 11],[26.75675676  6.24324324] ; [33.24324324  7.75675676],0
a6,1,0.054411,3.70005,[17 16] ; [30 11],[20.95945946 12.04054054] ; [26.04054054 14.95945946],0
p2,1,0.068484,3.318992,[20 13] ; [32  8],[23.50684932  9.49315068] ; [28.49315068 11.50684932],0
n2,1,0.116613,2.462227,[7 5] ; [12  2],[8.76923077 3.23076923] ; [10.23076923  3.76923077],0
s7,1,0.143794,2.13688,[ 9 22] ; [18 21],[11.95714286 19.04285714] ; [15.04285714 23.95714286],0
a2,1,0.149668,2.075633,[ 2 31] ; [ 7 34],[ 4.01351351 28.98648649] ; [ 4.98648649 36.01351351],0
u3,1,0.210096,1.570767,[5 5] ; [7 2],[6.31578947 3.68421053] ; [5.68421053 3.31578947],0
a8,1,0.234431,1.41377,[ 1 29] ; [ 4 32],[ 2.27272727 27.72727273] ; [ 2.72727273 33.27272727],0
p11,1,0.238651,1.388543,[19 14] ; [29 12],[21.40540541 11.59459459] ; [26.59459459 14.40540541],0
n3,1,0.250478,1.320635,[8 4] ; [12  2],[9.23076923 2.76923077] ; [10.76923077  3.23076923],0
p5,1,0.251889,1.312797,[ 1 32] ; [ 4 37],[ 2.22972973 30.77027027] ; [ 2.77027027 38.22972973],0
u1,1,0.251889,1.312797,[ 1 32] ; [ 4 37],[ 2.22972973 30.77027027] ; [ 2.77027027 38.22972973],0
s4,1,0.31809,0.996785,[ 3 30] ; [ 7 34],[ 4.45945946 28.54054054] ; [ 5.54054054 35.45945946],0
p9,1,0.330152,0.948303,[20 12] ; [30 11],[21.91780822 10.08219178] ; [28.08219178 12.91780822],0
a4,1,0.378393,0.775917,[12 21] ; [11 30],[10.25675676 22.74324324] ; [12.74324324 28.25675676],0
s8,1,0.394968,0.723592,[ 9 24] ; [15 26],[10.7027027 22.2972973] ; [13.2972973 27.7027027],0
v3,1,0.395943,0.720613,[15 17] ; [14 24],[13.25714286 18.74285714] ; [15.74285714 22.25714286],0
a3,1,0.413643,0.668305,[23 10] ; [32  9],[24.52702703  8.47297297] ; [30.47297297 10.52702703],0
b5,1,0.439858,0.596654,[18 15] ; [26 15],[19.62162162 13.37837838] ; [24.37837838 16.62162162],0
b4,1,0.451291,0.567408,[19 14] ; [20 21],[17.39189189 15.60810811] ; [21.60810811 19.39189189],0
d5,1,0.471777,0.51781,[27  6] ; [36  5],[28.09459459  4.90540541] ; [34.90540541  6.09459459],0
d3,1,0.516915,0.420044,[21 12] ; [29 12],[22.2972973 10.7027027] ; [27.7027027 13.2972973],0
v1,1,0.518404,0.417067,[19 14] ; [20 20],[17.63013699 15.36986301] ; [21.36986301 18.63013699],0
r1,1,0.626051,0.237455,[25  7] ; [30 11],[24.10958904  7.89041096] ; [30.89041096 10.10958904],0
a5,1,0.62845,0.234168,[25  8] ; [29 12],[24.08108108  8.91891892] ; [29.91891892 11.08108108],0
s6,1,0.643819,0.213782,[17 15] ; [24 17],[17.97260274 14.02739726] ; [23.02739726 17.97260274],0
r2,1,0.689922,0.15917,[29  4] ; [33  6],[28.41666667  4.58333333] ; [33.58333333  5.41666667],0
d1,1,0.736138,0.11355,[19 14] ; [22 19],[18.28378378 14.71621622] ; [22.71621622 18.28378378],0
s2,1,0.767154,0.087675,[14 19] ; [16 25],[13.37837838 19.62162162] ; [16.62162162 24.37837838],0
