Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,2e-06,22.558764,[36  6] ; [1 9],[29.88461538 12.11538462] ; [7.11538462 2.88461538],1
d5,1,0.00236,9.245724,[38  4] ; [5 5],[34.73076923  7.26923077] ; [8.26923077 1.73076923],0
s5,1,0.077589,3.1147,[17 23] ; [1 8],[14.69387755 25.30612245] ; [3.30612245 5.69387755],0
d2,1,0.086041,2.946927,[21 21] ; [2 8],[18.57692308 23.42307692] ; [4.42307692 5.57692308],0
v3,1,0.093821,2.807562,[14 23] ; [1 9],[11.80851064 25.19148936] ; [3.19148936 6.80851064],0
s2,1,0.097075,2.752953,[28 13] ; [4 6],[25.7254902 15.2745098] ; [6.2745098 3.7254902],0
p8,1,0.122603,2.383746,[18 24] ; [7 3],[20.19230769 21.80769231] ; [4.80769231 5.19230769],0
a8,1,0.130467,2.28694,[ 4 33] ; [3 7],[ 5.5106383 31.4893617] ; [1.4893617 8.5106383],0
a4,1,0.143272,2.142462,[14 28] ; [1 9],[12.11538462 29.88461538] ; [2.88461538 7.11538462],0
b1,1,0.143792,2.136903,[23 19] ; [8 2],[25.03846154 16.96153846] ; [5.96153846 4.03846154],0
s3,1,0.172485,1.861213,[29 11] ; [5 5],[27.2 12.8] ; [6.8 3.2],0
r2,1,0.177106,1.82174,[38  3] ; [7 2],[36.9  4.1] ; [8.1 0.9],0
a7,1,0.194199,1.685474,[30 12] ; [5 5],[28.26923077 13.73076923] ; [6.73076923 3.26923077],0
b4,1,0.207646,1.587763,[26 16] ; [4 6],[24.23076923 17.76923077] ; [5.76923077 4.23076923],0
p1,1,0.215171,1.536292,[ 3 39] ; [2 8],[ 4.03846154 37.96153846] ; [0.96153846 9.03846154],0
s4,1,0.222883,1.485714,[12 30] ; [1 9],[10.5 31.5] ; [2.5 7.5],0
u3,1,0.263552,1.25,[15  1] ; [3 1],[14.4  1.6] ; [3.6 0.4],0
n5,1,0.263912,1.248119,[17 25] ; [6 4],[18.57692308 23.42307692] ; [4.42307692 5.57692308],0
p11,1,0.274786,1.192698,[31 11] ; [9 1],[32.30769231  9.69230769] ; [7.69230769 2.30769231],0
u2,1,0.288425,1.126961,[14  1] ; [3 1],[13.42105263  1.57894737] ; [3.57894737 0.42105263],0
p4,1,0.313359,1.016463,[22 20] ; [7 3],[23.42307692 18.57692308] ; [5.57692308 4.42307692],0
p6,1,0.341069,0.906411,[15 27] ; [2 8],[13.73076923 28.26923077] ; [3.26923077 6.73076923],0
a6,1,0.411635,0.674074,[28 14] ; [8 2],[29.07692308 12.92307692] ; [6.92307692 3.07692308],0
b2,1,0.471097,0.519401,[12 19] ; [2 6],[11.12820513 19.87179487] ; [2.87179487 5.12820513],0
b3,1,0.471097,0.519401,[12 19] ; [2 6],[11.12820513 19.87179487] ; [2.87179487 5.12820513],0
s6,1,0.479271,0.500523,[33  8] ; [9 1],[33.76470588  7.23529412] ; [8.23529412 1.76470588],0
s7,1,0.50777,0.43866,[24 15] ; [5 5],[23.08163265 15.91836735] ; [5.91836735 4.08163265],0
v1,1,0.566598,0.328407,[24 16] ; [5 5],[23.2 16.8] ; [5.8 4.2],0
a5,1,0.583587,0.300472,[29 13] ; [6 4],[28.26923077 13.73076923] ; [6.73076923 3.26923077],0
a2,1,0.599495,0.275758,[ 7 35] ; [1 9],[ 6.46153846 35.53846154] ; [1.53846154 8.46153846],0
p7,1,0.620473,0.245203,[24 15] ; [7 3],[24.67346939 14.32653061] ; [6.32653061 3.67346939],0
b5,1,0.632811,0.228268,[26 16] ; [7 3],[26.65384615 15.34615385] ; [6.34615385 3.65384615],0
r4,1,0.652632,0.202597,[36  6] ; [8 2],[35.53846154  6.46153846] ; [8.46153846 1.53846154],0
r1,1,0.684522,0.165079,[32 10] ; [7 3],[31.5 10.5] ; [7.5 2.5],0
p3,1,0.786029,0.073696,[19 23] ; [5 5],[19.38461538 22.61538462] ; [4.61538462 5.38461538],0
n4,1,0.786029,0.073696,[19 23] ; [5 5],[19.38461538 22.61538462] ; [4.61538462 5.38461538],0
p9,1,0.827675,0.047387,[34  7] ; [8 2],[33.76470588  7.23529412] ; [8.23529412 1.76470588],0
a3,1,0.911402,0.012381,[26 16] ; [6 4],[25.84615385 16.15384615] ; [6.15384615 3.84615385],0
n1,1,0.919154,0.010302,[6 7] ; [1 1],[6.06666667 6.93333333] ; [0.93333333 1.06666667],0
p2,1,0.945247,0.004717,[34  8] ; [8 2],[33.92307692  8.07692308] ; [8.07692308 1.92307692],0
p10,1,0.97221,0.001214,[33  8] ; [8 2],[32.96078431  8.03921569] ; [8.03921569 1.96078431],0
v2,1,1.0,0.0,[19 19] ; [5 5],[19. 19.] ; [5. 5.],0
