Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,117.638889,[140  20] ; [28 92],[96. 64.] ; [72. 48.],1
s7,1,0.0,53.933911,[126  31] ; [40 71],[97.24626866 59.75373134] ; [68.75373134 42.24626866],1
s6,1,0.0,52.358214,[140  19] ; [58 62],[112.83870968  46.16129032] ; [85.16129032 34.83870968],1
s8,1,0.0,39.485677,[115  47] ; [40 80],[89.04255319 72.95744681] ; [65.95744681 54.04255319],1
s5,1,0.0,37.427328,[86 71] ; [22 97],[61.43478261 95.56521739] ; [46.56521739 72.43478261],1
s4,1,0.004281,8.160551,[ 24 140] ; [  5 114],[ 16.80565371 147.19434629] ; [ 12.19434629 106.80565371],0
p12,1,0.012979,6.171979,[ 29 134] ; [  9 110],[ 21.96453901 141.03546099] ; [ 16.03546099 102.96453901],0
u3,1,0.030111,4.702939,[23  9] ; [16 19],[18.62686567 13.37313433] ; [20.37313433 14.62686567],0
d4,1,0.038297,4.29177,[141  20] ; [94 26],[134.64412811  26.35587189] ; [100.35587189  19.64412811],0
r3,1,0.04382,4.063491,[160   4] ; [111   9],[156.49295775   7.50704225] ; [114.50704225   5.49295775],0
a3,1,0.051712,3.785063,[132  30] ; [86 34],[125.23404255  36.76595745] ; [92.76595745 27.23404255],0
s1,1,0.083011,3.004947,[  7 155] ; [  1 118],[  4.61209964 157.38790036] ; [  3.38790036 115.61209964],0
v1,1,0.08474,2.971564,[119  43] ; [76 43],[112.41992883  49.58007117] ; [82.58007117 36.41992883],0
p2,1,0.098993,2.721686,[142  21] ; [95 24],[136.9893617  26.0106383] ; [100.0106383  18.9893617],0
n4,1,0.099733,2.709816,[156   8] ; [109  12],[152.49122807  11.50877193] ; [112.50877193   8.49122807],0
p9,1,0.099848,2.707974,[147  14] ; [102  18],[142.66548043  18.33451957] ; [106.33451957  13.66548043],0
p10,1,0.119897,2.418672,[148  15] ; [100  18],[143.85765125  19.14234875] ; [104.14234875  13.85765125],0
