Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,116.551834,[282  14] ; [52 53],[246.5436409  49.4563591] ; [87.4563591 17.5436409],1
r2,1,0.0,51.262786,[287   9] ; [74 27],[269.15869018  26.84130982] ; [91.84130982  9.15869018],1
r3,1,0.0,37.959254,[279  15] ; [76 28],[262.2361809  31.7638191] ; [92.7638191 11.2361809],1
v4,1,0.0,31.857615,[282  13] ; [80 24],[267.64411028  27.35588972] ; [94.35588972  9.64411028],1
s6,1,0.0,28.421188,[211  79] ; [46 59],[188.6835443 101.3164557] ; [68.3164557 36.6835443],1
d4,1,0.0,26.826152,[245  50] ; [61 44],[225.675  69.325] ; [80.325 24.675],1
d1,1,2e-06,22.78359,[176 120] ; [34 71],[155.01246883 140.98753117] ; [54.98753117 50.01246883],1
d3,1,3e-06,21.546311,[204  92] ; [45 59],[184.26 111.74] ; [64.74 39.26],1
d5,1,1.1e-05,19.304567,[243  53] ; [64 41],[226.61346633  69.38653367] ; [80.38653367 24.61346633],1
p2,1,2.5e-05,17.794056,[252  43] ; [69 35],[237.33082707  57.66917293] ; [83.66917293 20.33082707],1
a7,1,2.8e-05,17.537105,[218  78] ; [54 51],[200.77805486  95.22194514] ; [71.22194514 33.77805486],1
a3,1,3.8e-05,16.968428,[218  76] ; [55 50],[201.15789474  92.84210526] ; [71.84210526 33.15789474],1
s8,1,9.6e-05,15.211376,[128 167] ; [23 82],[111.3625 183.6375] ; [39.6375 65.3625],1
a2,1,0.000229,13.574608,[ 76 220] ; [ 9 96],[ 62.74314214 233.25685786] ; [22.25685786 82.74314214],1
n6,1,0.000282,13.187288,[264  31] ; [78 26],[252.85714286  42.14285714] ; [89.14285714 14.85714286],1
p7,1,0.000325,12.921585,[185 102] ; [46 58],[169.55754476 117.44245524] ; [61.44245524 42.55754476],1
a5,1,0.000642,11.651501,[224  72] ; [61 44],[210.37406484  85.62593516] ; [74.62593516 30.37406484],1
n4,1,0.000714,11.452706,[259  37] ; [77 28],[248.01995012  47.98004988] ; [87.98004988 17.01995012],1
u1,1,0.000848,11.13304,[ 58 238] ; [ 6 99],[ 47.24189526 248.75810474] ; [16.75810474 88.24189526],1
p8,1,0.000896,11.030024,[161 129] ; [38 66],[146.47208122 143.52791878] ; [52.52791878 51.47208122],1
