Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2e-06,23.145652,[10 53] ; [36 27],[23. 40.] ; [23. 40.],1
s6,1,8e-06,19.84127,[19 44] ; [44 19],[31.5 31.5] ; [31.5 31.5],1
s7,1,0.00326,8.655667,[12 49] ; [26 32],[19.4789916 41.5210084] ; [18.5210084 39.4789916],0
s8,1,0.016022,5.800512,[11 52] ; [23 40],[17. 46.] ; [17. 46.],0
p10,1,0.019529,5.453499,[11 53] ; [22 40],[16.76190476 47.23809524] ; [16.23809524 45.76190476],0
p7,1,0.01981,5.42855,[27 38] ; [38 23],[33.53174603 31.46825397] ; [31.46825397 29.53174603],0
p2,1,0.02449,5.059557,[35 30] ; [46 17],[41.1328125 23.8671875] ; [39.8671875 23.1328125],0
p4,1,0.026479,4.924465,[23 41] ; [35 28],[29.22834646 34.77165354] ; [28.77165354 34.22834646],0
s4,1,0.042728,4.106123,[ 4 60] ; [11 50],[ 7.68 56.32] ; [ 7.32 53.68],0
d4,1,0.073431,3.204606,[53 12] ; [42 20],[48.62204724 16.37795276] ; [46.37795276 15.62204724],0
d2,1,0.076567,3.136304,[37 28] ; [26 37],[31.9921875 33.0078125] ; [31.0078125 31.9921875],0
p5,1,0.086882,2.931214,[ 1 64] ; [ 5 58],[ 3.046875 61.953125] ; [ 2.953125 60.046875],0
a4,1,0.099752,2.709497,[28 37] ; [18 44],[23.54330709 41.45669291] ; [22.45669291 39.54330709],0
v3,1,0.186573,1.744473,[18 44] ; [25 37],[21.5 40.5] ; [21.5 40.5],0
n5,1,0.204211,1.612001,[33 32] ; [39 24],[36.5625 28.4375] ; [35.4375 27.5625],0
p8,1,0.213251,1.549215,[19 46] ; [25 38],[22.34375 42.65625] ; [21.65625 41.34375],0
u2,1,0.261979,1.258272,[12 15] ; [15 10],[14.01923077 12.98076923] ; [12.98076923 12.01923077],0
d5,1,0.265005,1.242419,[51 14] ; [44 19],[48.2421875 16.7578125] ; [46.7578125 16.2421875],0
p6,1,0.267573,1.229148,[12 51] ; [17 45],[14.616 48.384] ; [14.384 47.616],0
v4,1,0.279749,1.168311,[60  5] ; [59  2],[61.38888889  3.61111111] ; [57.61111111  3.38888889],0
a2,1,0.285293,1.1417,[14 51] ; [ 9 54],[11.6796875 53.3203125] ; [11.3203125 51.6796875],0
v1,1,0.294381,1.099476,[22 43] ; [27 36],[24.8828125 40.1171875] ; [24.1171875 38.8828125],0
n4,1,0.305317,1.050825,[42 23] ; [46 17],[44.6875 20.3125] ; [43.3125 19.6875],0
d1,1,0.369829,0.80424,[33 32] ; [27 36],[30.46875 34.53125] ; [29.53125 33.46875],0
n6,1,0.374101,0.789996,[48 17] ; [42 21],[45.703125 19.296875] ; [44.296875 18.703125],0
n3,1,0.386997,0.748355,[13  6] ; [13  3],[14.11428571  4.88571429] ; [11.88571429  4.11428571],0
u3,1,0.415638,0.662615,[16 12] ; [17  8],[17.43396226 10.56603774] ; [15.56603774  9.43396226],0
a1,1,0.425319,0.635572,[ 4 61] ; [ 2 61],[ 3.046875 61.953125] ; [ 2.953125 60.046875],0
p3,1,0.450865,0.568475,[21 44] ; [24 38],[23.03149606 41.96850394] ; [21.96850394 40.03149606],0
p11,1,0.459662,0.546717,[35 30] ; [38 25],[37.0703125 27.9296875] ; [35.9296875 27.0703125],0
s5,1,0.47426,0.512033,[11 52] ; [14 48],[12.6 50.4] ; [12.4 49.6],0
r1,1,0.476312,0.507295,[55 10] ; [56  7],[56.3671875  8.6328125] ; [54.6328125  8.3671875],0
r3,1,0.577583,0.310159,[63  2] ; [62  1],[63.4765625  1.5234375] ; [61.5234375  1.4765625],0
a8,1,0.669723,0.181927,[ 6 54] ; [ 7 49],[ 6.72413793 53.27586207] ; [ 6.27586207 49.72413793],0
a3,1,0.696696,0.151932,[37 28] ; [38 25],[38.0859375 26.9140625] ; [36.9140625 26.0859375],0
p1,1,0.711137,0.137144,[ 4 60] ; [ 5 58],[ 4.53543307 59.46456693] ; [ 4.46456693 58.53543307],0
b2,1,0.733937,0.115527,[11 32] ; [11 27],[11.67901235 31.32098765] ; [10.32098765 27.67901235],0
b3,1,0.733937,0.115527,[11 32] ; [11 27],[11.67901235 31.32098765] ; [10.32098765 27.67901235],0
