Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.0,27.641009,[115  16] ; [10 14],[105.64516129  25.35483871] ; [19.35483871  4.64516129],1
a4,1,5.7e-05,16.19235,[89 41] ; [ 6 18],[80.19480519 49.80519481] ; [14.80519481  9.19480519],1
d2,1,0.000188,13.948887,[90 40] ; [ 7 17],[81.88311688 48.11688312] ; [15.11688312  8.88311688],1
d3,1,0.002312,9.283478,[100  31] ; [11 13],[93.81290323 37.18709677] ; [17.18709677  6.81290323],0
a2,1,0.003032,8.787956,[52 79] ; [ 2 22],[45.63870968 85.36129032] ; [ 8.36129032 15.63870968],0
a3,1,0.003142,8.723223,[113  18] ; [14  9],[108.03246753  22.96753247] ; [18.96753247  4.03246753],0
r2,1,0.011902,6.325419,[123   5] ; [19  4],[120.37086093   7.62913907] ; [21.62913907  1.37086093],0
b4,1,0.016688,5.728895,[73 58] ; [ 7 17],[67.61290323 63.38709677] ; [12.38709677 11.61290323],0
u1,1,0.022126,5.235857,[33 98] ; [ 1 23],[ 28.73548387 102.26451613] ; [ 5.26451613 18.73548387],0
s6,1,0.023305,5.145611,[84 43] ; [10 14],[79.05960265 47.94039735] ; [14.94039735  9.05960265],0
s8,1,0.032049,4.595875,[51 78] ; [ 4 20],[46.37254902 82.62745098] ; [ 8.62745098 15.37254902],0
p9,1,0.079049,3.084346,[85 42] ; [11 12],[81.28 45.72] ; [14.72  8.28],0
v2,1,0.08437,2.978642,[69 58] ; [ 8 15],[65.19333333 61.80666667] ; [11.80666667 11.19333333],0
a6,1,0.103148,2.656186,[93 38] ; [13 11],[89.58709677 41.41290323] ; [16.41290323  7.58709677],0
r3,1,0.132155,2.267007,[113  18] ; [17  6],[110.58441558  20.41558442] ; [19.41558442  3.58441558],0
s5,1,0.134596,2.238683,[46 75] ; [ 5 18],[42.85416667 78.14583333] ; [ 8.14583333 14.85416667],0
a8,1,0.177633,1.817318,[ 14 103] ; [ 5 17],[ 15.99280576 101.00719424] ; [ 3.00719424 18.99280576],0
b5,1,0.216757,1.525713,[83 48] ; [12 12],[80.29032258 50.70967742] ; [14.70967742  9.29032258],0
v4,1,0.219544,1.507351,[115  16] ; [18  5],[113.13636364  17.86363636] ; [19.86363636  3.13636364],0
p6,1,0.226286,1.464057,[42 84] ; [ 5 19],[39.48 86.52] ; [ 7.52 16.48],0
s4,1,0.245952,1.346154,[ 30 100] ; [ 3 21],[ 27.85714286 102.14285714] ; [ 5.14285714 18.85714286],0
n6,1,0.249446,1.326406,[92 37] ; [13  9],[89.70198675 39.29801325] ; [15.29801325  6.70198675],0
p3,1,0.260285,1.26724,[53 75] ; [ 7 17],[50.52631579 77.47368421] ; [ 9.47368421 14.52631579],0
p2,1,0.269637,1.218593,[80 49] ; [12 12],[77.56862745 51.43137255] ; [14.43137255  9.56862745],0
n2,1,0.270832,1.212529,[33 18] ; [9 2],[34.5483871 16.4516129] ; [7.4516129 3.5483871],0
v3,1,0.271836,1.207459,[42 84] ; [10 12],[44.27027027 81.72972973] ; [ 7.72972973 14.27027027],0
b2,1,0.282506,1.154993,[23 45] ; [6 6],[24.65 43.35] ; [4.35 7.65],0
b3,1,0.282506,1.154993,[23 45] ; [6 6],[24.65 43.35] ; [4.35 7.65],0
p7,1,0.287486,1.131357,[65 62] ; [ 9 14],[62.65333333 64.34666667] ; [11.34666667 11.65333333],0
p10,1,0.288371,1.127212,[71 57] ; [10 13],[68.66225166 59.33774834] ; [12.33774834 10.66225166],0
r4,1,0.351748,0.86714,[104  27] ; [17  7],[102.26451613  28.73548387] ; [18.73548387  5.26451613],0
n3,1,0.393248,0.728874,[35 15] ; [5 4],[33.89830508 16.10169492] ; [6.10169492 2.89830508],0
r1,1,0.408464,0.683266,[100  29] ; [16  7],[98.44736842 30.55263158] ; [17.55263158  5.44736842],0
n1,1,0.418665,0.65406,[23 27] ; [6 4],[24.16666667 25.83333333] ; [4.83333333 5.16666667],0
v1,1,0.45187,0.565956,[60 71] ; [ 9 15],[58.31612903 72.68387097] ; [10.68387097 13.31612903],0
u2,1,0.506984,0.440286,[ 5 13] ; [4 6],[ 5.78571429 12.21428571] ; [3.21428571 6.78571429],0
a7,1,0.596823,0.279815,[98 33] ; [16  7],[96.97402597 34.02597403] ; [17.02597403  5.97402597],0
s1,1,0.649377,0.206686,[  8 122] ; [ 2 21],[  8.49673203 121.50326797] ; [ 1.50326797 21.49673203],0
u3,1,0.65591,0.198529,[ 7 10] ; [5 5],[7.55555556 9.44444444] ; [4.44444444 5.55555556],0
s3,1,0.656799,0.197436,[64 66] ; [13 11],[65. 65.] ; [12. 12.],0
n4,1,0.663589,0.189194,[90 39] ; [15  8],[89.11184211 39.88815789] ; [15.88815789  7.11184211],0
p4,1,0.685042,0.164506,[62 67] ; [10 13],[61.10526316 67.89473684] ; [10.89473684 12.10526316],0
n5,1,0.77013,0.085384,[80 49] ; [15  8],[80.625 48.375] ; [14.375  8.625],0
b1,1,0.785379,0.074156,[67 64] ; [13 11],[67.61290323 63.38709677] ; [12.38709677 11.61290323],0
p8,1,0.795264,0.067331,[41 87] ; [ 8 15],[41.53642384 86.46357616] ; [ 7.46357616 15.53642384],0
s7,1,0.80919,0.058309,[55 64] ; [10 13],[54.47183099 64.52816901] ; [10.52816901 12.47183099],0
s2,1,0.812831,0.056062,[63 67] ; [11 13],[62.46753247 67.53246753] ; [11.53246753 12.46753247],0
p5,1,0.825121,0.048825,[  7 121] ; [ 1 22],[  6.78145695 121.21854305] ; [ 1.21854305 21.78145695],0
a1,1,0.906131,0.013905,[ 10 121] ; [ 2 22],[ 10.14193548 120.85806452] ; [ 1.85806452 22.14193548],0
p1,1,0.91428,0.011587,[ 10 120] ; [ 2 22],[ 10.12987013 119.87012987] ; [ 1.87012987 22.12987013],0
