Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.000107,15.003161,[32 22] ; [ 9 35],[22.59183673 31.40816327] ; [18.40816327 25.59183673],1
r3,1,0.002242,9.34001,[34 18] ; [15 29],[26.54166667 25.45833333] ; [22.45833333 21.54166667],0
p2,1,0.002378,9.232425,[35 18] ; [15 28],[27.60416667 25.39583333] ; [22.39583333 20.60416667],0
p4,1,0.006379,7.439942,[19 35] ; [ 5 39],[13.2244898 40.7755102] ; [10.7755102 33.2244898],0
s6,1,0.015435,5.866068,[25 29] ; [10 34],[19.28571429 34.71428571] ; [15.71428571 28.28571429],0
s8,1,0.035151,4.437848,[12 42] ; [ 3 41],[ 8.26530612 45.73469388] ; [ 6.73469388 37.26530612],0
a1,1,0.048896,3.878915,[ 3 51] ; [ 8 36],[ 6.06122449 47.93877551] ; [ 4.93877551 39.06122449],0
s2,1,0.049051,3.873624,[18 36] ; [ 7 37],[13.7755102 40.2244898] ; [11.2244898 32.7755102],0
b1,1,0.052189,3.769685,[25 29] ; [29 15],[29.75510204 24.24489796] ; [24.24489796 19.75510204],0
n3,1,0.095499,2.77915,[15  7] ; [10 13],[12.22222222  9.77777778] ; [12.77777778 10.22222222],0
p6,1,0.09865,2.727233,[10 43] ; [ 3 39],[ 7.25263158 45.74736842] ; [ 5.74736842 36.25263158],0
b4,1,0.10064,2.695376,[37 17] ; [23 21],[33.06122449 20.93877551] ; [26.93877551 17.06122449],0
v4,1,0.104114,2.641367,[34 19] ; [21 23],[30.05154639 22.94845361] ; [24.94845361 19.05154639],0
p9,1,0.10812,2.581483,[31 20] ; [19 24],[27.12765957 23.87234043] ; [22.87234043 20.12765957],0
b5,1,0.113058,2.510952,[32 22] ; [19 25],[28.10204082 25.89795918] ; [22.89795918 21.10204082],0
s7,1,0.117086,2.455873,[16 34] ; [ 7 33],[12.77777778 37.22222222] ; [10.22222222 29.77777778],0
p3,1,0.134898,2.235219,[14 39] ; [ 6 37],[11.04166667 41.95833333] ; [ 8.95833333 34.04166667],0
p10,1,0.150142,2.070803,[28 26] ; [16 27],[24.49484536 29.50515464] ; [19.50515464 23.49484536],0
n5,1,0.155823,2.0143,[37 17] ; [24 20],[33.6122449 20.3877551] ; [27.3877551 16.6122449],0
d5,1,0.171268,1.871809,[39 15] ; [26 18],[35.81632653 18.18367347] ; [29.18367347 14.81632653],0
v2,1,0.197276,1.662425,[22 29] ; [13 30],[18.9893617 32.0106383] ; [16.0106383 26.9893617],0
p7,1,0.214887,1.53819,[11 42] ; [14 30],[13.65979381 39.34020619] ; [11.34020619 32.65979381],0
a7,1,0.289942,1.119888,[22 31] ; [23 21],[24.58762887 28.41237113] ; [20.41237113 23.58762887],0
d4,1,0.291249,1.113841,[39 14] ; [28 16],[36.60824742 16.39175258] ; [30.39175258 13.60824742],0
n4,1,0.317155,1.000644,[36 18] ; [25 19],[33.6122449 20.3877551] ; [27.3877551 16.6122449],0
a5,1,0.33954,0.912167,[31 23] ; [21 23],[28.65306122 25.34693878] ; [23.34693878 20.65306122],0
d1,1,0.345269,0.89077,[26 28] ; [17 27],[23.69387755 30.30612245] ; [19.30612245 24.69387755],0
n1,1,0.34539,0.890323,[ 9 14] ; [ 6 17],[ 7.5 15.5] ; [ 7.5 15.5],0
v3,1,0.36078,0.835178,[14 40] ; [ 8 36],[12.12244898 41.87755102] ; [ 9.87755102 34.12244898],0
p5,1,0.403511,0.697838,[ 3 50] ; [ 1 43],[ 2.18556701 50.81443299] ; [ 1.81443299 42.18556701],0
u3,1,0.430935,0.620303,[ 6 15] ; [ 3 14],[ 4.97368421 16.02631579] ; [ 4.02631579 12.97368421],0
s3,1,0.474523,0.511424,[21 32] ; [14 29],[19.32291667 33.67708333] ; [15.67708333 27.32291667],0
u2,1,0.477897,0.503658,[ 6 14] ; [ 7 10],[ 7.02702703 12.97297297] ; [ 5.97297297 11.02702703],0
a2,1,0.494759,0.466159,[ 5 49] ; [ 6 38],[ 6.06122449 47.93877551] ; [ 4.93877551 39.06122449],0
d3,1,0.510354,0.433342,[30 24] ; [21 22],[28.39175258 25.60824742] ; [22.60824742 20.39175258],0
n2,1,0.554972,0.348485,[13 10] ; [11 12],[12. 11.] ; [12. 11.],0
r2,1,0.558062,0.343071,[31 20] ; [23 19],[29.61290323 21.38709677] ; [24.38709677 17.61290323],0
a6,1,0.684609,0.164983,[26 28] ; [23 21],[27. 27.] ; [22. 22.],0
s5,1,0.741076,0.109183,[10 43] ; [ 7 36],[ 9.38541667 43.61458333] ; [ 7.61458333 35.38541667],0
d2,1,0.756801,0.095904,[22 30] ; [20 24],[22.75 29.25] ; [19.25 24.75],0
a8,1,0.809683,0.058001,[ 3 49] ; [ 3 40],[ 3.28421053 48.71578947] ; [ 2.71578947 40.28421053],0
