Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,86.826328,[103   5] ; [ 8 31],[81.55102041 26.44897959] ; [29.44897959  9.55102041],1
r1,1,0.0,43.000641,[93 15] ; [12 27],[77.14285714 30.85714286] ; [27.85714286 11.14285714],1
s6,1,0.0,37.81878,[79 27] ; [ 7 32],[62.86896552 43.13103448] ; [23.13103448 15.86896552],1
r2,1,0.0,37.306185,[108   1] ; [24 13],[98.54794521 10.45205479] ; [33.45205479  3.54794521],1
v4,1,0.0,34.932137,[103   6] ; [21 18],[91.32432432 17.67567568] ; [32.67567568  6.32432432],1
p2,1,4e-06,21.080717,[83 27] ; [13 25],[71.35135135 38.64864865] ; [24.64864865 13.35135135],1
p9,1,7e-06,20.153827,[80 27] ; [12 24],[68.83916084 38.16083916] ; [23.16083916 12.83916084],1
n6,1,9e-06,19.662347,[94 16] ; [19 19],[83.98648649 26.01351351] ; [29.01351351  8.98648649],1
p4,1,1.9e-05,18.333657,[61 48] ; [ 6 32],[49.68027211 59.31972789] ; [17.31972789 20.68027211],1
s8,1,3.5e-05,17.126984,[52 57] ; [ 4 35],[41.24324324 67.75675676] ; [14.75675676 24.24324324],1
a1,1,5.2e-05,16.376126,[  4 106] ; [10 29],[10.33557047 99.66442953] ; [ 3.66442953 35.33557047],1
a7,1,9.1e-05,15.306813,[83 27] ; [16 23],[73.08724832 36.91275168] ; [25.91275168 13.08724832],1
s2,1,9.6e-05,15.216876,[59 50] ; [ 7 32],[48.60810811 60.39189189] ; [17.39189189 21.60810811],1
p3,1,0.000163,14.219527,[49 61] ; [ 4 34],[39.39189189 70.60810811] ; [13.60810811 24.39189189],1
p7,1,0.000204,13.795673,[61 46] ; [ 8 29],[51.27083333 55.72916667] ; [17.72916667 19.27083333],1
v1,1,0.000353,12.765225,[59 51] ; [ 8 31],[49.46308725 60.53691275] ; [17.53691275 21.46308725],1
d5,1,0.000379,12.632681,[88 21] ; [20 19],[79.54054054 29.45945946] ; [28.45945946 10.54054054],1
d4,1,0.000418,12.448983,[85 23] ; [19 20],[76.40816327 31.59183673] ; [27.59183673 11.40816327],1
s5,1,0.000621,11.710996,[39 65] ; [ 3 35],[30.76056338 73.23943662] ; [11.23943662 26.76056338],1
n3,1,0.001019,10.792772,[26  8] ; [ 8 16],[19.93103448 14.06896552] ; [14.06896552  9.93103448],0
u3,1,0.002083,9.475267,[20 14] ; [ 2 14],[14.96 19.04] ; [7.04 8.96],0
s7,1,0.002354,9.250662,[55 46] ; [ 9 27],[47.18248175 53.81751825] ; [16.81751825 19.18248175],0
p10,1,0.002868,8.889748,[66 40] ; [13 25],[58.15277778 47.84722222] ; [20.84722222 17.15277778],0
b5,1,0.003318,8.623792,[77 33] ; [17 22],[69.39597315 40.60402685] ; [24.60402685 14.39597315],0
s3,1,0.003762,8.395113,[63 46] ; [12 27],[55.23648649 53.76351351] ; [19.76351351 19.23648649],0
v2,1,0.004124,8.228197,[51 56] ; [ 8 30],[43.53793103 63.46206897] ; [15.46206897 22.53793103],0
p6,1,0.0042,8.195187,[41 66] ; [ 5 33],[33.94482759 73.05517241] ; [12.05517241 25.94482759],0
d3,1,0.006919,7.293965,[73 36] ; [16 22],[65.99319728 43.00680272] ; [23.00680272 14.99319728],0
p8,1,0.011862,6.331334,[41 67] ; [ 6 32],[34.76712329 73.23287671] ; [12.23287671 25.76712329],0
d1,1,0.014021,6.035511,[59 51] ; [12 27],[52.41610738 57.58389262] ; [18.58389262 20.41610738],0
a5,1,0.01706,5.690146,[77 33] ; [19 20],[70.87248322 39.12751678] ; [25.12751678 13.87248322],0
n2,1,0.028874,4.775132,[29  7] ; [13 11],[25.2 10.8] ; [16.8  7.2],0
