Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,1.2e-05,19.141117,[26  9] ; [22 52],[15.41284404 19.58715596] ; [32.58715596 41.41284404],1
v2,1,6e-05,16.093782,[26  9] ; [25 50],[16.22727273 18.77272727] ; [34.77272727 40.22727273],1
d1,1,0.000634,11.672811,[21 14] ; [20 56],[12.92792793 22.07207207] ; [28.07207207 47.92792793],1
d4,1,0.000893,11.037406,[31  4] ; [43 33],[23.33333333 11.66666667] ; [50.66666667 25.33333333],1
n6,1,0.00363,8.460325,[33  2] ; [52 23],[27.04545455  7.95454545] ; [57.95454545 17.04545455],0
n4,1,0.010014,6.632405,[29  6] ; [44 32],[23.01801802 11.98198198] ; [49.98198198 26.01801802],0
r4,1,0.012106,6.295225,[28  7] ; [42 34],[22.07207207 12.92792793] ; [47.92792793 28.07207207],0
s6,1,0.012798,6.196772,[24  7] ; [39 37],[18.25233645 12.74766355] ; [44.74766355 31.25233645],0
p3,1,0.015178,5.895726,[25  9] ; [37 39],[19.16363636 14.83636364] ; [42.83636364 33.16363636],0
p2,1,0.023575,5.125666,[32  2] ; [57 18],[27.76146789  6.23853211] ; [61.23853211 13.76146789],0
s7,1,0.031327,4.634963,[19 15] ; [24 47],[13.92380952 20.07619048] ; [29.07619048 41.92380952],0
d3,1,0.03493,4.448598,[25 10] ; [37 37],[19.90825688 15.09174312] ; [42.09174312 31.90825688],0
p9,1,0.042874,4.10035,[31  4] ; [54 22],[26.8018018  8.1981982] ; [58.1981982 17.8018018],0
n5,1,0.043151,4.089474,[28  7] ; [46 30],[23.33333333 11.66666667] ; [50.66666667 25.33333333],0
b2,1,0.049585,3.855446,[10 15] ; [ 9 39],[ 6.50684932 18.49315068] ; [12.49315068 35.50684932],0
b3,1,0.049585,3.855446,[10 15] ; [ 9 39],[ 6.50684932 18.49315068] ; [12.49315068 35.50684932],0
a3,1,0.054339,3.702252,[25 10] ; [39 36],[20.36363636 14.63636364] ; [43.63636364 31.36363636],0
p10,1,0.058365,3.583237,[29  5] ; [51 24],[24.95412844  9.04587156] ; [55.04587156 19.95412844],0
d5,1,0.069074,3.304889,[28  7] ; [47 28],[23.86363636 11.13636364] ; [51.13636364 23.86363636],0
r3,1,0.076563,3.136398,[33  2] ; [62 14],[29.95495495  5.04504505] ; [65.04504505 10.95495495],0
d2,1,0.081379,3.037142,[15 20] ; [20 56],[11.03603604 23.96396396] ; [23.96396396 52.03603604],0
s8,1,0.084793,2.970546,[17 18] ; [24 52],[12.92792793 22.07207207] ; [28.07207207 47.92792793],0
a6,1,0.112839,2.514002,[17 18] ; [49 27],[20.81081081 14.18918919] ; [45.18918919 30.81081081],0
b1,1,0.122072,2.390529,[12 23] ; [38 38],[15.76576577 19.23423423] ; [34.23423423 41.76576577],0
r2,1,0.136599,2.21586,[31  4] ; [55 17],[28.13084112  6.86915888] ; [57.86915888 14.13084112],0
p6,1,0.143785,2.136973,[17 15] ; [28 46],[13.58490566 18.41509434] ; [31.41509434 42.58490566],0
s3,1,0.239574,1.383099,[20 14] ; [35 40],[17.1559633 16.8440367] ; [37.8440367 37.1559633],0
p1,1,0.243178,1.362078,[ 4 31] ; [ 4 72],[ 2.52252252 32.47747748] ; [ 5.47747748 70.52252252],0
s4,1,0.25631,1.288578,[ 5 30] ; [18 58],[ 7.25225225 27.74774775] ; [15.74774775 60.25225225],0
p11,1,0.257926,1.279854,[28  7] ; [53 23],[25.54054054  9.45945946] ; [55.45945946 20.54054054],0
p8,1,0.298698,1.08,[22 11] ; [42 33],[19.55555556 13.44444444] ; [44.44444444 30.55555556],0
a4,1,0.30715,1.042892,[11 24] ; [17 59],[ 8.82882883 26.17117117] ; [19.17117117 56.82882883],0
s2,1,0.358973,0.841482,[18 17] ; [32 44],[15.76576577 19.23423423] ; [34.23423423 41.76576577],0
b4,1,0.393634,0.727686,[21 14] ; [39 37],[18.91891892 16.08108108] ; [41.08108108 34.91891892],0
p5,1,0.46412,0.53594,[ 6 29] ; [ 9 66],[ 4.77272727 30.22727273] ; [10.22727273 64.77272727],0
v4,1,0.471166,0.51924,[32  3] ; [65 10],[30.86363636  4.13636364] ; [66.13636364  8.86363636],0
n3,1,0.504517,0.445421,[8 4] ; [20  6],[8.84210526 3.15789474] ; [19.15789474  6.84210526],0
a1,1,0.530645,0.393156,[ 2 33] ; [ 7 69],[ 2.83783784 32.16216216] ; [ 6.16216216 69.83783784],0
a5,1,0.567564,0.326775,[20 15] ; [39 37],[18.6036036 16.3963964] ; [40.3963964 35.6036036],0
n1,1,0.695487,0.153209,[4 8] ; [10 15],[4.54054054 7.45945946] ; [ 9.45945946 15.54054054],0
n2,1,0.715478,0.132867,[9 3] ; [18  8],[8.52631579 3.47368421] ; [18.47368421  7.52631579],0
b5,1,0.814814,0.054859,[22 13] ; [46 30],[21.44144144 13.55855856] ; [46.55855856 29.44144144],0
p4,1,0.858982,0.031567,[21 12] ; [47 29],[20.58715596 12.41284404] ; [47.41284404 28.58715596],0
a8,1,0.865671,0.028615,[ 3 30] ; [ 6 68],[ 2.77570093 30.22429907] ; [ 6.22429907 67.77570093],0
a2,1,0.88689,0.020232,[ 4 31] ; [ 8 68],[ 3.78378378 31.21621622] ; [ 8.21621622 67.78378378],0
p12,1,0.889995,0.01913,[ 2 32] ; [ 5 71],[ 2.16363636 31.83636364] ; [ 4.83636364 71.16363636],0
u3,1,0.900685,0.015574,[4 6] ; [14 23],[3.82978723 6.17021277] ; [14.17021277 22.82978723],0
u2,1,0.935359,0.006578,[5 4] ; [20 17],[4.89130435 4.10869565] ; [20.10869565 16.89130435],0
u1,1,0.945712,0.004637,[ 1 34] ; [ 2 74],[ 0.94594595 34.05405405] ; [ 2.05405405 73.94594595],0
s5,1,0.963315,0.002115,[ 8 25] ; [18 55],[ 8.09433962 24.90566038] ; [17.90566038 55.09433962],0
a7,1,0.984993,0.000354,[20 15] ; [43 32],[20.04545455 14.95454545] ; [42.95454545 32.04545455],0
