Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.012964,6.174038,[32 11] ; [1 4],[29.5625 13.4375] ; [3.4375 1.5625],0
a6,1,0.016614,5.736746,[108  52] ; [4 8],[104.18604651  55.81395349] ; [7.81395349 4.18604651],0
v1,1,0.03535,4.428187,[81 75] ; [10  2],[84.5 71.5] ; [6.5 5.5],0
p1,1,0.065152,3.401113,[  7 153] ; [ 2 10],[  8.37209302 151.62790698] ; [ 0.62790698 11.37209302],0
r3,1,0.065152,3.401113,[153   7] ; [10  2],[151.62790698   8.37209302] ; [11.37209302  0.62790698],0
p8,1,0.097426,2.747176,[66 91] ; [8 4],[68.74556213 88.25443787] ; [5.25443787 6.74556213],0
b5,1,0.1165,2.463749,[103  57] ; [5 7],[100.46511628  59.53488372] ; [7.53488372 4.46511628],0
u2,1,0.142819,2.147315,[31 12] ; [2 3],[29.5625 13.4375] ; [3.4375 1.5625],0
p4,1,0.16499,1.927883,[73 86] ; [8 4],[75.31578947 83.68421053] ; [5.68421053 6.31578947],0
a2,1,0.191253,1.707938,[ 40 120] ; [ 1 11],[ 38.13953488 121.86046512] ; [2.86046512 9.13953488],0
s5,1,0.217899,1.518151,[61 91] ; [7 5],[63.02439024 88.97560976] ; [4.97560976 7.02439024],0
s7,1,0.224839,1.473214,[115  39] ; [10  1],[116.66666667  37.33333333] ; [8.33333333 2.66666667],0
v3,1,0.231555,1.431283,[63 92] ; [7 5],[64.97005988 90.02994012] ; [5.02994012 6.97005988],0
n4,1,0.245766,1.347214,[123  36] ; [11  1],[124.59649123  34.40350877] ; [9.40350877 2.59649123],0
s1,1,0.259941,1.269071,[  4 151] ; [ 1 11],[  4.64071856 150.35928144] ; [ 0.35928144 11.64071856],0
a3,1,0.270551,1.21395,[117  43] ; [7 5],[115.34883721  44.65116279] ; [8.65116279 3.34883721],0
v2,1,0.289213,1.12328,[89 66] ; [5 7],[87.24550898 67.75449102] ; [6.75449102 5.24550898],0
b1,1,0.318827,0.993753,[ 57 103] ; [6 6],[ 58.60465116 101.39534884] ; [4.39534884 7.60465116],0
p7,1,0.322626,0.978272,[88 65] ; [8 3],[89.56097561 63.43902439] ; [6.43902439 4.56097561],0
d3,1,0.326571,0.962448,[112  48] ; [10  2],[113.48837209  46.51162791] ; [8.51162791 3.48837209],0
p2,1,0.330504,0.946923,[126  34] ; [8 4],[124.65116279  35.34883721] ; [9.34883721 2.65116279],0
n1,1,0.356127,0.851504,[17 26] ; [2 1],[17.76086957 25.23913043] ; [1.23913043 1.76086957],0
r1,1,0.458013,0.550747,[132  26] ; [11  1],[132.90588235  25.09411765] ; [10.09411765  1.90588235],0
