Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,92.988629,[ 53 125] ; [282 106],[105.35335689  72.64664311] ; [229.64664311 158.35335689],1
p6,1,0.0,71.152957,[ 27 151] ; [205 184],[ 72.8324515 105.1675485] ; [159.1675485 229.8324515],1
p4,1,0.0,39.713606,[88 91] ; [295  94],[120.69894366  58.30105634] ; [262.30105634 126.69894366],1
p3,1,0.0,33.6544,[ 69 109] ; [252 137],[100.77248677  77.22751323] ; [220.22751323 168.77248677],1
p2,1,1e-06,23.583292,[138  41] ; [357  32],[155.99471831  23.00528169] ; [339.00528169  49.99471831],1
v1,1,0.000116,14.853136,[83 88] ; [251 130],[103.4673913  67.5326087] ; [230.5326087 150.4673913],1
s5,1,0.000173,14.099076,[ 43 126] ; [160 219],[ 62.6040146 106.3959854] ; [140.3959854 238.6040146],1
s7,1,0.000959,10.904872,[75 96] ; [218 151],[92.78333333 78.21666667] ; [200.21666667 168.78333333],1
s8,1,0.001187,10.510451,[ 70 108] ; [209 178],[87.89734513 90.10265487] ; [191.10265487 195.89734513],0
v2,1,0.00131,10.327712,[84 85] ; [243 135],[101.02925046  67.97074954] ; [225.97074954 152.02925046],0
p5,1,0.002105,9.455964,[ 14 163] ; [ 69 319],[ 26.00176991 150.99823009] ; [ 56.99823009 331.00176991],0
r1,1,0.002984,8.817145,[132  47] ; [327  61],[144.9047619  34.0952381] ; [314.0952381  73.9047619],0
d5,1,0.00344,8.557841,[134  45] ; [330  58],[146.48324515  32.51675485] ; [317.51675485  70.48324515],0
v3,1,0.005409,7.737455,[ 60 109] ; [183 196],[74.93978102 94.06021898] ; [168.06021898 210.93978102],0
r3,1,0.008364,6.953834,[165  13] ; [377  10],[170.7539823   7.2460177] ; [371.2460177  15.7539823],0
a3,1,0.009422,6.741059,[120  59] ; [300  88],[132.59259259  46.40740741] ; [287.40740741 100.59259259],0
s6,1,0.013641,6.084051,[112  65] ; [278 100],[124.37837838  52.62162162] ; [265.62162162 112.37837838],0
a8,1,0.018945,5.506602,[ 17 150] ; [ 64 288],[ 26.06358382 140.93641618] ; [ 54.93641618 297.06358382],0
b5,1,0.028735,4.783392,[117  62] ; [217 173],[105.07205624  73.92794376] ; [228.92794376 161.07205624],0
b4,1,0.03303,4.544225,[113  66] ; [209 181],[101.2970123  77.7029877] ; [220.7029877 169.2970123],0
r4,1,0.03407,4.491202,[157  22] ; [363  27],[163.58523726  15.41476274] ; [356.41476274  33.58523726],0
p11,1,0.059841,3.541777,[148  31] ; [345  45],[155.0913884  23.9086116] ; [337.9086116  52.0913884],0
s2,1,0.10729,2.593697,[88 89] ; [220 166],[96.8312611 80.1687389] ; [211.1687389 174.8312611],0
d1,1,0.114861,2.486028,[100  79] ; [245 145],[108.53251318  70.46748682] ; [236.46748682 153.53251318],0
a1,1,0.137901,2.201224,[  5 174] ; [ 22 368],[  8.49384886 170.50615114] ; [ 18.50615114 371.49384886],0
a2,1,0.145949,2.114089,[ 38 141] ; [105 285],[ 44.98594025 134.01405975] ; [ 98.01405975 291.98594025],0
d4,1,0.148756,2.084965,[141  38] ; [325  63],[147.11463845  31.88536155] ; [318.88536155  69.11463845],0
r2,1,0.16304,1.945805,[166  13] ; [367  17],[169.46181172   9.53818828] ; [363.53818828  20.46181172],0
v4,1,0.173528,1.852198,[168  11] ; [373  14],[171.09363958   7.90636042] ; [369.90636042  17.09363958],0
s3,1,0.17973,1.799854,[95 81] ; [231 154],[102.2745098  73.7254902] ; [223.7254902 161.2745098],0
s4,1,0.181646,1.784102,[ 23 154] ; [ 67 317],[ 28.39572193 148.60427807] ; [ 61.60427807 322.39572193],0
s1,1,0.192023,1.702031,[  7 169] ; [  8 379],[  4.68916519 171.31083481] ; [ 10.31083481 376.68916519],0
b2,1,0.32872,0.953934,[35 60] ; [107 144],[38.98843931 56.01156069] ; [103.01156069 147.98843931],0
b3,1,0.32872,0.953934,[35 60] ; [107 144],[38.98843931 56.01156069] ; [103.01156069 147.98843931],0
u2,1,0.333838,0.933954,[30 29] ; [53 37],[32.86577181 26.13422819] ; [50.13422819 39.86577181],0
u1,1,0.336392,0.924132,[ 31 148] ; [ 81 309],[ 35.23374341 143.76625659] ; [ 76.76625659 313.23374341],0
d3,1,0.346318,0.886902,[117  62] ; [269 119],[121.85890653  57.14109347] ; [264.14109347 123.85890653],0
a5,1,0.416451,0.660308,[134  45] ; [304  86],[137.78910369  41.21089631] ; [300.21089631  89.78910369],0
a4,1,0.481957,0.494433,[ 79 100] ; [184 205],[82.88204225 96.11795775] ; [180.11795775 208.88204225],0
b1,1,0.513938,0.426041,[ 66 113] ; [155 235],[ 69.52372583 109.47627417] ; [151.47627417 238.52372583],0
n4,1,0.532246,0.390102,[158  21] ; [351  39],[160.12478032  18.87521968] ; [348.87521968  41.12478032],0
a6,1,0.595616,0.281659,[122  57] ; [273 115],[124.70017637  54.29982363] ; [270.29982363 117.70017637],0
n6,1,0.602812,0.270775,[166  12] ; [357  31],[164.4770318  13.5229682] ; [358.5229682  29.4770318],0
p12,1,0.661373,0.191861,[ 20 158] ; [ 39 350],[ 18.52204586 159.47795414] ; [ 40.47795414 348.52204586],0
p9,1,0.807861,0.05914,[168   9] ; [372  18],[168.57142857   8.42857143] ; [371.42857143  18.57142857],0
n1,1,0.834084,0.043876,[19 27] ; [26 34],[19.52830189 26.47169811] ; [25.47169811 34.52830189],0
p1,1,0.851691,0.034955,[ 17 162] ; [ 39 351],[ 17.6168717 161.3831283] ; [ 38.3831283 351.6168717],0
u3,1,0.874301,0.025026,[32 27] ; [50 40],[32.46979866 26.53020134] ; [49.53020134 40.46979866],0
n2,1,0.891341,0.018662,[38  8] ; [51 10],[38.26168224  7.73831776] ; [50.73831776 10.26168224],0
a7,1,0.899577,0.015925,[127  52] ; [278 111],[127.63204225  51.36795775] ; [277.36795775 111.63204225],0
u4,1,0.953365,0.00342,[  4 175] ; [  9 380],[  4.09683099 174.90316901] ; [  8.90316901 380.09683099],0
d2,1,0.972909,0.001153,[88 89] ; [194 195],[88.18727915 88.81272085] ; [193.81272085 195.18727915],0
n3,1,0.986749,0.000276,[34 12] ; [45 16],[33.96261682 12.03738318] ; [45.03738318 15.96261682],0
