Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,53.796574,[20 38] ; [198  43],[42.28762542 15.71237458] ; [175.71237458  65.28762542],1
s6,1,1e-05,19.559403,[26 33] ; [172  60],[40.1443299 18.8556701] ; [157.8556701  74.1443299],1
p10,1,1.6e-05,18.639534,[30 29] ; [188  51],[43.16107383 15.83892617] ; [174.83892617  64.16107383],1
p4,1,4.1e-05,16.830666,[19 39] ; [150  90],[32.89261745 25.10738255] ; [136.10738255 103.89261745],1
n4,1,5.5e-05,16.270776,[34 25] ; [198  43],[45.62666667 13.37333333] ; [186.37333333  54.62666667],1
r4,1,9.2e-05,15.29624,[48 11] ; [231  10],[54.87  4.13] ; [224.13  16.87],1
p9,1,9.5e-05,15.234574,[33 26] ; [192  47],[44.54697987 14.45302013] ; [180.45302013  58.54697987],1
s7,1,0.000535,11.99055,[13 39] ; [119 112],[24.25441696 27.74558304] ; [107.74558304 123.25441696],1
p11,1,0.000559,11.90736,[33 26] ; [188  53],[43.46333333 15.53666667] ; [177.53666667  63.46333333],1
v4,1,0.001463,10.12516,[50  8] ; [233   8],[54.89632107  3.10367893] ; [228.10367893  12.89632107],0
p6,1,0.002729,8.980531,[11 47] ; [ 96 144],[20.82550336 37.17449664] ; [ 86.17449664 153.82550336],0
r3,1,0.004872,7.926354,[49 10] ; [226  14],[54.26421405  4.73578595] ; [220.73578595  19.26421405],0
d1,1,0.00569,7.645974,[24 35] ; [146  95],[33.43333333 25.56666667] ; [136.56666667 104.43333333],0
d5,1,0.007194,7.223935,[38 20] ; [196  44],[45.54362416 12.45637584] ; [188.45637584  51.54362416],0
p5,1,0.007251,7.209791,[ 1 58] ; [ 34 204],[ 6.95286195 52.04713805] ; [ 28.04713805 209.95286195],0
p8,1,0.008116,7.007638,[20 39] ; [127 112],[29.10402685 29.89597315] ; [117.89597315 121.10402685],0
p2,1,0.012042,6.304673,[40 19] ; [198  42],[46.9632107 12.0367893] ; [191.0367893  48.9632107],0
p3,1,0.020101,5.403073,[18 41] ; [113 126],[25.93624161 33.06375839] ; [105.06375839 133.93624161],0
s2,1,0.020238,5.391216,[20 38] ; [123 116],[27.92592593 30.07407407] ; [115.07407407 123.92592593],0
r2,1,0.025957,4.958905,[53  6] ; [232   8],[56.23745819  2.76254181] ; [228.76254181  11.23745819],0
s8,1,0.025961,4.958616,[17 42] ; [107 132],[24.55033557 34.44966443] ; [ 99.44966443 139.55033557],0
s5,1,0.029429,4.742357,[12 44] ; [ 86 148],[18.92413793 37.07586207] ; [ 79.07586207 154.92413793],0
p7,1,0.032791,4.556639,[26 30] ; [147  90],[33.06484642 22.93515358] ; [139.93515358  97.06484642],0
u1,1,0.068474,3.319225,[ 5 54] ; [ 44 197],[ 9.63666667 49.36333333] ; [ 39.36333333 201.63666667],0
s1,1,0.072256,3.231003,[ 7 51] ; [ 13 225],[ 3.91891892 54.08108108] ; [ 16.08108108 221.91891892],0
a5,1,0.09297,2.82218,[36 23] ; [174  67],[41.3 17.7] ; [168.7  72.3],0
p1,1,0.097079,2.752881,[ 2 56] ; [ 25 215],[ 5.25503356 52.74496644] ; [ 21.74496644 218.25503356],0
d2,1,0.130637,2.284913,[22 36] ; [118 123],[27.15719064 30.84280936] ; [112.84280936 128.15719064],0
n3,1,0.131161,2.278709,[11 10] ; [43 18],[13.82926829  7.17073171] ; [40.17073171 20.82926829],0
b3,1,0.135087,2.233045,[ 9 28] ; [55 92],[12.86956522 24.13043478] ; [51.13043478 95.86956522],0
b2,1,0.135087,2.233045,[ 9 28] ; [55 92],[12.86956522 24.13043478] ; [51.13043478 95.86956522],0
n1,1,0.157744,1.995723,[ 7 16] ; [29 32],[ 9.85714286 13.14285714] ; [26.14285714 34.85714286],0
v3,1,0.159217,1.981646,[ 7 47] ; [ 51 187],[10.7260274 43.2739726] ; [ 47.2739726 190.7260274],0
v1,1,0.222969,1.485159,[20 38] ; [103 135],[24.10135135 33.89864865] ; [ 98.89864865 139.10135135],0
b1,1,0.236833,1.399346,[31 28] ; [106 135],[26.94333333 32.05666667] ; [110.05666667 130.94333333],0
u2,1,0.239535,1.383331,[15  7] ; [40 34],[12.60416667  9.39583333] ; [42.39583333 31.60416667],0
d4,1,0.31633,1.004062,[44 14] ; [196  44],[46.7114094 11.2885906] ; [193.2885906  46.7114094],0
b5,1,0.376081,0.783475,[38 21] ; [140 101],[35.00666667 23.99333333] ; [142.99333333  98.00666667],0
d3,1,0.383579,0.759199,[37 21] ; [168  73],[39.76588629 18.23411371] ; [165.23411371  75.76588629],0
a1,1,0.403066,0.699162,[ 3 56] ; [  7 234],[ 1.96666667 57.03333333] ; [  8.03333333 232.96666667],0
a3,1,0.405517,0.691904,[37 21] ; [166  73],[39.64309764 18.35690236] ; [163.35690236  75.64309764],0
n2,1,0.431928,0.617633,[14  9] ; [44 19],[15.51162791  7.48837209] ; [42.48837209 20.51162791],0
a4,1,0.462721,0.539305,[25 34] ; [114 125],[27.52013423 31.47986577] ; [111.47986577 127.52013423],0
b4,1,0.486837,0.48351,[36 23] ; [135 106],[33.63 25.37] ; [137.37 103.63],0
a2,1,0.544036,0.36811,[12 47] ; [ 58 183],[13.76666667 45.23333333] ; [ 56.23333333 184.76666667],0
s4,1,0.548562,0.3599,[10 49] ; [ 48 187],[11.63945578 47.36054422] ; [ 46.36054422 188.63945578],0
a6,1,0.552726,0.352457,[39 19] ; [152  89],[37.05016722 20.94983278] ; [153.94983278  87.05016722],0
u3,1,0.566357,0.328816,[16  6] ; [49 25],[14.89583333  7.10416667] ; [50.10416667 23.89583333],0
a7,1,0.680974,0.169032,[39 20] ; [166  75],[40.31666667 18.68333333] ; [164.68333333  76.31666667],0
s3,1,0.903067,0.014832,[34 24] ; [138 101],[33.58922559 24.41077441] ; [138.41077441 100.58922559],0
a8,1,0.963604,0.002082,[ 7 49] ; [ 28 192],[ 7.10144928 48.89855072] ; [ 27.89855072 192.10144928],0
