Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,3.1e-05,17.34744,[23 14] ; [ 5 30],[14.38888889 22.61111111] ; [13.61111111 21.38888889],1
s8,1,0.002124,9.439447,[13 24] ; [ 2 33],[ 7.70833333 29.29166667] ; [ 7.29166667 27.70833333],0
p8,1,0.004155,8.214896,[19 17] ; [ 7 28],[13.18309859 22.81690141] ; [12.81690141 22.18309859],0
p6,1,0.004211,8.190695,[14 23] ; [ 3 31],[ 8.85915493 28.14084507] ; [ 8.14084507 25.85915493],0
u2,1,0.005158,7.823276,[14 13] ; [ 2 16],[ 9.6 17.4] ; [ 6.4 11.6],0
p2,1,0.007637,7.116602,[30  7] ; [18 17],[24.66666667 12.33333333] ; [23.33333333 11.66666667],0
b3,1,0.011645,6.364201,[ 3 20] ; [8 8],[ 6.48717949 16.51282051] ; [ 4.51282051 11.48717949],0
b2,1,0.011645,6.364201,[ 3 20] ; [8 8],[ 6.48717949 16.51282051] ; [ 4.51282051 11.48717949],0
p3,1,0.016262,5.774355,[16 21] ; [ 6 29],[11.30555556 25.69444444] ; [10.69444444 24.30555556],0
s3,1,0.035079,4.441342,[18 18] ; [ 9 26],[13.69014085 22.30985915] ; [13.30985915 21.69014085],0
s7,1,0.04995,3.843137,[12 22] ; [ 5 29],[ 8.5 25.5] ; [ 8.5 25.5],0
a3,1,0.059116,3.562008,[10 27] ; [17 18],[13.875 23.125] ; [13.125 21.875],0
d5,1,0.06473,3.411841,[18 18] ; [10 25],[14.1971831 21.8028169] ; [13.8028169 21.1971831],0
v2,1,0.069297,3.299602,[12 24] ; [ 5 29],[ 8.74285714 27.25714286] ; [ 8.25714286 25.74285714],0
r3,1,0.07508,3.168321,[29  8] ; [20 14],[25.53521127 11.46478873] ; [23.46478873 10.53521127],0
s2,1,0.083398,2.997403,[13 24] ; [ 6 29],[ 9.76388889 27.23611111] ; [ 9.23611111 25.76388889],0
v4,1,0.087976,2.911021,[30  6] ; [23 12],[26.87323944  9.12676056] ; [26.12676056  8.87323944],0
p11,1,0.102159,2.671506,[24 13] ; [16 19],[20.55555556 16.44444444] ; [19.44444444 15.55555556],0
s4,1,0.155073,2.021624,[ 9 28] ; [ 4 31],[ 6.68055556 30.31944444] ; [ 6.31944444 28.68055556],0
n3,1,0.228421,1.450667,[11  2] ; [9 5],[9.62962963 3.37037037] ; [10.37037037  3.62962963],0
n5,1,0.231577,1.43115,[25 12] ; [28  7],[27.23611111  9.76388889] ; [25.76388889  9.23611111],0
r4,1,0.232513,1.42542,[20 17] ; [14 21],[17.47222222 19.52777778] ; [16.52777778 18.47222222],0
n6,1,0.243163,1.362162,[27 10] ; [21 14],[24.66666667 12.33333333] ; [23.33333333 11.66666667],0
p10,1,0.257699,1.281078,[24 13] ; [17 16],[21.67142857 15.32857143] ; [19.32857143 13.67142857],0
s1,1,0.330951,0.945174,[ 3 34] ; [ 1 34],[ 2.05555556 34.94444444] ; [ 1.94444444 33.05555556],0
d3,1,0.356495,0.850202,[ 8 27] ; [ 5 30],[ 6.5 28.5] ; [ 6.5 28.5],0
s6,1,0.433944,0.612245,[12 23] ; [ 9 26],[10.5 24.5] ; [10.5 24.5],0
v3,1,0.437445,0.602974,[ 4 33] ; [ 6 29],[ 5.13888889 31.86111111] ; [ 4.86111111 30.13888889],0
n1,1,0.484118,0.489574,[5 7] ; [ 4 10],[4.15384615 7.84615385] ; [4.84615385 9.15384615],0
a5,1,0.504821,0.444788,[11 26] ; [13 22],[12.33333333 24.66666667] ; [11.66666667 23.33333333],0
a7,1,0.531472,0.391576,[16 20] ; [13 22],[14.70422535 21.29577465] ; [14.29577465 20.70422535],0
p9,1,0.533211,0.388269,[24 13] ; [23  9],[25.20289855 11.79710145] ; [21.79710145 10.20289855],0
a8,1,0.546795,0.36309,[ 3 34] ; [ 4 28],[ 3.75362319 33.24637681] ; [ 3.24637681 28.75362319],0
p5,1,0.572021,0.319312,[ 2 34] ; [ 1 34],[ 1.52112676 34.47887324] ; [ 1.47887324 33.52112676],0
n2,1,0.581206,0.304289,[7 6] ; [9 5],[7.7037037 5.2962963] ; [8.2962963 5.7037037],0
p12,1,0.588625,0.292496,[ 2 35] ; [ 1 34],[ 1.54166667 35.45833333] ; [ 1.45833333 33.54166667],0
b5,1,0.610562,0.259357,[20 17] ; [21 14],[21.06944444 15.93055556] ; [19.93055556 15.06944444],0
a6,1,0.632422,0.228791,[19 18] ; [16 19],[17.98611111 19.01388889] ; [17.01388889 17.98611111],0
p1,1,0.634553,0.225937,[ 3 34] ; [ 4 31],[ 3.59722222 33.40277778] ; [ 3.40277778 31.59722222],0
b4,1,0.641777,0.216426,[17 20] ; [18 17],[17.98611111 19.01388889] ; [17.01388889 17.98611111],0
d2,1,0.682777,0.167016,[ 9 28] ; [10 25],[ 9.76388889 27.23611111] ; [ 9.23611111 25.76388889],0
u3,1,0.693306,0.15553,[ 9 18] ; [ 5 13],[ 8.4 18.6] ; [ 5.6 12.4],0
s5,1,0.719681,0.128798,[ 4 32] ; [ 3 32],[ 3.54929577 32.45070423] ; [ 3.45070423 31.54929577],0
r2,1,0.733975,0.115493,[27  9] ; [25 10],[26.36619718  9.63380282] ; [25.63380282  9.36619718],0
n4,1,0.780249,0.077838,[21 16] ; [21 14],[21.58333333 15.41666667] ; [20.41666667 14.58333333],0
b1,1,0.803146,0.062139,[18 19] ; [16 19],[17.47222222 19.52777778] ; [16.52777778 18.47222222],0
v1,1,0.883738,0.021384,[10 27] ; [10 25],[10.27777778 26.72222222] ; [ 9.72222222 25.27777778],0
a4,1,0.907775,0.01342,[ 7 30] ; [ 7 28],[ 7.19444444 29.80555556] ; [ 6.80555556 28.19444444],0
a2,1,0.954395,0.00327,[ 2 35] ; [ 2 33],[ 2.05555556 34.94444444] ; [ 1.94444444 33.05555556],0
d1,1,0.968208,0.001589,[ 1 36] ; [ 1 34],[ 1.02777778 35.97222222] ; [ 0.97222222 34.02777778],0
