Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,48.777508,[110 150] ; [230  94],[151.36986301 108.63013699] ; [188.63013699 135.36986301],1
v3,1,0.0,33.388464,[ 83 179] ; [179 143],[117.54109589 144.45890411] ; [144.45890411 177.54109589],1
p4,1,5e-06,21.010231,[133 133] ; [226 104],[160.22483221 105.77516779] ; [198.77516779 131.22483221],1
p6,1,8e-06,20.027135,[ 74 190] ; [150 176],[100.23050847 163.76949153] ; [123.76949153 202.23050847],1
s8,1,1.4e-05,18.867716,[ 91 177] ; [171 160],[117.22203673 150.77796327] ; [144.77796327 186.22203673],1
p2,1,1.6e-05,18.666904,[202  66] ; [293  37],[221.83946488  46.16053512] ; [273.16053512  56.83946488],1
p9,1,6.9e-05,15.841309,[199  64] ; [290  39],[217.24155405  45.75844595] ; [271.75844595  57.24155405],1
s6,1,7.2e-05,15.767206,[143 121] ; [231  99],[166.22222222  97.77777778] ; [207.77777778 122.22222222],1
p8,1,0.000156,14.303747,[115 149] ; [193 133],[137.81694915 126.18305085] ; [170.18305085 155.81694915],1
p10,1,0.000157,14.28423,[194  71] ; [281  47],[212.26812816  52.73187184] ; [262.73187184  65.26812816],1
v4,1,0.000207,13.764781,[236  32] ; [319  13],[247.9  20.1] ; [307.1  24.9],1
s2,1,0.000454,12.296099,[104 165] ; [175 155],[125.29382304 143.70617696] ; [153.70617696 176.29382304],1
p3,1,0.000627,11.695251,[115 153] ; [188 142],[135.79264214 132.20735786] ; [167.20735786 162.79264214],1
p7,1,0.00073,11.412082,[148 116] ; [224  98],[167.59044369  96.40955631] ; [204.40955631 117.59044369],1
s5,1,0.001144,10.578524,[ 62 200] ; [117 207],[ 80.03071672 181.96928328] ; [ 98.96928328 225.03071672],0
r4,1,0.001157,10.557409,[226  44] ; [308  26],[238.70860927  31.29139073] ; [295.29139073  38.70860927],0
n5,1,0.001357,10.263728,[215  52] ; [298  34],[228.66611018  38.33388982] ; [284.33388982  47.66611018],0
r3,1,0.001493,10.086887,[239  28] ; [320  13],[248.755  18.245] ; [310.245  22.755],0
p11,1,0.002225,9.353872,[198  72] ; [279  55],[213.22847682  56.77152318] ; [263.77152318  70.22847682],0
b5,1,0.00312,8.73565,[140 130] ; [213 121],[157.79801325 112.20198675] ; [195.20198675 138.79801325],0
r2,1,0.005236,7.796122,[242  23] ; [319  11],[249.85714286  15.14285714] ; [311.14285714  18.85714286],0
r1,1,0.006946,7.28681,[204  66] ; [280  52],[217.07641196  52.92358804] ; [266.92358804  65.07641196],0
s7,1,0.016089,5.793115,[113 142] ; [171 143],[127.27592267 127.72407733] ; [156.72407733 157.27592267],0
n6,1,0.019797,5.429741,[223  45] ; [296  34],[232.59531773  35.40468227] ; [286.40468227  43.59531773],0
u3,1,0.01997,5.414553,[34 48] ; [50 34],[41.4939759 40.5060241] ; [42.5060241 41.4939759],0
p12,1,0.033221,4.534359,[ 16 251] ; [ 36 293],[ 23.29530201 243.70469799] ; [ 28.70469799 300.29530201],0
p5,1,0.041247,4.165844,[ 27 241] ; [ 52 278],[ 35.40468227 232.59531773] ; [ 43.59531773 286.40468227],0
u4,1,0.048491,3.892881,[  2 268] ; [ 10 324],[  5.36423841 264.63576159] ; [  6.63576159 327.36423841],0
d1,1,0.055691,3.661288,[149 121] ; [210 124],[160.48013245 109.51986755] ; [198.51986755 135.48013245],0
