Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.00486,7.930712,[3 2] ; [44  2],[4.60784314 0.39215686] ; [42.39215686  3.60784314],0
r1,1,0.015845,5.819969,[1 4] ; [35 13],[3.39622642 1.60377358] ; [32.60377358 15.39622642],0
r2,1,0.016811,5.716049,[3 2] ; [43  3],[4.50980392 0.49019608] ; [41.49019608  4.50980392],0
s2,1,0.030524,4.679547,[1 4] ; [33 15],[3.20754717 1.79245283] ; [30.79245283 17.20754717],0
p2,1,0.073472,3.203701,[2 3] ; [37 11],[3.67924528 1.32075472] ; [35.32075472 12.67924528],0
v2,1,0.095853,2.773217,[1 4] ; [26 18],[2.75510204 2.24489796] ; [24.24489796 19.75510204],0
s3,1,0.105801,2.615848,[2 3] ; [35 12],[3.55769231 1.44230769] ; [33.44230769 13.55769231],0
n2,1,0.143963,2.135076,[2 1] ; [16  1],[2.7 0.3] ; [15.3  1.7],0
a2,1,0.149725,2.075053,[2 3] ; [ 7 41],[0.8490566 4.1509434] ; [ 8.1509434 39.8490566],0
a3,1,0.159817,1.975953,[2 3] ; [34 14],[3.39622642 1.60377358] ; [32.60377358 15.39622642],0
p4,1,0.200954,1.635429,[1 4] ; [24 24],[2.35849057 2.64150943] ; [22.64150943 25.35849057],0
u3,1,0.201352,1.63254,[2 1] ; [13  1],[2.64705882 0.35294118] ; [12.35294118  1.64705882],0
n3,1,0.212296,1.555699,[1 2] ; [12  5],[1.95 1.05] ; [11.05  5.95],0
u2,1,0.226104,1.465201,[2 1] ; [12  1],[2.625 0.375] ; [11.375  1.625],0
a5,1,0.236689,1.400206,[2 3] ; [32 16],[3.20754717 1.79245283] ; [30.79245283 17.20754717],0
v1,1,0.251183,1.316712,[4 1] ; [25 22],[2.78846154 2.21153846] ; [26.21153846 20.78846154],0
p9,1,0.264843,1.243263,[3 2] ; [39  9],[3.96226415 1.03773585] ; [38.03773585  9.96226415],0
p5,1,0.277327,1.180142,[1 4] ; [ 3 44],[0.38461538 4.61538462] ; [ 3.61538462 43.38461538],0
d5,1,0.27776,1.178016,[3 2] ; [38  9],[3.94230769 1.05769231] ; [37.05769231  9.94230769],0
s5,1,0.382078,0.764007,[1 4] ; [18 27],[1.9 3.1] ; [17.1 27.9],0
s6,1,0.398157,0.713886,[3 2] ; [37 11],[3.77358491 1.22641509] ; [36.22641509 11.77358491],0
n4,1,0.431191,0.619614,[2 3] ; [28 20],[2.83018868 2.16981132] ; [27.16981132 20.83018868],0
a7,1,0.437429,0.603019,[4 1] ; [30 18],[3.20754717 1.79245283] ; [30.79245283 17.20754717],0
p10,1,0.469066,0.524176,[3 2] ; [36 12],[3.67924528 1.32075472] ; [35.32075472 12.67924528],0
v3,1,0.492281,0.471536,[2 3] ; [11 32],[1.35416667 3.64583333] ; [11.64583333 31.35416667],0
a4,1,0.541744,0.372317,[2 3] ; [13 35],[1.41509434 3.58490566] ; [13.58490566 34.41509434],0
b4,1,0.545913,0.36469,[2 3] ; [26 22],[2.64150943 2.35849057] ; [25.35849057 22.64150943],0
n1,1,0.595732,0.281481,[2 1] ; [8 8],[1.57894737 1.42105263] ; [8.42105263 7.57894737],0
s4,1,0.602034,0.271938,[1 4] ; [15 33],[1.50943396 3.49056604] ; [14.49056604 33.50943396],0
p6,1,0.602034,0.271938,[1 4] ; [15 33],[1.50943396 3.49056604] ; [14.49056604 33.50943396],0
d1,1,0.607005,0.26456,[2 3] ; [25 23],[2.54716981 2.45283019] ; [24.45283019 23.54716981],0
a6,1,0.646055,0.21091,[4 1] ; [33 14],[3.55769231 1.44230769] ; [33.44230769 13.55769231],0
d3,1,0.646055,0.21091,[4 1] ; [33 14],[3.55769231 1.44230769] ; [33.44230769 13.55769231],0
b2,1,0.73789,0.111989,[1 3] ; [10 20],[1.29411765 2.70588235] ; [ 9.70588235 20.29411765],0
b3,1,0.73789,0.111989,[1 3] ; [10 20],[1.29411765 2.70588235] ; [ 9.70588235 20.29411765],0
p11,1,0.764514,0.089735,[3 2] ; [32 16],[3.30188679 1.69811321] ; [31.69811321 16.30188679],0
s8,1,0.803069,0.062189,[3 2] ; [26 22],[2.73584906 2.26415094] ; [26.26415094 21.73584906],0
b1,1,0.803069,0.062189,[3 2] ; [26 22],[2.73584906 2.26415094] ; [26.26415094 21.73584906],0
n5,1,0.841204,0.040142,[2 3] ; [21 26],[2.21153846 2.78846154] ; [20.78846154 26.21153846],0
d2,1,0.865739,0.028586,[2 3] ; [17 30],[1.82692308 3.17307692] ; [17.17307692 29.82692308],0
b5,1,0.872086,0.025924,[3 2] ; [27 21],[2.83018868 2.16981132] ; [27.16981132 20.83018868],0
d4,1,0.963385,0.002107,[4 1] ; [38  9],[4.03846154 0.96153846] ; [37.96153846  9.03846154],0
p8,1,0.985291,0.00034,[2 3] ; [19 28],[2.01923077 2.98076923] ; [18.98076923 28.01923077],0
