Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,39.108333,[84 12] ; [24 36],[66.46153846 29.53846154] ; [41.53846154 18.46153846],1
s6,1,7.9e-05,15.584216,[63 28] ; [22 38],[51.22516556 39.77483444] ; [33.77483444 26.22516556],1
r3,1,0.000176,14.06748,[85 11] ; [38 22],[75.69230769 20.30769231] ; [47.30769231 12.69230769],1
v1,1,0.000659,11.600523,[41 53] ; [10 49],[31.33333333 62.66666667] ; [19.66666667 39.33333333],1
r2,1,0.000756,11.345484,[87  9] ; [41 18],[79.27741935 16.72258065] ; [48.72258065 10.27741935],1
s8,1,0.000894,11.036113,[44 51] ; [12 48],[34.32258065 60.67741935] ; [21.67741935 38.32258065],1
p11,1,0.001172,10.533645,[75 21] ; [32 28],[65.84615385 30.15384615] ; [41.15384615 18.84615385],0
v4,1,0.002206,9.369377,[86  9] ; [43 17],[79.06451613 15.93548387] ; [49.93548387 10.06451613],0
d5,1,0.00245,9.177632,[66 29] ; [27 33],[57. 38.] ; [36. 24.],0
d1,1,0.003179,8.701573,[45 51] ; [14 46],[36.30769231 59.69230769] ; [22.69230769 37.30769231],0
a3,1,0.004562,8.045551,[66 30] ; [27 32],[57.6 38.4] ; [35.4 23.6],0
s5,1,0.007982,7.037453,[36 56] ; [11 48],[28.63576159 63.36423841] ; [18.36423841 40.63576159],0
s3,1,0.008599,6.904187,[59 37] ; [23 35],[51.11688312 44.88311688] ; [30.88311688 27.11688312],0
u3,1,0.008609,6.902268,[17 13] ; [ 8 25],[11.9047619 18.0952381] ; [13.0952381 19.9047619],0
s7,1,0.00928,6.768058,[48 43] ; [18 40],[40.30872483 50.69127517] ; [25.69127517 32.30872483],0
p10,1,0.010104,6.616508,[67 28] ; [30 30],[59.4516129 35.5483871] ; [37.5483871 22.4516129],0
d3,1,0.013899,6.050909,[48 48] ; [18 42],[40.61538462 55.38461538] ; [25.38461538 34.61538462],0
a5,1,0.016138,5.787766,[65 31] ; [29 31],[57.84615385 38.15384615] ; [36.15384615 23.84615385],0
p6,1,0.019306,5.47357,[35 60] ; [11 47],[28.5620915 66.4379085] ; [17.4379085 40.5620915],0
n4,1,0.019732,5.435475,[73 23] ; [35 25],[66.46153846 29.53846154] ; [41.53846154 18.46153846],0
p2,1,0.026681,4.911305,[71 24] ; [34 25],[64.77272727 30.22727273] ; [40.22727273 18.77272727],0
s2,1,0.027913,4.833449,[42 53] ; [16 44],[35.5483871 59.4516129] ; [22.4516129 37.5483871],0
d4,1,0.029975,4.710704,[67 28] ; [32 28],[60.67741935 34.32258065] ; [38.32258065 21.67741935],0
s1,1,0.053967,3.713717,[ 9 86] ; [ 1 59],[ 6.12903226 88.87096774] ; [ 3.87096774 56.12903226],0
p7,1,0.056058,3.65034,[54 40] ; [25 35],[48.22077922 45.77922078] ; [30.77922078 29.22077922],0
v3,1,0.086809,2.93258,[23 70] ; [ 8 52],[18.84313725 74.15686275] ; [12.15686275 47.84313725],0
p4,1,0.091244,2.852292,[48 47] ; [22 38],[42.90322581 52.09677419] ; [27.09677419 32.90322581],0
a4,1,0.09989,2.707295,[45 50] ; [20 39],[40.0974026 54.9025974] ; [24.9025974 34.0974026],0
n6,1,0.138001,2.200113,[75 20] ; [41 19],[71.09677419 23.90322581] ; [44.90322581 15.09677419],0
u2,1,0.175806,1.832727,[16 14] ; [12 21],[13.33333333 16.66666667] ; [14.66666667 18.33333333],0
p9,1,0.205537,1.602586,[69 27] ; [36 22],[65.45454545 30.54545455] ; [39.54545455 18.45454545],0
p3,1,0.222648,1.48722,[41 54] ; [20 40],[37.38709677 57.61290323] ; [23.61290323 36.38709677],0
a1,1,0.255408,1.29348,[ 5 91] ; [ 6 54],[ 6.76923077 89.23076923] ; [ 4.23076923 55.76923077],0
p5,1,0.300517,1.071898,[13 81] ; [ 5 55],[10.98701299 83.01298701] ; [ 7.01298701 52.98701299],0
u1,1,0.302265,1.064172,[ 7 89] ; [ 2 58],[ 5.53846154 90.46153846] ; [ 3.46153846 56.53846154],0
p12,1,0.413658,0.668263,[ 6 89] ; [ 2 58],[ 4.90322581 90.09677419] ; [ 3.09677419 56.90322581],0
p8,1,0.431969,0.617523,[38 58] ; [20 40],[35.69230769 60.30769231] ; [22.30769231 37.69230769],0
p1,1,0.440181,0.59581,[ 9 87] ; [ 8 52],[10.46153846 85.53846154] ; [ 6.53846154 53.46153846],0
d2,1,0.453659,0.561493,[44 52] ; [23 35],[41.76623377 54.23376623] ; [25.23376623 32.76623377],0
n1,1,0.463762,0.536801,[10 21] ; [12 17],[11.36666667 19.63333333] ; [10.63333333 18.36666667],0
b1,1,0.47805,0.503309,[52 44] ; [29 31],[49.84615385 46.15384615] ; [31.15384615 28.84615385],0
b2,1,0.483647,0.49063,[26 36] ; [14 26],[24.31372549 37.68627451] ; [15.68627451 24.31372549],0
b3,1,0.483647,0.49063,[26 36] ; [14 26],[24.31372549 37.68627451] ; [15.68627451 24.31372549],0
b4,1,0.525907,0.402294,[53 43] ; [30 30],[51.07692308 44.92307692] ; [31.92307692 28.07692308],0
a2,1,0.551551,0.354545,[ 9 87] ; [ 4 56],[ 8. 88.] ; [ 5. 55.],0
n2,1,0.645238,0.211957,[21 10] ; [18 11],[20.15 10.85] ; [18.85 10.15],0
a8,1,0.648025,0.2084,[10 80] ; [ 5 52],[ 9.18367347 80.81632653] ; [ 5.81632653 51.18367347],0
n5,1,0.672947,0.178174,[71 24] ; [43 17],[69.87096774 25.12903226] ; [44.12903226 15.87096774],0
s4,1,0.828767,0.046778,[22 73] ; [13 47],[21.4516129 73.5483871] ; [13.5483871 46.4516129],0
b5,1,0.899255,0.016028,[47 49] ; [30 30],[47.38461538 48.61538462] ; [29.61538462 30.38461538],0
n3,1,0.903437,0.014719,[15 13] ; [16 13],[15.22807018 12.77192982] ; [15.77192982 13.22807018],0
a6,1,1.0,0.0,[40 56] ; [25 35],[40. 56.] ; [25. 35.],0
