Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,4.1e-05,16.811672,[ 4 21] ; [22  9],[11.60714286 13.39285714] ; [14.39285714 16.60714286],1
p6,1,0.000711,11.461414,[ 1 23] ; [14 17],[ 6.54545455 17.45454545] ; [ 8.45454545 22.54545455],1
p8,1,0.001668,9.883547,[ 2 23] ; [14 16],[ 7.27272727 17.72727273] ; [ 8.72727273 21.27272727],0
p4,1,0.017141,5.681897,[ 3 21] ; [13 18],[ 6.98181818 17.01818182] ; [ 9.01818182 21.98181818],0
n4,1,0.019703,5.438014,[19  6] ; [14 17],[14.73214286 10.26785714] ; [18.26785714 12.73214286],0
s3,1,0.02446,5.061701,[ 7 18] ; [18 13],[11.16071429 13.83928571] ; [13.83928571 17.16071429],0
v1,1,0.035872,4.403165,[ 4 21] ; [13 18],[ 7.58928571 17.41071429] ; [ 9.41071429 21.58928571],0
p1,1,0.043637,4.070538,[ 5 20] ; [ 1 30],[ 2.67857143 22.32142857] ; [ 3.32142857 27.67857143],0
a7,1,0.043637,4.070538,[ 7 18] ; [17 14],[10.71428571 14.28571429] ; [13.28571429 17.71428571],0
b5,1,0.051868,3.780023,[ 8 17] ; [18 13],[11.60714286 13.39285714] ; [14.39285714 16.60714286],0
v4,1,0.055134,3.678019,[14 11] ; [24  6],[17.27272727  7.72727273] ; [20.72727273  9.27272727],0
b2,1,0.060132,3.533754,[9 8] ; [ 4 14],[ 6.31428571 10.68571429] ; [ 6.68571429 11.31428571],0
b3,1,0.060132,3.533754,[9 8] ; [ 4 14],[ 6.31428571 10.68571429] ; [ 6.68571429 11.31428571],0
r3,1,0.087976,2.911028,[14 11] ; [24  7],[16.96428571  8.03571429] ; [21.03571429  9.96428571],0
v2,1,0.131836,2.270747,[ 5 19] ; [12 18],[ 7.55555556 16.44444444] ; [ 9.44444444 20.55555556],0
s5,1,0.139584,2.18254,[ 5 20] ; [ 2 28],[ 3.18181818 21.81818182] ; [ 3.81818182 26.18181818],0
n5,1,0.140382,2.173763,[17  8] ; [15 16],[14.28571429 10.71428571] ; [17.71428571 13.28571429],0
d3,1,0.187264,1.739011,[ 7 18] ; [14 17],[ 9.375 15.625] ; [11.625 19.375],0
p3,1,0.202284,1.625806,[ 5 20] ; [11 20],[ 7.14285714 17.85714286] ; [ 8.85714286 22.14285714],0
s2,1,0.202284,1.625806,[ 5 20] ; [11 20],[ 7.14285714 17.85714286] ; [ 8.85714286 22.14285714],0
r4,1,0.214394,1.541505,[12 13] ; [20 11],[14.28571429 10.71428571] ; [17.71428571 13.28571429],0
a5,1,0.245204,1.350423,[11 14] ; [ 9 22],[ 8.92857143 16.07142857] ; [11.07142857 19.92857143],0
b1,1,0.269272,1.220451,[10 15] ; [17 14],[12.05357143 12.94642857] ; [14.94642857 16.05357143],0
