Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,5.1e-05,16.423797,[48  3] ; [7 7],[43.15384615  7.84615385] ; [11.84615385  2.15384615],1
d3,1,0.000637,11.664799,[44  7] ; [6 8],[39.23076923 11.76923077] ; [10.76923077  3.23076923],1
p10,1,0.001131,10.599493,[41 10] ; [5 9],[36.09230769 14.90769231] ; [9.90769231 4.09230769],0
d2,1,0.001302,10.340147,[32 19] ; [ 2 12],[26.67692308 24.32307692] ; [7.32307692 6.67692308],0
a4,1,0.003151,8.717771,[30 21] ; [ 2 12],[25.10769231 25.89230769] ; [6.89230769 7.10769231],0
s6,1,0.008965,6.829823,[36 13] ; [5 9],[31.88888889 17.11111111] ; [9.11111111 4.88888889],0
a5,1,0.009534,6.720029,[40 11] ; [6 8],[36.09230769 14.90769231] ; [9.90769231 4.09230769],0
v2,1,0.010695,6.515291,[30 20] ; [ 3 11],[25.78125 24.21875] ; [7.21875 6.78125],0
v1,1,0.011927,6.321633,[26 24] ; [ 2 12],[21.875 28.125] ; [6.125 7.875],0
p4,1,0.015788,5.826331,[39 12] ; [6 8],[35.30769231 15.69230769] ; [9.69230769 4.30769231],0
p12,1,0.029444,4.74148,[ 2 49] ; [ 3 11],[ 3.92307692 47.07692308] ; [ 1.07692308 12.92307692],0
b4,1,0.036258,4.384921,[34 17] ; [5 9],[30.6 20.4] ; [8.4 5.6],0
a8,1,0.036878,4.356057,[ 2 46] ; [ 3 11],[ 3.87096774 44.12903226] ; [ 1.12903226 12.87096774],0
p5,1,0.051552,3.790247,[ 1 50] ; [ 2 12],[ 2.35384615 48.64615385] ; [ 0.64615385 13.35384615],0
a3,1,0.054589,3.694608,[36 15] ; [6 8],[32.95384615 18.04615385] ; [9.04615385 4.95384615],0
s8,1,0.056811,3.628118,[25 25] ; [ 3 11],[21.875 28.125] ; [6.125 7.875],0
s5,1,0.065087,3.402778,[22 26] ; [ 2 10],[19.2 28.8] ; [4.8 7.2],0
a2,1,0.067655,3.339006,[16 35] ; [ 1 13],[13.33846154 37.66153846] ; [ 3.66153846 10.33846154],0
r4,1,0.07507,3.16853,[48  3] ; [11  3],[46.29230769  4.70769231] ; [12.70769231  1.29230769],0
p9,1,0.108387,2.57758,[40 11] ; [8 6],[37.66153846 13.33846154] ; [10.33846154  3.66153846],0
v4,1,0.152898,2.043096,[49  2] ; [12  2],[47.86153846  3.13846154] ; [13.13846154  0.86153846],0
a1,1,0.152898,2.043096,[ 2 49] ; [ 2 12],[ 3.13846154 47.86153846] ; [ 0.86153846 13.13846154],0
r2,1,0.159933,1.974857,[48  2] ; [12  2],[46.875  3.125] ; [13.125  0.875],0
s7,1,0.200655,1.637601,[27 22] ; [5 9],[24.88888889 24.11111111] ; [7.11111111 6.88888889],0
n4,1,0.253438,1.304252,[27 24] ; [5 9],[25.10769231 25.89230769] ; [6.89230769 7.10769231],0
