Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,50.260132,[101  15] ; [123 132],[70.03773585 45.96226415] ; [153.96226415 101.03773585],1
p4,1,0.0,29.449143,[83 34] ; [105 153],[58.656 58.344] ; [129.344 128.656],1
p5,1,1e-06,23.709038,[25 92] ; [ 13 246],[ 11.82446809 105.17553191] ; [ 26.17553191 232.82446809],1
p8,1,5e-06,20.679264,[75 42] ; [101 159],[54.62068966 62.37931034] ; [121.37931034 138.62068966],1
p3,1,6e-06,20.58883,[70 47] ; [ 91 170],[49.83333333 67.16666667] ; [111.16666667 149.83333333],1
s7,1,0.000497,12.12824,[60 50] ; [ 87 162],[45.04178273 64.95821727] ; [101.95821727 147.04178273],1
b3,1,0.000538,11.979219,[32 36] ; [ 33 108],[21.14832536 46.85167464] ; [43.85167464 97.14832536],1
b2,1,0.000538,11.979219,[32 36] ; [ 33 108],[21.14832536 46.85167464] ; [43.85167464 97.14832536],1
s5,1,0.000728,11.416034,[44 67] ; [ 57 197],[30.71506849 80.28493151] ; [ 70.28493151 183.71506849],1
p12,1,0.001773,9.770476,[ 13 104] ; [  8 250],[  6.552 110.448] ; [ 14.448 243.552],0
s8,1,0.002951,8.837252,[52 64] ; [ 76 185],[39.38461538 76.61538462] ; [ 88.61538462 172.38461538],0
p1,1,0.006372,7.441904,[ 16 101] ; [ 14 244],[  9.36 107.64] ; [ 20.64 237.36],0
n2,1,0.013645,6.083545,[17  9] ; [57  8],[21.14285714  4.85714286] ; [52.85714286 12.14285714],0
p2,1,0.016237,5.777,[101  16] ; [196  64],[92.17241379 24.82758621] ; [204.82758621  55.17241379],0
v2,1,0.018749,5.524776,[67 49] ; [110 137],[56.56198347 59.43801653] ; [120.43801653 126.56198347],0
s2,1,0.034168,4.486255,[59 57] ; [101 157],[49.62566845 66.37433155] ; [110.37433155 147.62566845],0
n5,1,0.035732,4.409835,[88 27] ; [170  89],[79.3315508 35.6684492] ; [178.6684492  80.3315508],0
s6,1,0.040385,4.201635,[78 34] ; [150 107],[69.20325203 42.79674797] ; [158.79674797  98.20325203],0
n4,1,0.050885,3.812064,[89 28] ; [171  88],[80.90425532 36.09574468] ; [179.09574468  79.90425532],0
n6,1,0.06161,3.49351,[99 17] ; [200  60],[92.24468085 23.75531915] ; [206.75531915  53.24468085],0
a4,1,0.067946,3.331963,[36 80] ; [ 58 203],[28.92307692 87.07692308] ; [ 65.07692308 195.92307692],0
n3,1,0.071465,3.249056,[17  9] ; [53 11],[20.22222222  5.77777778] ; [49.77777778 14.22222222],0
p11,1,0.073257,3.208488,[96 21] ; [192  69],[89.14285714 27.85714286] ; [198.85714286  62.14285714],0
a2,1,0.12948,2.298727,[ 10 107] ; [ 12 249],[  6.80952381 110.19047619] ; [ 15.19047619 245.80952381],0
v1,1,0.193467,1.691017,[60 56] ; [112 140],[54.2173913 61.7826087] ; [117.7826087 134.2173913],0
p9,1,0.197758,1.658854,[97 20] ; [198  59],[92.28609626 24.71390374] ; [202.71390374  54.28609626],0
a5,1,0.202885,1.621486,[59 58] ; [150 111],[64.69047619 52.30952381] ; [144.30952381 116.69047619],0
p10,1,0.211153,1.563506,[91 24] ; [187  69],[86.17250674 28.82749326] ; [191.82749326  64.17250674],0
a8,1,0.214218,1.542692,[20 91] ; [ 32 214],[16.16806723 94.83193277] ; [ 35.83193277 210.16806723],0
b5,1,0.232279,1.426852,[74 43] ; [148 113],[68.71428571 48.28571429] ; [153.28571429 107.71428571],0
s4,1,0.244553,1.354157,[16 99] ; [ 49 211],[19.93333333 95.06666667] ; [ 45.06666667 214.93333333],0
u2,1,0.290292,1.118269,[30 23] ; [55 60],[26.81547619 26.18452381] ; [58.18452381 56.81547619],0
u1,1,0.326159,0.964089,[  6 111] ; [  8 253],[  4.33333333 112.66666667] ; [  9.66666667 251.33333333],0
v3,1,0.331558,0.942803,[42 74] ; [ 79 175],[37.93513514 78.06486486] ; [ 83.06486486 170.93513514],0
b1,1,0.332987,0.937246,[51 66] ; [100 161],[46.73809524 70.26190476] ; [104.26190476 156.73809524],0
s1,1,0.339885,0.910866,[  3 113] ; [ 12 244],[  4.67741935 111.32258065] ; [ 10.32258065 245.67741935],0
a6,1,0.378424,0.775815,[72 45] ; [148 113],[68.0952381 48.9047619] ; [151.9047619 109.0952381],0
a7,1,0.471318,0.518885,[78 37] ; [167  94],[74.93351064 40.06648936] ; [170.06648936  90.93351064],0
r1,1,0.506916,0.440429,[87 30] ; [184  75],[84.32712766 32.67287234] ; [186.67287234  72.32712766],0
d5,1,0.521463,0.410999,[63 53] ; [151 110],[65.84615385 50.15384615] ; [148.15384615 112.84615385],0
d4,1,0.545962,0.364601,[72 45] ; [152 109],[69.33333333 47.66666667] ; [154.66666667 106.33333333],0
a1,1,0.55118,0.355207,[  5 112] ; [  8 253],[  4.02380952 112.97619048] ; [  8.97619048 252.02380952],0
r2,1,0.588182,0.293193,[106  10] ; [232  27],[104.55466667  11.44533333] ; [233.44533333  25.55466667],0
d3,1,0.615442,0.252326,[49 66] ; [104 157],[46.79521277 68.20478723] ; [106.20478723 154.79521277],0
u3,1,0.72046,0.128053,[28 24] ; [59 57],[26.92857143 25.07142857] ; [60.07142857 55.92857143],0
n1,1,0.751579,0.100209,[10 16] ; [22 41],[ 9.34831461 16.65168539] ; [22.65168539 40.34831461],0
s3,1,0.758613,0.094435,[59 58] ; [134 123],[60.37700535 56.62299465] ; [132.62299465 124.37700535],0
d2,1,0.809494,0.058119,[ 16 101] ; [ 38 222],[ 16.75862069 100.24137931] ; [ 37.24137931 222.75862069],0
r4,1,0.829956,0.046121,[104  13] ; [230  31],[103.38095238  13.61904762] ; [230.61904762  30.38095238],0
b4,1,0.834988,0.043393,[65 52] ; [148 113],[65.92857143 51.07142857] ; [147.07142857 113.92857143],0
v4,1,0.93624,0.006399,[109   8] ; [240  17],[109.17914439   7.82085561] ; [239.82085561  17.17914439],0
a3,1,0.956932,0.002916,[64 53] ; [143 117],[64.24137931 52.75862069] ; [142.75862069 117.24137931],0
