Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,105.594981,[ 9 38] ; [278  45],[36.45675676 10.54324324] ; [250.54324324  72.45675676],1
v4,1,0.0,72.455169,[24 23] ; [301  20],[41.50815217  5.49184783] ; [283.49184783  37.50815217],1
r1,1,0.0,33.810487,[17 30] ; [248  74],[33.75338753 13.24661247] ; [231.24661247  90.75338753],1
r3,1,1e-06,23.35996,[31 15] ; [295  27],[40.75  5.25] ; [285.25  36.75],1
b1,1,2e-05,18.180496,[30 17] ; [103 220],[16.89459459 30.10540541] ; [116.10540541 206.89459459],1
a6,1,3.1e-05,17.348615,[18 29] ; [223  99],[30.69647696 16.30352304] ; [210.30352304 111.69647696],1
d5,1,7.7e-05,15.626112,[22 25] ; [240  81],[33.46195652 13.53804348] ; [228.53804348  92.46195652],1
u3,1,0.001653,9.900319,[ 4 18] ; [63 52],[10.75912409 11.24087591] ; [56.24087591 58.75912409],0
n6,1,0.002598,9.070533,[25 21] ; [243  79],[33.5 12.5] ; [234.5  87.5],0
d1,1,0.003037,8.784914,[13 34] ; [164 159],[22.48378378 24.51621622] ; [154.51621622 168.48378378],0
s3,1,0.003172,8.705864,[10 35] ; [145 174],[19.16208791 25.83791209] ; [135.83791209 183.16208791],0
a7,1,0.005669,7.652644,[24 23] ; [229  93],[32.22493225 14.77506775] ; [220.77506775 101.22493225],0
d3,1,0.009679,6.693038,[23 24] ; [218 102],[30.86376022 16.13623978] ; [210.13623978 109.86376022],0
p12,1,0.016293,5.771016,[ 3 44] ; [  4 316],[ 0.89645777 46.10354223] ; [  6.10354223 313.89645777],0
p2,1,0.016612,5.736925,[27 20] ; [239  83],[33.88075881 13.11924119] ; [232.11924119  89.88075881],0
v3,1,0.01907,5.495072,[ 7 40] ; [ 98 212],[13.82352941 33.17647059] ; [ 91.17647059 218.82352941],0
n4,1,0.019523,5.45405,[24 23] ; [220 102],[31.07859079 15.92140921] ; [212.92140921 109.07859079],0
p10,1,0.019619,5.445458,[23 22] ; [219 100],[29.91758242 15.08241758] ; [212.08241758 106.91758242],0
p9,1,0.02087,5.337622,[25 19] ; [234  84],[31.48066298 12.51933702] ; [227.51933702  90.48066298],0
a1,1,0.022746,5.187795,[ 5 42] ; [ 11 312],[ 2.03243243 44.96756757] ; [ 13.96756757 309.03243243],0
s2,1,0.024106,5.086982,[ 9 37] ; [117 204],[15.79291553 30.20708447] ; [110.20708447 210.79291553],0
d4,1,0.024181,5.081638,[29 18] ; [247  74],[35.25 11.75] ; [240.75  80.25],0
s6,1,0.033666,4.511587,[16 31] ; [162 158],[22.79564033 24.20435967] ; [155.20435967 164.79564033],0
a5,1,0.035324,4.429439,[22 25] ; [203 120],[28.58108108 18.41891892] ; [196.41891892 126.58108108],0
s7,1,0.035844,4.40451,[ 7 35] ; [101 209],[12.88636364 29.11363636] ; [ 95.11363636 214.88636364],0
p11,1,0.039532,4.237845,[27 20] ; [233  90],[33.02702703 13.97297297] ; [226.97297297  96.02702703],0
v1,1,0.077632,3.113803,[13 34] ; [130 186],[18.51515152 28.48484848] ; [124.48484848 191.51515152],0
d2,1,0.084478,2.976581,[13 34] ; [131 190],[18.39130435 28.60869565] ; [125.60869565 195.39130435],0
p6,1,0.088067,2.909357,[ 5 41] ; [ 69 249],[ 9.35164835 36.64835165] ; [ 64.64835165 253.35164835],0
a2,1,0.096409,2.763965,[ 4 43] ; [ 59 264],[ 8.0027027 38.9972973] ; [ 54.9972973 268.0027027],0
u1,1,0.133138,2.255532,[ 2 45] ; [ 37 286],[ 4.95405405 42.04594595] ; [ 34.04594595 288.95405405],0
p7,1,0.13973,2.180926,[16 31] ; [142 170],[20.68523677 26.31476323] ; [137.31476323 174.68523677],0
s1,1,0.141913,2.15709,[ 4 43] ; [ 12 304],[ 2.07162534 44.92837466] ; [ 13.92837466 302.07162534],0
a4,1,0.153114,2.040955,[13 34] ; [123 197],[17.41689373 29.58310627] ; [118.58310627 201.41689373],0
n2,1,0.188811,1.726868,[13 10] ; [70 29],[15.64754098  7.35245902] ; [67.35245902 31.64754098],0
a3,1,0.206415,1.596396,[25 21] ; [206 116],[28.875 17.125] ; [202.125 119.875],0
s8,1,0.238375,1.390179,[ 9 38] ; [ 88 235],[12.32162162 34.67837838] ; [ 84.67837838 238.32162162],0
b4,1,0.243072,1.362688,[31 16] ; [184 139],[27.31081081 19.68918919] ; [187.68918919 135.31081081],0
p4,1,0.245377,1.349432,[12 35] ; [109 211],[15.49591281 31.50408719] ; [105.50408719 214.49591281],0
v2,1,0.314456,1.011866,[18 28] ; [144 162],[21.17045455 24.82954545] ; [140.82954545 165.17045455],0
n1,1,0.334365,0.931918,[ 6 17] ; [36 62],[ 7.98347107 15.01652893] ; [34.01652893 63.98347107],0
p8,1,0.366655,0.814971,[13 33] ; [111 206],[15.71349862 30.28650138] ; [108.28650138 208.71349862],0
n5,1,0.430764,0.620762,[29 18] ; [216 104],[31.3760218 15.6239782] ; [213.6239782 106.3760218],0
p5,1,0.565697,0.329936,[ 2 44] ; [  9 312],[ 1.37874659 44.62125341] ; [  9.62125341 311.37874659],0
b3,1,0.619401,0.24671,[ 7 20] ; [ 53 120],[ 8.1 18.9] ; [ 51.9 121.1],0
b2,1,0.619401,0.24671,[ 7 20] ; [ 53 120],[ 8.1 18.9] ; [ 51.9 121.1],0
b5,1,0.719113,0.129345,[29 18] ; [208 115],[30.10540541 16.89459459] ; [206.89459459 116.10540541],0
n3,1,0.857431,0.032273,[14  9] ; [61 36],[14.375  8.625] ; [60.625 36.375],0
p1,1,0.859356,0.031398,[ 2 45] ; [ 12 310],[ 1.78319783 45.21680217] ; [ 12.21680217 309.78319783],0
a8,1,0.906833,0.013697,[ 5 37] ; [ 38 265],[ 5.23478261 36.76521739] ; [ 37.76521739 265.23478261],0
s4,1,0.945458,0.00468,[ 5 42] ; [ 35 284],[ 5.13661202 41.86338798] ; [ 34.86338798 284.13661202],0
u2,1,0.983806,0.000412,[12 10] ; [63 53],[11.95652174 10.04347826] ; [63.04347826 52.95652174],0
