Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,3.2e-05,17.27861,[2 6] ; [41  5],[6.37037037 1.62962963] ; [36.62962963  9.37037037],1
a5,1,0.002245,9.337945,[1 7] ; [32 14],[4.88888889 3.11111111] ; [28.11111111 17.88888889],0
p9,1,0.006748,7.338745,[3 5] ; [37  8],[6.03773585 1.96226415] ; [33.96226415 11.03773585],0
d3,1,0.007923,7.050815,[1 7] ; [29 17],[4.44444444 3.55555556] ; [25.55555556 20.44444444],0
d5,1,0.010539,6.541421,[3 5] ; [37  9],[5.92592593 2.07407407] ; [34.07407407 11.92592593],0
n6,1,0.010539,6.541421,[3 5] ; [37  9],[5.92592593 2.07407407] ; [34.07407407 11.92592593],0
b4,1,0.021539,5.282609,[1 7] ; [26 20],[4. 4.] ; [23. 23.],0
d1,1,0.021539,5.282609,[1 7] ; [26 20],[4. 4.] ; [23. 23.],0
r3,1,0.02518,5.011431,[5 3] ; [42  4],[6.96296296 1.03703704] ; [40.03703704  5.96296296],0
v4,1,0.027637,4.850561,[5 3] ; [41  4],[6.94339623 1.05660377] ; [39.05660377  5.94339623],0
n3,1,0.03307,4.542176,[1 3] ; [15  4],[2.7826087 1.2173913] ; [13.2173913  5.7826087],0
r1,1,0.040688,4.188947,[3 5] ; [34 12],[5.48148148 2.51851852] ; [31.51851852 14.48148148],0
p10,1,0.044792,4.026468,[4 4] ; [37  8],[6.18867925 1.81132075] ; [34.81132075 10.18867925],0
a4,1,0.048828,3.88125,[1 7] ; [23 23],[3.55555556 4.44444444] ; [20.44444444 25.55555556],0
a3,1,0.106119,2.611093,[3 5] ; [31 15],[5.03703704 2.96296296] ; [28.96296296 17.03703704],0
s6,1,0.108681,2.573297,[5 3] ; [37  6],[6.58823529 1.41176471] ; [35.41176471  7.58823529],0
s3,1,0.13926,2.186121,[4 4] ; [34 11],[5.73584906 2.26415094] ; [32.26415094 12.73584906],0
d4,1,0.17159,1.868993,[4 4] ; [34 12],[5.62962963 2.37037037] ; [32.37037037 13.62962963],0
s1,1,0.185096,1.756225,[2 6] ; [ 4 41],[0.90566038 7.09433962] ; [ 5.09433962 39.90566038],0
s5,1,0.199913,1.643014,[3 5] ; [26 16],[4.64 3.36] ; [24.36 17.64],0
v3,1,0.223559,1.481376,[1 7] ; [15 29],[2.46153846 5.53846154] ; [13.53846154 30.46153846],0
n2,1,0.230785,1.436017,[2 2] ; [15  4],[2.95652174 1.04347826] ; [14.04347826  4.95652174],0
d2,1,0.378732,0.774815,[3 5] ; [25 21],[4.14814815 3.85185185] ; [23.85185185 22.14814815],0
a6,1,0.382616,0.762281,[2 6] ; [19 27],[3.11111111 4.88888889] ; [17.88888889 28.11111111],0
p11,1,0.4183,0.655085,[5 3] ; [35 11],[5.92592593 2.07407407] ; [34.07407407 11.92592593],0
s2,1,0.437373,0.603165,[4 4] ; [29 16],[4.98113208 3.01886792] ; [28.01886792 16.98113208],0
b1,1,0.443598,0.586957,[5 3] ; [22 24],[4. 4.] ; [23. 23.],0
s7,1,0.506673,0.440932,[4 3] ; [30 13],[4.76 2.24] ; [29.24 13.76],0
p4,1,0.513706,0.426511,[5 3] ; [23 23],[4.14814815 3.85185185] ; [23.85185185 22.14814815],0
s8,1,0.588773,0.292264,[3 5] ; [22 24],[3.7037037 4.2962963] ; [21.2962963 24.7037037],0
p8,1,0.631263,0.230352,[5 3] ; [24 21],[4.37735849 3.62264151] ; [24.62264151 20.37735849],0
v1,1,0.668447,0.183424,[3 5] ; [21 25],[3.55555556 4.44444444] ; [20.44444444 25.55555556],0
b5,1,0.668894,0.182899,[2 6] ; [15 31],[2.51851852 5.48148148] ; [14.48148148 31.51851852],0
n4,1,0.668894,0.182899,[6 2] ; [31 15],[5.48148148 2.51851852] ; [31.51851852 14.48148148],0
p7,1,0.72864,0.120364,[6 2] ; [31 14],[5.58490566 2.41509434] ; [31.41509434 13.58490566],0
n5,1,0.756023,0.096539,[6 2] ; [32 14],[5.62962963 2.37037037] ; [32.37037037 13.62962963],0
p2,1,0.756023,0.096539,[6 2] ; [32 14],[5.62962963 2.37037037] ; [32.37037037 13.62962963],0
p3,1,0.839821,0.040854,[5 3] ; [27 19],[4.74074074 3.25925926] ; [27.25925926 18.74074074],0
p1,1,0.841726,0.039875,[1 7] ; [ 7 39],[1.18518519 6.81481481] ; [ 6.81481481 39.18518519],0
v2,1,0.852101,0.034759,[3 5] ; [15 29],[2.76923077 5.23076923] ; [15.23076923 28.76923077],0
p6,1,0.894025,0.017746,[3 5] ; [18 27],[3.16981132 4.83018868] ; [17.83018868 27.16981132],0
n1,1,0.923708,0.009171,[2 2] ; [ 9 10],[1.91304348 2.08695652] ; [9.08695652 9.91304348],0
u3,1,1.0,0.0,[3 2] ; [9 6],[3. 2.] ; [9. 6.],0
u2,1,1.0,0.0,[3 2] ; [9 6],[3. 2.] ; [9. 6.],0
