Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,2.1e-05,18.119821,[58  8] ; [34 29],[47.06976744 18.93023256] ; [44.93023256 18.06976744],1
p8,1,6.2e-05,16.050591,[46 19] ; [21 39],[34.84 30.16] ; [32.16 27.84],1
s8,1,0.000199,13.839186,[43 23] ; [20 42],[32.484375 33.515625] ; [30.515625 31.484375],1
p4,1,0.000418,12.447762,[47 19] ; [24 36],[37.19047619 28.80952381] ; [33.80952381 26.19047619],1
p7,1,0.000807,11.22428,[55 11] ; [33 26],[46.464 19.536] ; [41.536 17.464],1
s7,1,0.001218,10.462207,[43 22] ; [21 36],[34.09836066 30.90163934] ; [29.90163934 27.09836066],0
s5,1,0.003453,8.551058,[33 29] ; [16 43],[25.10743802 36.89256198] ; [23.89256198 35.10743802],0
p9,1,0.006797,7.325734,[59  6] ; [44 17],[53.13492063 11.86507937] ; [49.86507937 11.13492063],0
n4,1,0.009671,6.694438,[58  7] ; [44 18],[52.20472441 12.79527559] ; [49.79527559 12.20472441],0
r4,1,0.010884,6.484198,[61  5] ; [48 15],[55.76744186 10.23255814] ; [53.23255814  9.76744186],0
p10,1,0.019569,5.449937,[56  9] ; [42 19],[50.55555556 14.44444444] ; [47.44444444 13.55555556],0
p2,1,0.020002,5.411713,[57  9] ; [43 19],[51.5625 14.4375] ; [48.4375 13.5625],0
n1,1,0.023272,5.148109,[6 2] ; [ 6 15],[3.31034483 4.68965517] ; [ 8.68965517 12.31034483],0
s6,1,0.028244,4.813112,[46 19] ; [31 29],[40.04 24.96] ; [36.96 23.04],0
d4,1,0.028245,4.813065,[59  7] ; [47 16],[54.23255814 11.76744186] ; [51.76744186 11.23255814],0
a8,1,0.03211,4.59263,[11 53] ; [ 3 57],[ 7.22580645 56.77419355] ; [ 6.77419355 53.22580645],0
r3,1,0.042382,4.119873,[65  1] ; [56  6],[62.390625  3.609375] ; [58.609375  3.390625],0
v3,1,0.042631,4.109982,[41 24] ; [27 33],[35.36 29.64] ; [32.64 27.36],0
r1,1,0.048665,3.88688,[54 12] ; [42 21],[49.11627907 16.88372093] ; [46.88372093 16.11627907],0
n6,1,0.052097,3.772663,[57  8] ; [46 16],[52.71653543 12.28346457] ; [50.28346457 11.71653543],0
a2,1,0.097692,2.742827,[ 7 59] ; [ 2 61],[ 4.60465116 61.39534884] ; [ 4.39534884 58.60465116],0
u1,1,0.106431,2.606439,[ 5 61] ; [ 1 62],[ 3.06976744 62.93023256] ; [ 2.93023256 60.06976744],0
p5,1,0.115014,2.483942,[10 56] ; [ 4 58],[ 7.21875 58.78125] ; [ 6.78125 55.21875],0
s3,1,0.136892,2.212549,[39 27] ; [28 33],[34.81889764 31.18110236] ; [32.18110236 28.81889764],0
p6,1,0.139133,2.187526,[27 38] ; [17 42],[23.06451613 41.93548387] ; [20.93548387 38.06451613],0
p11,1,0.162644,1.949469,[54 12] ; [45 18],[50.65116279 15.34883721] ; [48.34883721 14.65116279],0
a3,1,0.162644,1.949469,[54 12] ; [45 18],[50.65116279 15.34883721] ; [48.34883721 14.65116279],0
n5,1,0.167205,1.90783,[52 13] ; [43 19],[48.62204724 16.37795276] ; [46.37795276 15.62204724],0
u4,1,0.188262,1.731169,[ 4 62] ; [ 1 62],[ 2.55813953 63.44186047] ; [ 2.44186047 60.55813953],0
d5,1,0.29077,1.116053,[57  9] ; [50 13],[54.74418605 11.25581395] ; [52.25581395 10.74418605],0
b2,1,0.302952,1.061154,[24 25] ; [14 23],[21.65116279 27.34883721] ; [16.34883721 20.65116279],0
b3,1,0.302952,1.061154,[24 25] ; [14 23],[21.65116279 27.34883721] ; [16.34883721 20.65116279],0
d1,1,0.340769,0.907535,[38 28] ; [31 32],[35.30232558 30.69767442] ; [33.69767442 29.30232558],0
s4,1,0.381882,0.764636,[11 55] ; [ 7 55],[ 9.28125 56.71875] ; [ 8.71875 53.28125],0
a4,1,0.397035,0.717287,[30 36] ; [24 39],[27.62790698 38.37209302] ; [26.37209302 36.62790698],0
n2,1,0.397559,0.715697,[7 1] ; [16  6],[6.13333333 1.86666667] ; [16.86666667  5.13333333],0
d2,1,0.435725,0.607514,[37 29] ; [31 32],[34.79069767 31.20930233] ; [33.20930233 29.79069767],0
b5,1,0.443021,0.588446,[27 39] ; [30 33],[29.1627907 36.8372093] ; [27.8372093 35.1627907],0
v1,1,0.447721,0.576416,[45 19] ; [39 22],[43.008 20.992] ; [40.992 20.008],0
p1,1,0.448273,0.575015,[ 4 62] ; [ 2 60],[ 3.09375 62.90625] ; [ 2.90625 59.09375],0
p12,1,0.448834,0.573594,[ 4 61] ; [ 2 59],[ 3.0952381 61.9047619] ; [ 2.9047619 58.0952381],0
a6,1,0.453838,0.56105,[22 44] ; [25 38],[24.04651163 41.95348837] ; [22.95348837 40.04651163],0
b1,1,0.514644,0.424614,[31 35] ; [26 37],[29.1627907 36.8372093] ; [27.8372093 35.1627907],0
u3,1,0.547403,0.361991,[6 6] ; [ 7 11],[5.2 6.8] ; [ 7.8 10.2],0
s1,1,0.606077,0.265927,[ 2 64] ; [ 1 60],[ 1.55905512 64.44094488] ; [ 1.44094488 59.55905512],0
r2,1,0.649105,0.20703,[60  5] ; [54  6],[59.28  5.72] ; [54.72  5.28],0
u2,1,0.773675,0.082697,[5 7] ; [8 9],[5.37931034 6.62068966] ; [7.62068966 9.37931034],0
s2,1,0.805393,0.0607,[36 30] ; [33 30],[35.30232558 30.69767442] ; [33.69767442 29.30232558],0
d3,1,0.901341,0.015368,[29 37] ; [27 36],[28.65116279 37.34883721] ; [27.34883721 35.65116279],0
v4,1,0.90942,0.012944,[60  6] ; [56  6],[59.8125  6.1875] ; [56.1875  5.8125],0
a1,1,0.945837,0.004615,[ 4 62] ; [ 4 59],[ 4.09302326 61.90697674] ; [ 3.90697674 59.09302326],0
b4,1,0.947554,0.004327,[36 30] ; [34 29],[35.81395349 30.18604651] ; [34.18604651 28.81395349],0
