Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,82.889712,[312  84] ; [61 97],[266.62093863 129.37906137] ; [106.37906137  51.62093863],1
d3,1,0.0,44.997754,[310  86] ; [78 80],[277.34296029 118.65703971] ; [110.65703971  47.34296029],1
a2,1,0.0,29.97508,[124 275] ; [ 14 144],[ 98.8545781 300.1454219] ; [ 39.1454219 118.8545781],1
b5,1,4e-06,21.273892,[257 142] ; [68 90],[232.80969479 166.19030521] ; [92.19030521 65.80969479],1
u1,1,4e-06,21.173331,[ 92 307] ; [ 10 148],[ 73.06642729 325.93357271] ; [ 28.93357271 129.06642729],1
r2,1,0.005173,7.817977,[381  13] ; [141  14],[374.62295082  19.37704918] ; [147.37704918   7.62295082],0
d1,1,0.006616,7.374268,[252 147] ; [80 78],[237.82405745 161.17594255] ; [94.17594255 63.82405745],0
r1,1,0.006739,7.341135,[338  57] ; [120  38],[327.14285714  67.85714286] ; [130.85714286  27.14285714],0
b1,1,0.008376,6.951272,[146 253] ; [77 81],[159.7432675 239.2567325] ; [63.2567325 94.7432675],0
p10,1,0.016846,5.712381,[347  50] ; [123  32],[338.02536232  58.97463768] ; [131.97463768  23.02536232],0
p9,1,0.02051,5.367981,[353  44] ; [128  29],[344.68772563  52.31227437] ; [136.31227437  20.68772563],0
r4,1,0.026913,4.896379,[379  20] ; [142  16],[373.21184919  25.78815081] ; [147.78815081  10.21184919],0
v4,1,0.036745,4.362173,[388   9] ; [147   9],[384.07775769  12.92224231] ; [150.92224231   5.07775769],0
s5,1,0.037951,4.307224,[138 251] ; [69 84],[148.56642066 240.43357934] ; [58.43357934 94.56642066],0
p4,1,0.041763,4.144788,[283 115] ; [97 59],[272.99638989 125.00361011] ; [107.00361011  48.99638989],0
d5,1,0.060404,3.526261,[333  64] ; [121  36],[325.33935018  71.66064982] ; [128.66064982  28.33935018],0
p2,1,0.064344,3.421726,[363  35] ; [134  22],[357.05054152  40.94945848] ; [139.94945848  16.05054152],0
a5,1,0.069477,3.295336,[305  94] ; [109  49],[296.56373429 102.43626571] ; [117.43626571  40.56373429],0
s4,1,0.091901,2.840749,[ 61 332] ; [ 34 124],[ 67.75862069 325.24137931] ; [ 27.24137931 130.75862069],0
a8,1,0.113144,2.509749,[ 65 290] ; [ 19 132],[ 58.93280632 296.06719368] ; [ 25.06719368 125.93280632],0
v2,1,0.117346,2.452387,[238 145] ; [85 70],[229.94237918 153.05762082] ; [93.05762082 61.94237918],0
s8,1,0.135429,2.229148,[187 210] ; [85 72],[194.91696751 202.08303249] ; [77.08303249 79.91696751],0
d4,1,0.139788,2.180292,[334  63] ; [123  33],[328.08137432  68.91862568] ; [128.91862568  27.08137432],0
b4,1,0.147848,2.094315,[229 170] ; [80 78],[221.34829443 177.65170557] ; [87.65170557 70.34829443],0
u3,1,0.149477,2.07758,[59 42] ; [23 27],[54.84768212 46.15231788] ; [27.15231788 22.84768212],0
u2,1,0.149743,2.074872,[60 41] ; [23 26],[55.88666667 45.11333333] ; [27.11333333 21.88666667],0
s6,1,0.159325,1.980623,[282 110] ; [100  52],[275.26470588 116.73529412] ; [106.73529412  45.26470588],0
s3,1,0.165186,1.9261,[225 168] ; [100  57],[232.22727273 160.77272727] ; [92.77272727 64.22727273],0
a3,1,0.168454,1.896646,[296 101] ; [108  49],[289.50902527 107.49097473] ; [114.49097473  42.50902527],0
p12,1,0.184361,1.762111,[ 37 362] ; [  9 146],[ 33.1299639 365.8700361] ; [ 12.8700361 142.1299639],0
n1,1,0.204821,1.607658,[19 48] ; [15 22],[21.90384615 45.09615385] ; [12.09615385 24.90384615],0
n6,1,0.222219,1.489984,[343  52] ; [130  27],[338.4692029  56.5307971] ; [134.5307971  22.4692029],0
p8,1,0.258681,1.2758,[271 126] ; [98 57],[265.38586957 131.61413043] ; [103.61413043  51.38586957],0
s7,1,0.279298,1.170502,[200 182] ; [88 65],[205.63738318 176.36261682] ; [82.36261682 70.63738318],0
n3,1,0.291257,1.113801,[56 12] ; [28 10],[53.88679245 14.11320755] ; [30.11320755  7.88679245],0
a1,1,0.36564,0.81843,[ 20 379] ; [ 11 147],[ 22.2064632 376.7935368] ; [  8.7935368 149.2064632],0
a4,1,0.383952,0.758009,[181 217] ; [65 92],[176.41081081 221.58918919] ; [69.58918919 87.41081081],0
p5,1,0.426078,0.63349,[ 53 345] ; [ 25 132],[ 55.93513514 342.06486486] ; [ 22.06486486 134.93513514],0
n5,1,0.427423,0.629817,[301  96] ; [124  33],[304.55776173  92.44223827] ; [120.44223827  36.55776173],0
b3,1,0.473934,0.51279,[ 89 156] ; [42 62],[ 91.96275072 153.03724928] ; [39.03724928 64.96275072],0
b2,1,0.473934,0.51279,[ 89 156] ; [42 62],[ 91.96275072 153.03724928] ; [39.03724928 64.96275072],0
p3,1,0.485109,0.487356,[241 157] ; [90 67],[237.36576577 160.63423423] ; [93.63423423 63.36576577],0
p1,1,0.512845,0.428257,[ 37 359] ; [ 12 146],[ 35.02527076 360.97472924] ; [ 13.97472924 144.02527076],0
d2,1,0.519793,0.414304,[189 208] ; [80 78],[192.41981982 204.58018018] ; [76.58018018 81.41981982],0
s1,1,0.528047,0.398148,[ 11 383] ; [  6 151],[ 12.15607985 381.84392015] ; [  4.84392015 152.15607985],0
p11,1,0.537985,0.379287,[332  67] ; [128  30],[329.51526032  69.48473968] ; [130.48473968  27.51526032],0
u4,1,0.552302,0.353209,[  7 392] ; [  4 154],[  7.87971275 391.12028725] ; [  3.12028725 154.87971275],0
v3,1,0.602946,0.270575,[159 224] ; [69 88],[161.71111111 221.28888889] ; [66.28888889 90.71111111],0
n4,1,0.709069,0.139209,[315  83] ; [122  35],[313.38018018  84.61981982] ; [123.61981982  33.38018018],0
v1,1,0.739289,0.110752,[225 165] ; [87 68],[223.26605505 166.73394495] ; [88.73394495 66.26605505],0
n2,1,0.904067,0.014526,[53 15] ; [30  8],[53.24528302 14.75471698] ; [29.75471698  8.24528302],0
p6,1,0.935279,0.006594,[190 206] ; [74 79],[190.42622951 205.57377049] ; [73.57377049 79.42622951],0
s2,1,0.976446,0.000872,[208 189] ; [83 75],[208.15675676 188.84324324] ; [82.84324324 75.15675676],0
