Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,2e-06,22.475611,[92 19] ; [46 43],[76.59 34.41] ; [61.41 27.59],1
p3,1,0.000337,12.852265,[73 42] ; [34 55],[60.31862745 54.68137255] ; [46.68137255 42.31862745],1
p6,1,0.000389,12.58393,[67 47] ; [30 59],[54.4729064 59.5270936] ; [42.5270936 46.4729064],1
p2,1,0.000973,10.878938,[105  10] ; [66 23],[96.39705882 18.60294118] ; [74.60294118 14.39705882],1
n5,1,0.00103,10.771958,[96 19] ; [55 32],[85.96534653 29.03465347] ; [65.03465347 21.96534653],0
b5,1,0.001123,10.613614,[61 54] ; [67 22],[72.15686275 42.84313725] ; [55.84313725 33.15686275],0
p11,1,0.001425,10.173117,[99 16] ; [60 29],[89.63235294 25.36764706] ; [69.36764706 19.63235294],0
p4,1,0.004903,7.915058,[85 30] ; [49 40],[75.53921569 39.46078431] ; [58.46078431 30.53921569],0
p5,1,0.028194,4.816158,[18 97] ; [ 5 82],[ 13.09405941 101.90594059] ; [ 9.90594059 77.09405941],0
a2,1,0.121457,2.398437,[24 91] ; [27 62],[28.75 86.25] ; [22.25 66.75],0
v2,1,0.136486,2.217132,[42 71] ; [41 45],[47.13065327 65.86934673] ; [35.86934673 50.13065327],0
d1,1,0.140435,2.173188,[75 40] ; [49 40],[69.90196078 45.09803922] ; [54.09803922 34.90196078],0
d4,1,0.147357,2.099398,[96 19] ; [67 22],[91.8872549 23.1127451] ; [71.1127451 17.8872549],0
v4,1,0.173255,1.854555,[109   5] ; [88  1],[110.63054187   3.36945813] ; [86.36945813  2.63054187],0
u2,1,0.242469,1.36618,[16 13] ; [15  6],[17.98 11.02] ; [13.02  7.98],0
u1,1,0.251535,1.314759,[22 93] ; [23 66],[25.36764706 89.63235294] ; [19.63235294 69.36764706],0
s1,1,0.285254,1.141888,[  6 109] ; [ 2 86],[  4.5320197 110.4679803] ; [ 3.4679803 84.5320197],0
a4,1,0.288205,1.127989,[47 68] ; [43 46],[50.73529412 64.26470588] ; [39.26470588 49.73529412],0
s3,1,0.289313,1.122814,[83 32] ; [70 19],[86.25 28.75] ; [66.75 22.25],0
p12,1,0.359021,0.841316,[ 12 102] ; [ 6 82],[ 10.15841584 103.84158416] ; [ 7.84158416 80.15841584],0
p9,1,0.377772,0.77794,[105  10] ; [77 11],[103.10344828  11.89655172] ; [78.89655172  9.10344828],0
n6,1,0.408169,0.684127,[99 16] ; [72 16],[96.87192118 18.12807882] ; [74.12807882 13.87192118],0
u3,1,0.416304,0.660724,[19 10] ; [16  5],[20.3  8.7] ; [14.7  6.3],0
d3,1,0.444491,0.58466,[77 38] ; [55 34],[74.41176471 40.58823529] ; [57.58823529 31.41176471],0
a7,1,0.470865,0.519945,[80 35] ; [66 23],[82.30392157 32.69607843] ; [63.69607843 25.30392157],0
a6,1,0.476157,0.507652,[72 43] ; [60 29],[74.41176471 40.58823529] ; [57.58823529 31.41176471],0
d2,1,0.51962,0.414647,[62 53] ; [52 37],[64.26470588 50.73529412] ; [49.73529412 39.26470588],0
r2,1,0.520357,0.413186,[106   6] ; [84  3],[106.93467337   5.06532663] ; [83.06532663  3.93467337],0
s2,1,0.52939,0.395562,[78 37] ; [64 25],[80.04901961 34.95098039] ; [61.95098039 27.04901961],0
n4,1,0.52966,0.395043,[89 26] ; [64 23],[87.1039604 27.8960396] ; [65.8960396 21.1039604],0
n1,1,0.577973,0.309524,[13 13] ; [11 15],[12. 14.] ; [12. 14.],0
p10,1,0.583473,0.300654,[100  14] ; [74 13],[98.68656716 15.31343284] ; [75.31343284 11.68656716],0
a8,1,0.586516,0.295818,[17 89] ; [16 68],[18.41052632 87.58947368] ; [14.58947368 69.41052632],0
b4,1,0.602702,0.270939,[63 52] ; [52 37],[64.82843137 50.17156863] ; [50.17156863 38.82843137],0
s6,1,0.649549,0.206469,[100  13] ; [76 12],[98.94527363 14.05472637] ; [77.05472637 10.94527363],0
n3,1,0.695575,0.153116,[18  8] ; [20  7],[18.64150943  7.35849057] ; [19.35849057  7.64150943],0
v1,1,0.709254,0.139023,[55 57] ; [43 40],[56.28717949 55.71282051] ; [41.71282051 41.28717949],0
d5,1,0.715629,0.132719,[92 23] ; [73 16],[93.01470588 21.98529412] ; [71.98529412 17.01470588],0
u4,1,0.7172,0.131192,[  2 113] ; [ 1 88],[  1.69117647 113.30882353] ; [ 1.30882353 87.69117647],0
a5,1,0.724535,0.124189,[89 26] ; [67 22],[87.94117647 27.05882353] ; [68.05882353 20.94117647],0
r4,1,0.730518,0.118636,[103  12] ; [81  8],[103.7254902  11.2745098] ; [80.2745098  8.7254902],0
p1,1,0.765726,0.088786,[  9 106] ; [ 8 81],[  9.58333333 105.41666667] ; [ 7.41666667 81.58333333],0
a3,1,0.789411,0.071329,[86 29] ; [68 21],[86.81372549 28.18627451] ; [67.18627451 21.81372549],0
a1,1,0.795207,0.067369,[  2 113] ; [ 2 87],[  2.25490196 112.74509804] ; [ 1.74509804 87.25490196],0
s7,1,0.85116,0.035208,[81 30] ; [61 24],[80.41836735 30.58163265] ; [61.58163265 23.41836735],0
r1,1,0.89404,0.017741,[93 22] ; [71 16],[93.36633663 21.63366337] ; [70.63366337 16.36633663],0
s5,1,0.89709,0.016728,[44 64] ; [35 49],[44.4375 63.5625] ; [34.5625 49.4375],0
s4,1,0.910452,0.012649,[29 85] ; [23 65],[29.34653465 84.65346535] ; [22.65346535 65.34653465],0
b1,1,0.919356,0.010251,[47 68] ; [37 52],[47.35294118 67.64705882] ; [36.64705882 52.35294118],0
n2,1,0.928014,0.008162,[18  8] ; [19  8],[18.1509434  7.8490566] ; [18.8490566  8.1509434],0
b2,1,0.932556,0.007162,[31 44] ; [26 38],[30.75539568 44.24460432] ; [26.24460432 37.75539568],0
b3,1,0.932556,0.007162,[31 44] ; [26 38],[30.75539568 44.24460432] ; [26.24460432 37.75539568],0
r3,1,0.959684,0.002555,[110   5] ; [85  4],[109.92647059   5.07352941] ; [85.07352941  3.92647059],0
