Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,37.245668,[57  3] ; [ 8 16],[46.42857143 13.57142857] ; [18.57142857  5.42857143],1
n5,1,0.000145,14.429867,[49 11] ; [10 15],[41.64705882 18.35294118] ; [17.35294118  7.64705882],1
r4,1,0.00067,11.569444,[43 17] ; [ 8 17],[36. 24.] ; [15. 10.],1
p11,1,0.001308,10.330915,[51  9] ; [13 12],[45.17647059 14.82352941] ; [18.82352941  6.17647059],0
v1,1,0.00716,7.23237,[42 17] ; [ 9 14],[36.69512195 22.30487805] ; [14.30487805  8.69512195],0
p7,1,0.017643,5.631266,[40 19] ; [10 15],[35.11904762 23.88095238] ; [14.88095238 10.11904762],0
p8,1,0.026507,4.922664,[30 28] ; [ 6 18],[25.46341463 32.53658537] ; [10.53658537 13.46341463],0
b1,1,0.030481,4.681949,[23 37] ; [16  9],[27.52941176 32.47058824] ; [11.47058824 13.52941176],0
r3,1,0.030926,4.657062,[57  3] ; [20  5],[54.35294118  5.64705882] ; [22.64705882  2.35294118],0
p3,1,0.044823,4.025299,[32 28] ; [ 7 17],[27.85714286 32.14285714] ; [11.14285714 12.85714286],0
s5,1,0.049016,3.874799,[19 35] ; [ 3 20],[15.42857143 38.57142857] ; [ 6.57142857 16.42857143],0
s2,1,0.053163,3.738775,[33 27] ; [ 8 17],[28.94117647 31.05882353] ; [12.05882353 12.94117647],0
p2,1,0.05508,3.679654,[48 12] ; [15 10],[44.47058824 15.52941176] ; [18.52941176  6.47058824],0
r2,1,0.07018,3.278806,[49  9] ; [16  8],[45.97560976 12.02439024] ; [19.02439024  4.97560976],0
n6,1,0.074203,3.1875,[51  9] ; [17  8],[48. 12.] ; [20.  5.],0
p6,1,0.077042,3.126231,[29 30] ; [ 6 16],[25.49382716 33.50617284] ; [ 9.50617284 12.49382716],0
n4,1,0.082998,3.005201,[47 13] ; [15 10],[43.76470588 16.23529412] ; [18.23529412  6.76470588],0
s7,1,0.099993,2.70566,[27 28] ; [ 7 17],[23.67088608 31.32911392] ; [10.32911392 13.67088608],0
p4,1,0.12724,2.325858,[36 24] ; [10 14],[32.85714286 27.14285714] ; [13.14285714 10.85714286],0
v3,1,0.128001,2.316581,[31 29] ; [ 8 16],[27.85714286 32.14285714] ; [11.14285714 12.85714286],0
n3,1,0.160506,1.969449,[13  6] ; [10  1],[14.56666667  4.43333333] ; [8.43333333 2.56666667],0
s6,1,0.190915,1.710545,[37 18] ; [13 12],[34.375 20.625] ; [15.625  9.375],0
a7,1,0.26247,1.255682,[39 21] ; [13 12],[36.70588235 23.29411765] ; [15.29411765  9.70588235],0
u3,1,0.280038,1.166905,[11  9] ; [3 6],[ 9.65517241 10.34482759] ; [4.34482759 4.65517241],0
d3,1,0.292477,1.108184,[43 17] ; [15 10],[40.94117647 19.05882353] ; [17.05882353  7.94117647],0
s8,1,0.294975,1.096774,[24 36] ; [ 7 18],[21.88235294 38.11764706] ; [ 9.11764706 15.88235294],0
s3,1,0.333998,0.933333,[32 28] ; [10 14],[30. 30.] ; [12. 12.],0
a8,1,0.34223,0.902059,[ 6 50] ; [ 1 23],[ 4.9 51.1] ; [ 2.1 21.9],0
s4,1,0.378016,0.777143,[12 48] ; [ 3 22],[10.58823529 49.41176471] ; [ 4.41176471 20.58823529],0
a2,1,0.38099,0.767506,[ 9 51] ; [ 2 23],[ 7.76470588 52.23529412] ; [ 3.23529412 21.76470588],0
a1,1,0.415072,0.664225,[ 4 56] ; [ 3 22],[ 4.94117647 55.05882353] ; [ 2.05882353 22.94117647],0
v4,1,0.455535,0.556843,[51  8] ; [20  5],[49.86904762  9.13095238] ; [21.13095238  3.86904762],0
u2,1,0.549076,0.358974,[10 10] ; [3 5],[ 9.28571429 10.71428571] ; [3.71428571 4.28571429],0
b4,1,0.557854,0.343434,[40 20] ; [15 10],[38.82352941 21.17647059] ; [16.17647059  8.82352941],0
a6,1,0.573245,0.317283,[32 28] ; [15 10],[33.17647059 26.82352941] ; [13.82352941 11.17647059],0
b5,1,0.580451,0.305506,[37 23] ; [17  8],[38.11764706 21.88235294] ; [15.88235294  9.11764706],0
d1,1,0.591531,0.28796,[35 25] ; [13 12],[33.88235294 26.11764706] ; [14.11764706 10.88235294],0
p12,1,0.634007,0.226667,[ 4 56] ; [ 1 24],[ 3.52941176 56.47058824] ; [ 1.47058824 23.52941176],0
a4,1,0.681642,0.168283,[22 38] ; [ 8 17],[21.17647059 38.82352941] ; [ 8.82352941 16.17647059],0
d5,1,0.713384,0.134921,[50 10] ; [20  5],[49.41176471 10.58823529] ; [20.58823529  4.41176471],0
b2,1,0.736429,0.11329,[14 25] ; [4 9],[13.5 25.5] ; [4.5 8.5],0
b3,1,0.736429,0.11329,[14 25] ; [4 9],[13.5 25.5] ; [4.5 8.5],0
a3,1,0.813214,0.055829,[40 20] ; [16  9],[39.52941176 20.47058824] ; [16.47058824  8.52941176],0
p1,1,0.826901,0.04782,[ 4 56] ; [ 2 23],[ 4.23529412 55.76470588] ; [ 1.76470588 23.23529412],0
u1,1,0.826901,0.04782,[ 4 56] ; [ 2 23],[ 4.23529412 55.76470588] ; [ 1.76470588 23.23529412],0
d2,1,0.842753,0.039352,[25 35] ; [11 14],[25.41176471 34.58823529] ; [10.58823529 14.41176471],0
a5,1,0.842753,0.039352,[35 25] ; [14 11],[34.58823529 25.41176471] ; [14.41176471 10.58823529],0
s1,1,0.852504,0.034568,[ 2 58] ; [ 1 23],[ 2.14285714 57.85714286] ; [ 0.85714286 23.14285714],0
n1,1,0.900744,0.015556,[ 5 13] ; [3 7],[ 5.14285714 12.85714286] ; [2.85714286 7.14285714],0
n2,1,0.954452,0.003262,[14  5] ; [8 3],[13.93333333  5.06666667] ; [8.06666667 2.93333333],0
d4,1,1.0,0.0,[48 12] ; [20  5],[48. 12.] ; [20.  5.],0
