Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,81.918937,[ 12 111] ; [71 34],[44.77631579 78.22368421] ; [38.22368421 66.77631579],1
s6,1,0.0,34.419165,[41 80] ; [76 28],[62.92 58.08] ; [54.08 49.92],1
s7,1,2.8e-05,17.536582,[24 92] ; [48 53],[38.48847926 77.51152074] ; [33.51152074 67.48847926],1
p7,1,0.000201,13.817072,[52 69] ; [68 32],[65.70135747 55.29864253] ; [54.29864253 45.70135747],1
s8,1,0.000569,11.874395,[ 18 104] ; [36 69],[29.02202643 92.97797357] ; [24.97797357 80.02202643],1
p2,1,0.005784,7.616425,[79 44] ; [84 20],[88.3215859 34.6784141] ; [74.6784141 29.3215859],0
b2,1,0.012981,6.171725,[23 40] ; [ 8 43],[17.13157895 45.86842105] ; [13.86842105 37.13157895],0
b3,1,0.012981,6.171725,[23 40] ; [ 8 43],[17.13157895 45.86842105] ; [13.86842105 37.13157895],0
a1,1,0.019326,5.471767,[  9 114] ; [  1 104],[  5.39473684 117.60526316] ; [  4.60526316 100.39473684],0
s4,1,0.022055,5.241443,[ 16 106] ; [26 78],[22.67256637 99.32743363] ; [19.32743363 84.67256637],0
r4,1,0.026106,4.948974,[85 38] ; [86 19],[92.25 30.75] ; [78.75 26.25],0
r1,1,0.027374,4.867047,[68 55] ; [73 32],[76.06578947 46.93421053] ; [64.93421053 40.06578947],0
r3,1,0.030237,4.695794,[100  23] ; [95  9],[105.66079295  17.33920705] ; [89.33920705 14.66079295],0
p4,1,0.047109,3.94149,[45 77] ; [52 52],[52.36283186 69.63716814] ; [44.63716814 59.36283186],0
p9,1,0.054836,3.68706,[74 44] ; [77 26],[80.62443439 37.37556561] ; [70.37556561 32.62443439],0
r2,1,0.058653,3.575072,[95 27] ; [91 13],[100.40707965  21.59292035] ; [85.59292035 18.40707965],0
n2,1,0.064789,3.410348,[30 16] ; [23  4],[33.39726027 12.60273973] ; [19.60273973  7.39726027],0
v3,1,0.094108,2.802655,[22 96] ; [29 74],[27.23076923 90.76923077] ; [23.76923077 79.23076923],0
p3,1,0.110694,2.544286,[39 84] ; [44 61],[44.77631579 78.22368421] ; [38.22368421 66.77631579],0
s5,1,0.140082,2.177063,[25 95] ; [30 72],[29.72972973 90.27027027] ; [25.27027027 76.72972973],0
a2,1,0.143329,2.141846,[  5 118] ; [  1 104],[  3.23684211 119.76315789] ; [  2.76315789 102.23684211],0
a7,1,0.151184,2.060266,[70 52] ; [70 35],[75.24229075 46.75770925] ; [64.75770925 40.24229075],0
p10,1,0.159381,1.980086,[71 47] ; [72 32],[76.00900901 41.99099099] ; [66.99099099 37.00900901],0
n3,1,0.202237,1.626149,[28 17] ; [20  6],[30.42253521 14.57746479] ; [17.57746479  8.42253521],0
n4,1,0.206785,1.593794,[72 51] ; [70 35],[76.60526316 46.39473684] ; [65.39473684 39.60526316],0
p6,1,0.212938,1.551337,[28 93] ; [32 73],[32.12389381 88.87610619] ; [27.87610619 77.12389381],0
p8,1,0.260833,1.264332,[48 73] ; [49 55],[52.16444444 68.83555556] ; [44.83555556 59.16444444],0
p12,1,0.291667,1.11191,[  7 115] ; [  3 102],[  5.37444934 116.62555066] ; [  4.62555066 100.37444934],0
p11,1,0.302777,1.061925,[80 43] ; [75 30],[83.61842105 39.38157895] ; [71.38157895 33.61842105],0
a6,1,0.323858,0.973304,[67 56] ; [64 41],[70.67105263 52.32894737] ; [60.32894737 44.67105263],0
d3,1,0.341493,0.904819,[41 80] ; [42 63],[44.4380531 76.5619469] ; [38.5619469 66.4380531],0
n5,1,0.375014,0.786983,[76 46] ; [70 33],[79.16444444 42.83555556] ; [66.83555556 36.16444444],0
v4,1,0.375997,0.78375,[105  18] ; [92 11],[107.21681416  15.78318584] ; [89.78318584 13.21681416],0
u2,1,0.445234,0.582756,[31 32] ; [21 29],[28.99115044 34.00884956] ; [23.00884956 26.99115044],0
d2,1,0.446011,0.58077,[ 22 100] ; [15 90],[ 19.88546256 102.11453744] ; [17.11453744 87.88546256],0
u1,1,0.470856,0.519966,[  1 122] ; [  2 103],[  1.61842105 121.38157895] ; [  1.38157895 103.61842105],0
d4,1,0.53011,0.39418,[64 59] ; [59 46],[66.35526316 56.64473684] ; [56.64473684 48.35526316],0
u3,1,0.546127,0.364301,[25 37] ; [23 27],[26.57142857 35.42857143] ; [21.42857143 28.57142857],0
n1,1,0.5514,0.354815,[17 28] ; [ 8 18],[15.84507042 29.15492958] ; [ 9.15492958 16.84507042],0
v2,1,0.570876,0.321219,[36 80] ; [35 66],[37.95391705 78.04608295] ; [33.04608295 67.95391705],0
b5,1,0.631593,0.229906,[66 57] ; [53 52],[64.19736842 58.80263158] ; [54.80263158 50.19736842],0
a4,1,0.718685,0.129756,[27 96] ; [21 84],[25.89473684 97.10526316] ; [22.10526316 82.89473684],0
d5,1,0.735526,0.114098,[60 62] ; [54 51],[61.26872247 60.73127753] ; [52.73127753 52.26872247],0
p5,1,0.737021,0.112762,[ 11 111] ; [ 8 95],[ 10.30222222 111.69777778] ; [ 8.69777778 94.30222222],0
n6,1,0.775936,0.081008,[89 34] ; [77 27],[89.94713656 33.05286344] ; [76.05286344 27.94713656],0
b1,1,0.794718,0.067698,[56 67] ; [46 59],[55.02631579 67.97368421] ; [46.97368421 58.02631579],0
s1,1,0.797862,0.065595,[  5 118] ; [  5 100],[  5.39473684 117.60526316] ; [  4.60526316 100.39473684],0
a8,1,0.827131,0.047691,[ 14 102] ; [11 88],[ 13.48837209 102.51162791] ; [11.51162791 87.48837209],0
a3,1,0.845632,0.037906,[60 62] ; [53 52],[60.73127753 61.26872247] ; [52.26872247 52.73127753],0
a5,1,0.894298,0.017654,[61 62] ; [53 52],[61.5 61.5] ; [52.5 52.5],0
b4,1,0.924552,0.008968,[66 57] ; [57 48],[66.35526316 56.64473684] ; [56.64473684 48.35526316],0
