Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1e-06,25.239468,[110  17] ; [38 32],[95.41116751 31.58883249] ; [52.58883249 17.41116751],1
v1,1,0.000245,13.450187,[95 36] ; [33 38],[83.00990099 47.99009901] ; [44.99009901 26.00990099],1
r4,1,0.000418,12.449194,[130   3] ; [61 11],[123.91707317   9.08292683] ; [67.08292683  4.91707317],1
v3,1,0.00061,11.743812,[70 60] ; [20 50],[58.5 71.5] ; [31.5 38.5],1
a5,1,0.0008,11.241118,[115  18] ; [48 24],[105.75121951  27.24878049] ; [57.24878049 14.75121951],1
n5,1,0.002091,9.468216,[113  19] ; [47 23],[104.55445545  27.44554455] ; [55.44554455 14.55445545],0
s6,1,0.00676,7.335774,[128   4] ; [61  9],[123.5049505   8.4950495] ; [65.4950495  4.5049505],0
s2,1,0.007849,7.067541,[128   5] ; [62 10],[123.26829268   9.73170732] ; [66.73170732  5.26829268],0
v4,1,0.013893,6.051646,[131   2] ; [64  6],[127.75862069   5.24137931] ; [67.24137931  2.75862069],0
d1,1,0.016192,5.781864,[96 37] ; [40 32],[88.23414634 44.76585366] ; [47.76585366 24.23414634],0
p8,1,0.018691,5.53024,[86 45] ; [34 36],[78.20895522 52.79104478] ; [41.79104478 28.20895522],0
r1,1,0.018991,5.502313,[117  15] ; [54 17],[111.19211823  20.80788177] ; [59.80788177 11.19211823],0
a3,1,0.026171,4.944653,[112  20] ; [51 20],[105.99014778  26.00985222] ; [57.00985222 13.99014778],0
v2,1,0.026848,4.900537,[80 49] ; [32 38],[72.60301508 56.39698492] ; [39.39698492 30.60301508],0
p10,1,0.027579,4.854164,[120  12] ; [56 14],[115.00990099  16.99009901] ; [60.99009901  9.00990099],0
b1,1,0.033042,4.543596,[61 72] ; [22 50],[53.84878049 79.15121951] ; [29.15121951 42.84878049],0
p6,1,0.071174,3.255743,[68 63] ; [27 43],[61.91542289 69.08457711] ; [33.08457711 36.91542289],0
p9,1,0.074441,3.18228,[124   9] ; [59 10],[120.49009901  12.50990099] ; [62.50990099  6.49009901],0
p7,1,0.083139,3.002451,[101  27] ; [46 22],[96. 32.] ; [51. 17.],0
a6,1,0.086672,2.935128,[91 41] ; [41 31],[85.41176471 46.58823529] ; [46.58823529 25.41176471],0
p5,1,0.09546,2.779799,[ 30 103] ; [ 9 61],[ 25.55172414 107.44827586] ; [13.44827586 56.55172414],0
n4,1,0.100649,2.69523,[106  25] ; [51 21],[101.31527094  29.68472906] ; [55.68472906 16.31527094],0
b4,1,0.103973,2.643514,[77 56] ; [50 22],[82.39512195 50.60487805] ; [44.60487805 27.39512195],0
a8,1,0.121289,2.400597,[ 19 104] ; [ 5 61],[ 15.61904762 107.38095238] ; [ 8.38095238 57.61904762],0
d3,1,0.166802,1.911455,[99 34] ; [47 25],[94.72195122 38.27804878] ; [51.27804878 20.72195122],0
d5,1,0.211896,1.558422,[115  17] ; [58 14],[111.94117647  20.05882353] ; [61.05882353 10.94117647],0
b2,1,0.220123,1.503568,[38 47] ; [14 28],[34.80314961 50.19685039] ; [17.19685039 24.80314961],0
b3,1,0.220123,1.503568,[38 47] ; [14 28],[34.80314961 50.19685039] ; [17.19685039 24.80314961],0
s4,1,0.247777,1.335796,[35 97] ; [24 46],[38.55445545 93.44554455] ; [20.44554455 49.55445545],0
n1,1,0.263013,1.252827,[20 13] ; [6 8],[18.25531915 14.74468085] ; [7.74468085 6.25531915],0
u1,1,0.264878,1.243084,[ 31 102] ; [12 60],[ 27.89756098 105.10243902] ; [15.10243902 56.89756098],0
u2,1,0.272345,1.204898,[12  9] ; [ 8 12],[10.24390244 10.75609756] ; [ 9.75609756 10.24390244],0
d2,1,0.286284,1.137014,[75 58] ; [35 37],[71.36585366 61.63414634] ; [38.63414634 33.36585366],0
p4,1,0.315835,1.006115,[91 41] ; [44 27],[87.78325123 44.21674877] ; [47.21674877 23.78325123],0
n6,1,0.35468,0.856641,[118  13] ; [60 10],[116.00995025  14.99004975] ; [61.99004975  8.00995025],0
p12,1,0.35651,0.850149,[ 19 113] ; [ 7 64],[ 16.90640394 115.09359606] ; [ 9.09359606 61.90640394],0
n3,1,0.421358,0.646525,[25  8] ; [9 5],[23.87234043  9.12765957] ; [10.12765957  3.87234043],0
p1,1,0.455166,0.557757,[ 18 114] ; [ 7 63],[ 16.33663366 115.66336634] ; [ 8.66336634 61.33663366],0
u3,1,0.512691,0.428571,[15  6] ; [13  8],[14.  7.] ; [14.  7.],0
p3,1,0.53808,0.379109,[79 54] ; [39 32],[76.93137255 56.06862745] ; [41.06862745 29.93137255],0
r3,1,0.635216,0.225054,[129   4] ; [67  3],[128.4137931   4.5862069] ; [67.5862069  2.4137931],0
a1,1,0.734068,0.115409,[  9 124] ; [ 4 68],[  8.43414634 124.56585366] ; [ 4.56585366 67.43414634],0
a2,1,0.739181,0.110847,[38 95] ; [19 53],[36.9804878 96.0195122] ; [20.0195122 51.9804878],0
p11,1,0.747028,0.104045,[106  27] ; [56 16],[105.10243902  27.89756098] ; [56.89756098 15.10243902],0
n2,1,0.826743,0.047908,[30  3] ; [13  1],[30.19148936  2.80851064] ; [12.80851064  1.19148936],0
a4,1,0.877467,0.023772,[68 65] ; [36 36],[67.47317073 65.52682927] ; [36.52682927 35.47317073],0
s1,1,0.891089,0.018749,[  6 125] ; [ 3 69],[  5.80788177 125.19211823] ; [ 3.19211823 68.80788177],0
r2,1,0.952089,0.00361,[130   2] ; [70  1],[130.04926108   1.95073892] ; [69.95073892  1.04926108],0
a7,1,0.954927,0.003195,[90 43] ; [49 23],[90.1804878 42.8195122] ; [48.8195122 23.1804878],0
d4,1,0.956539,0.00297,[117  15] ; [64  8],[117.11764706  14.88235294] ; [63.88235294  8.11764706],0
p2,1,0.987843,0.000232,[116  17] ; [61  9],[115.96551724  17.03448276] ; [61.03448276  8.96551724],0
b5,1,0.990831,0.000132,[74 59] ; [40 32],[73.96097561 59.03902439] ; [40.03902439 31.96097561],0
