Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,36.396184,[100  22] ; [29 44],[80.70769231 41.29230769] ; [48.29230769 24.70769231],1
d5,1,0.0,33.565004,[95 27] ; [27 47],[75.93877551 46.06122449] ; [46.06122449 27.93877551],1
d4,1,3e-06,22.085086,[98 24] ; [35 38],[83.21025641 38.78974359] ; [49.78974359 23.21025641],1
d1,1,2.3e-05,17.948756,[60 62] ; [14 60],[46.06122449 75.93877551] ; [27.93877551 46.06122449],1
a4,1,0.000102,15.098215,[60 61] ; [16 58],[47.15897436 73.84102564] ; [28.84102564 45.15897436],1
p3,1,0.000107,15.003302,[58 63] ; [15 59],[45.2974359 75.7025641] ; [27.7025641 46.2974359],1
r1,1,0.000136,14.559267,[92 30] ; [36 38],[79.67346939 42.32653061] ; [48.32653061 25.67346939],1
r4,1,0.000398,12.539832,[98 24] ; [42 32],[87.14285714 34.85714286] ; [52.85714286 21.14285714],1
a6,1,0.001704,9.844232,[66 56] ; [23 51],[55.39795918 66.60204082] ; [33.60204082 40.39795918],0
p11,1,0.002373,9.235996,[93 29] ; [41 33],[83.40816327 38.59183673] ; [50.59183673 23.40816327],0
s7,1,0.002819,8.920989,[54 60] ; [18 53],[44.36756757 69.63243243] ; [27.63243243 43.36756757],0
d2,1,0.003534,8.509177,[63 57] ; [23 51],[53.19587629 66.80412371] ; [32.80412371 41.19587629],0
r3,1,0.004818,7.946489,[107  15] ; [53 21],[99.59183673 22.40816327] ; [60.40816327 13.59183673],0
r2,1,0.00511,7.84,[107  13] ; [53 19],[100.  20.] ; [60. 12.],0
b3,1,0.005284,7.779619,[38 42] ; [10 35],[30.72 49.28] ; [17.28 27.72],0
b2,1,0.005284,7.779619,[38 42] ; [10 35],[30.72 49.28] ; [17.28 27.72],0
s6,1,0.006244,7.47849,[70 51] ; [27 45],[60.8134715 60.1865285] ; [36.1865285 35.8134715],0
p10,1,0.006345,7.449511,[88 34] ; [38 34],[79.2371134 42.7628866] ; [46.7628866 25.2371134],0
v4,1,0.009092,6.804652,[108  13] ; [54 18],[101.56476684  19.43523316] ; [60.43523316 11.56476684],0
n4,1,0.0099,6.652791,[93 28] ; [44 30],[85.01025641 35.98974359] ; [51.98974359 22.01025641],0
v3,1,0.012019,6.308067,[45 71] ; [15 56],[37.21925134 78.78074866] ; [22.78074866 48.21925134],0
s5,1,0.015755,5.830015,[40 80] ; [12 58],[32.84210526 87.15789474] ; [19.15789474 50.84210526],0
p9,1,0.026328,4.93437,[90 30] ; [43 29],[83.125 36.875] ; [49.875 22.125],0
v2,1,0.029353,4.746779,[58 61] ; [22 46],[50.90909091 68.09090909] ; [29.09090909 38.90909091],0
s8,1,0.031006,4.65261,[48 74] ; [18 56],[41.08163265 80.91836735] ; [24.91836735 49.08163265],0
b5,1,0.042115,4.130588,[51 71] ; [42 32],[57.8877551 64.1122449] ; [35.1122449 38.8877551],0
p2,1,0.063334,3.44785,[86 35] ; [43 31],[80.04615385 40.95384615] ; [48.95384615 25.04615385],0
n6,1,0.070898,3.262114,[95 25] ; [50 24],[89.69072165 30.30927835] ; [55.30927835 18.69072165],0
n3,1,0.081221,3.040298,[28 10] ; [16 14],[24.58823529 13.41176471] ; [19.41176471 10.58823529],0
v1,1,0.103394,2.652394,[60 59] ; [28 45],[54.54166667 64.45833333] ; [33.45833333 39.54166667],0
d3,1,0.155765,2.014862,[52 70] ; [24 50],[47.30612245 74.69387755] ; [28.69387755 45.30612245],0
s2,1,0.162735,1.948622,[52 69] ; [24 49],[47.40206186 73.59793814] ; [28.59793814 44.40206186],0
p4,1,0.164418,1.93312,[53 69] ; [24 48],[48.42268041 73.57731959] ; [28.57731959 43.42268041],0
