Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.00031,13.00628,[235  56] ; [15 14],[227.34375  63.65625] ; [22.65625  6.34375],1
p8,1,0.001165,10.545253,[214  77] ; [13 16],[206.428125  84.571875] ; [20.571875  8.428125],0
d5,1,0.002762,8.958062,[251  41] ; [18 10],[245.4625  46.5375] ; [23.5375  4.4625],0
p4,1,0.007998,7.0339,[224  69] ; [15 13],[218.15264798  74.84735202] ; [20.84735202  7.15264798],0
a2,1,0.011474,6.39033,[ 84 209] ; [ 2 27],[ 78.25465839 214.74534161] ; [ 7.74534161 21.25465839],0
s2,1,0.013501,6.102212,[151 140] ; [22  7],[157.321875 133.678125] ; [15.678125 13.321875],0
p10,1,0.01397,6.041954,[262  27] ; [22  7],[258.10062893  30.89937107] ; [25.89937107  3.10062893],0
p11,1,0.015645,5.842362,[252  41] ; [20  9],[247.50310559  45.49689441] ; [24.49689441  4.50310559],0
a6,1,0.018076,5.588803,[200  92] ; [13 15],[194.3625  97.6375] ; [18.6375  9.3625],0
d3,1,0.023348,5.142456,[216  77] ; [15 13],[210.85046729  82.14953271] ; [20.14953271  7.85046729],0
p3,1,0.026996,4.891073,[197  96] ; [13 15],[191.68224299 101.31775701] ; [18.31775701  9.68224299],0
a5,1,0.034883,4.450887,[232  61] ; [18 11],[227.48447205  65.51552795] ; [22.51552795  6.48447205],0
p9,1,0.044199,4.048926,[265  26] ; [23  6],[261.9  29.1] ; [26.1  2.9],0
d4,1,0.070357,3.274676,[255  37] ; [21  7],[251.85  40.15] ; [24.15  3.85],0
d1,1,0.084135,2.983155,[189 104] ; [14 15],[184.7173913 108.2826087] ; [18.2826087 10.7173913],0
v3,1,0.105656,2.618024,[153 132] ; [11 18],[148.85350318 136.14649682] ; [15.14649682 13.85350318],0
n4,1,0.106306,2.608293,[245  46] ; [21  8],[241.89375  49.10625] ; [24.10625  4.89375],0
u1,1,0.118876,2.432064,[ 67 226] ; [ 3 26],[ 63.69565217 229.30434783] ; [ 6.30434783 22.69565217],0
r4,1,0.119345,2.425901,[275  18] ; [25  4],[272.98136646  20.01863354] ; [27.01863354  1.98136646],0
r1,1,0.13398,2.245776,[250  40] ; [22  7],[247.27272727  42.72727273] ; [24.72727273  4.27272727],0
r2,1,0.13528,2.230848,[276  12] ; [26  3],[274.37223975  13.62776025] ; [27.62776025  1.37223975],0
s4,1,0.209088,1.577729,[ 44 246] ; [ 7 22],[ 46.36363636 243.63636364] ; [ 4.63636364 24.36363636],0
d2,1,0.215474,1.534261,[151 142] ; [11 17],[147.86915888 145.13084112] ; [14.13084112 13.86915888],0
r3,1,0.217303,1.522096,[285   8] ; [27  2],[283.90062112   9.09937888] ; [28.09937888  0.90062112],0
s1,1,0.22459,1.474799,[  8 281] ; [ 2 27],[  9.08805031 279.91194969] ; [ 0.91194969 28.08805031],0
a7,1,0.229966,1.441069,[212  80] ; [18 11],[209.2211838  82.7788162] ; [20.7788162  8.2211838],0
v4,1,0.285803,1.139286,[281   9] ; [27  2],[280.  10.] ; [28.  1.],0
n5,1,0.313449,1.016085,[250  40] ; [23  6],[248.18181818  41.81818182] ; [24.81818182  4.18181818],0
s3,1,0.354471,0.857386,[163 125] ; [19 10],[165.35015773 122.64984227] ; [16.64984227 12.35015773],0
b2,1,0.356463,0.850316,[ 85 109] ; [ 7 14],[ 83.01395349 110.98604651] ; [ 8.98604651 12.01395349],0
b3,1,0.356463,0.850316,[ 85 109] ; [ 7 14],[ 83.01395349 110.98604651] ; [ 8.98604651 12.01395349],0
a1,1,0.382054,0.764084,[ 18 275] ; [ 3 26],[ 19.10869565 273.89130435] ; [ 1.89130435 27.10869565],0
u2,1,0.512181,0.42961,[30 27] ; [6 8],[28.90140845 28.09859155] ; [7.09859155 6.90140845],0
p1,1,0.529284,0.395766,[ 31 261] ; [ 2 27],[ 30.01869159 261.98130841] ; [ 2.98130841 26.01869159],0
p12,1,0.562566,0.335281,[ 30 262] ; [ 2 27],[ 29.10903427 262.89096573] ; [ 2.89096573 26.10903427],0
v2,1,0.577712,0.309948,[203  85] ; [19 10],[201.69085174  86.30914826] ; [20.30914826  8.69085174],0
u3,1,0.614731,0.253343,[33 25] ; [9 5],[33.83333333 24.16666667] ; [8.16666667 5.83333333],0
n3,1,0.632438,0.228769,[35 10] ; [6 1],[35.48076923  9.51923077] ; [5.51923077 1.48076923],0
b5,1,0.640406,0.218212,[179 114] ; [19 10],[180.16770186 112.83229814] ; [17.83229814 11.16770186],0
a8,1,0.679072,0.171173,[ 47 214] ; [ 4 23],[ 46.21875 214.78125] ; [ 4.78125 22.21875],0
s8,1,0.680077,0.170039,[161 131] ; [16 11],[162.01880878 129.98119122] ; [14.98119122 12.01880878],0
p5,1,0.707217,0.141073,[ 50 243] ; [ 4 24],[ 49.28971963 243.71028037] ; [ 4.71028037 23.28971963],0
s6,1,0.708777,0.139501,[205  81] ; [21  7],[205.84713376  80.15286624] ; [20.15286624  7.84713376],0
b4,1,0.712913,0.135385,[172 121] ; [16 13],[171.06832298 121.93167702] ; [16.93167702 12.06832298],0
s5,1,0.727301,0.121604,[123 163] ; [13 15],[123.87261146 162.12738854] ; [12.12738854 15.87261146],0
p6,1,0.788725,0.071806,[157 132] ; [15 14],[156.31446541 132.68553459] ; [15.68553459 13.31446541],0
n1,1,0.850814,0.035374,[21 24] ; [3 4],[20.76923077 24.23076923] ; [3.23076923 3.76923077],0
b1,1,0.851055,0.035259,[116 177] ; [12 17],[116.47204969 176.52795031] ; [11.52795031 17.47204969],0
s7,1,0.88971,0.01923,[160 121] ; [15 12],[159.65909091 121.34090909] ; [15.34090909 11.65909091],0
a4,1,0.985428,0.000334,[141 150] ; [14 15],[140.953125 150.046875] ; [14.046875 14.953125],0
n6,1,0.996786,1.6e-05,[259  31] ; [25  3],[258.99371069  31.00628931] ; [25.00628931  2.99371069],0
