Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,0.055285,3.673469,[1 2] ; [ 2 40],[0.2 2.8] ; [ 2.8 39.2],0
b5,1,0.193076,1.69399,[1 2] ; [30 13],[2.02173913 0.97826087] ; [28.97826087 14.02173913],0
u1,1,0.196042,1.67162,[1 2] ; [ 4 39],[0.32608696 2.67391304] ; [ 4.67391304 38.32608696],0
b2,1,0.214728,1.539263,[2 1] ; [ 7 16],[1.03846154 1.96153846] ; [ 7.96153846 15.03846154],0
b3,1,0.214728,1.539263,[2 1] ; [ 7 16],[1.03846154 1.96153846] ; [ 7.96153846 15.03846154],0
s8,1,0.243926,1.357759,[2 1] ; [14 28],[1.06666667 1.93333333] ; [14.93333333 27.06666667],0
p9,1,0.301639,1.066936,[2 1] ; [15 26],[1.15909091 1.84090909] ; [15.84090909 25.15909091],0
a4,1,0.356127,0.851504,[2 1] ; [17 26],[1.23913043 1.76086957] ; [17.76086957 25.23913043],0
b4,1,0.356127,0.851504,[1 2] ; [26 17],[1.76086957 1.23913043] ; [25.23913043 17.76086957],0
p3,1,0.356127,0.851504,[2 1] ; [17 26],[1.23913043 1.76086957] ; [17.76086957 25.23913043],0
p7,1,0.422678,0.642857,[1 2] ; [24 18],[1.66666667 1.33333333] ; [23.33333333 18.66666667],0
a2,1,0.451163,0.567727,[1 2] ; [ 7 36],[0.52173913 2.47826087] ; [ 7.47826087 35.52173913],0
a6,1,0.499244,0.456542,[1 2] ; [23 20],[1.56521739 1.43478261] ; [22.43478261 20.56521739],0
v1,1,0.499244,0.456542,[2 1] ; [20 23],[1.43478261 1.56521739] ; [20.56521739 22.43478261],0
a7,1,0.550407,0.356589,[2 1] ; [21 22],[1.5 1.5] ; [21.5 21.5],0
a3,1,0.603236,0.270143,[2 1] ; [22 21],[1.56521739 1.43478261] ; [22.43478261 20.56521739],0
v2,1,0.605104,0.267367,[2 1] ; [21 20],[1.56818182 1.43181818] ; [21.43181818 19.56818182],0
d3,1,0.713906,0.134407,[2 1] ; [24 19],[1.69565217 1.30434783] ; [24.30434783 18.69565217],0
p2,1,0.956527,0.002972,[2 1] ; [28 15],[1.95652174 1.04347826] ; [28.04347826 14.95652174],0
