Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,3.4e-05,17.175588,[5 9] ; [98 19],[11.00763359  2.99236641] ; [91.99236641 25.00763359],1
n5,1,0.003067,8.767094,[6 8] ; [94 25],[10.52631579  3.47368421] ; [89.47368421 29.52631579],0
n4,1,0.007057,7.258365,[8 6] ; [103  17],[11.59701493  2.40298507] ; [99.40298507 20.59701493],0
p11,1,0.010099,6.617338,[8 6] ; [102  18],[11.49253731  2.50746269] ; [98.50746269 21.49253731],0
a7,1,0.014665,5.956331,[6 8] ; [89 31],[9.92537313 4.07462687] ; [85.07462687 34.92537313],0
p9,1,0.022126,5.23588,[9 5] ; [104  15],[11.89473684  2.10526316] ; [101.10526316  17.89473684],0
d5,1,0.025196,5.01034,[8 6] ; [99 21],[11.17910448  2.82089552] ; [95.82089552 24.17910448],0
p7,1,0.032125,4.591809,[9 5] ; [102  16],[11.77272727  2.22727273] ; [99.22727273 18.77272727],0
a5,1,0.03384,4.502787,[6 8] ; [85 35],[9.50746269 4.49253731] ; [81.49253731 38.50746269],0
s6,1,0.053567,3.72613,[10  3] ; [56 59],[6.703125 6.296875] ; [59.296875 55.703125],0
r1,1,0.078435,3.09703,[8 6] ; [94 26],[10.65671642  3.34328358] ; [91.34328358 28.65671642],0
p8,1,0.089861,2.876861,[7 7] ; [85 33],[9.75757576 4.24242424] ; [82.24242424 35.75757576],0
a3,1,0.176544,1.826478,[7 7] ; [81 38],[9.26315789 4.73684211] ; [78.73684211 40.26315789],0
d3,1,0.176544,1.826478,[7 7] ; [81 38],[9.26315789 4.73684211] ; [78.73684211 40.26315789],0
p4,1,0.176643,1.825644,[9 5] ; [96 24],[10.97014925  3.02985075] ; [94.02985075 25.97014925],0
a2,1,0.199816,1.643719,[ 1 13] ; [26 94],[ 2.82089552 11.17910448] ; [24.17910448 95.82089552],0
b4,1,0.213934,1.544604,[11  3] ; [74 46],[8.88059701 5.11940299] ; [76.11940299 43.88059701],0
a6,1,0.216217,1.529306,[7 7] ; [80 40],[9.08955224 4.91044776] ; [77.91044776 42.08955224],0
n1,1,0.233724,1.418051,[2 1] ; [10 21],[1.05882353 1.94117647] ; [10.94117647 20.05882353],0
u2,1,0.268046,1.226718,[5 2] ; [19 20],[3.65217391 3.34782609] ; [20.34782609 18.65217391],0
s4,1,0.305656,1.049353,[ 3 11] ; [ 14 105],[ 1.78947368 12.21052632] ; [ 15.21052632 103.78947368],0
d1,1,0.325451,0.966915,[6 8] ; [68 52],[7.73134328 6.26865672] ; [66.26865672 53.73134328],0
s5,1,0.385572,0.752862,[4 8] ; [26 91],[2.79069767 9.20930233] ; [27.20930233 89.79069767],0
s8,1,0.390435,0.737588,[6 7] ; [41 79],[4.59398496 8.40601504] ; [42.40601504 77.59398496],0
s3,1,0.398589,0.71258,[ 2 12] ; [29 90],[ 3.26315789 10.73684211] ; [27.73684211 91.26315789],0
n6,1,0.41125,0.675184,[11  3] ; [104  16],[12.01492537  1.98507463] ; [102.98507463  17.01492537],0
p1,1,0.46581,0.531899,[ 1 13] ; [ 17 103],[ 1.88059701 12.11940299] ; [ 16.11940299 103.88059701],0
b1,1,0.471648,0.518113,[7 7] ; [48 72],[5.74626866 8.25373134] ; [49.25373134 70.74626866],0
v1,1,0.510488,0.433066,[7 7] ; [71 49],[8.14925373 5.85074627] ; [69.85074627 50.14925373],0
a8,1,0.603042,0.270433,[ 2 11] ; [11 93],[ 1.44444444 11.55555556] ; [11.55555556 92.44444444],0
d4,1,0.610193,0.259894,[10  4] ; [93 27],[10.76119403  3.23880597] ; [92.23880597 27.76119403],0
b5,1,0.626153,0.237314,[9 5] ; [69 51],[8.14925373 5.85074627] ; [69.85074627 50.14925373],0
s7,1,0.633839,0.22689,[4 9] ; [42 70],[4.784 8.216] ; [41.216 70.784],0
v2,1,0.65218,0.203163,[8 5] ; [66 54],[7.23308271 5.76691729] ; [66.76691729 53.23308271],0
u3,1,0.728282,0.120695,[4 3] ; [19 19],[3.57777778 3.42222222] ; [19.42222222 18.57777778],0
v4,1,0.733107,0.116278,[13  1] ; [114   6],[13.26865672  0.73134328] ; [113.73134328   6.26865672],0
v3,1,0.779375,0.078475,[5 8] ; [51 69],[5.47368421 7.52631579] ; [50.52631579 69.47368421],0
r4,1,0.801844,0.062981,[13  1] ; [109  11],[12.74626866  1.25373134] ; [109.25373134  10.74626866],0
p3,1,0.801929,0.062927,[9 5] ; [73 47],[8.56716418 5.43283582] ; [73.43283582 46.56716418],0
d2,1,0.832409,0.04478,[6 8] ; [55 65],[6.37313433 7.62686567] ; [54.62686567 65.37313433],0
b2,1,0.863493,0.02956,[4 6] ; [33 44],[4.25287356 5.74712644] ; [32.74712644 44.25287356],0
b3,1,0.863493,0.02956,[4 6] ; [33 44],[4.25287356 5.74712644] ; [32.74712644 44.25287356],0
p5,1,0.943417,0.005038,[ 2 12] ; [ 18 102],[ 2.08955224 11.91044776] ; [ 17.91044776 102.08955224],0
p12,1,0.959345,0.002598,[ 1 13] ; [  8 110],[ 0.95454545 13.04545455] ; [  8.04545455 109.95454545],0
a4,1,1.0,0.0,[6 8] ; [51 68],[6. 8.] ; [51. 68.],0
