Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1e-06,23.457886,[106  73] ; [29 71],[86.61290323 92.38709677] ; [48.38709677 51.61290323],1
n5,1,3e-06,21.830831,[165  19] ; [68 33],[150.42807018  33.57192982] ; [82.57192982 18.42807018],1
v2,1,8e-06,20.022678,[131  51] ; [45 55],[113.58865248  68.41134752] ; [62.41134752 37.58865248],1
p9,1,0.000727,11.41874,[171  12] ; [81 20],[162.38028169  20.61971831] ; [89.61971831 11.38028169],1
a5,1,0.001549,10.019846,[168  17] ; [78 23],[159.12587413  25.87412587] ; [86.87412587 14.12587413],0
p10,1,0.004154,8.215111,[169  15] ; [81 20],[161.40350877  22.59649123] ; [88.59649123 12.40350877],0
b3,1,0.004248,8.174775,[56 66] ; [15 47],[47.07608696 74.92391304] ; [23.92391304 38.07608696],0
b2,1,0.004248,8.174775,[56 66] ; [15 47],[47.07608696 74.92391304] ; [23.92391304 38.07608696],0
s5,1,0.004606,8.02791,[85 94] ; [29 68],[ 73.93478261 105.06521739] ; [40.06521739 56.93478261],0
p4,1,0.014019,6.035758,[152  32] ; [70 30],[143.83098592  40.16901408] ; [78.16901408 21.83098592],0
n6,1,0.019151,5.487686,[169  13] ; [84 16],[163.28368794  18.71631206] ; [89.71631206 10.28368794],0
p5,1,0.02346,5.134092,[ 40 145] ; [11 90],[ 32.98951049 152.01048951] ; [18.01048951 82.98951049],0
d4,1,0.036243,4.385614,[182   1] ; [97  4],[179.77816901   3.22183099] ; [99.22183099  1.77816901],0
p6,1,0.050681,3.818778,[104  78] ; [45 55],[96.16312057 85.83687943] ; [52.83687943 47.16312057],0
n4,1,0.052608,3.756328,[161  24] ; [79 22],[155.24475524  29.75524476] ; [84.75524476 16.24475524],0
p11,1,0.061101,3.507252,[162  23] ; [80 21],[156.53846154  28.46153846] ; [85.46153846 15.53846154],0
n1,1,0.066307,3.372149,[13 13] ; [ 5 16],[ 9.95744681 16.04255319] ; [ 8.04255319 12.95744681],0
u4,1,0.088197,2.906973,[  9 176] ; [  1 100],[  6.46853147 178.53146853] ; [ 3.53146853 97.46853147],0
p12,1,0.096469,2.762974,[ 25 160] ; [ 7 93],[ 20.77192982 164.22807018] ; [11.22807018 88.77192982],0
s8,1,0.097917,2.73914,[109  72] ; [50 50],[102.41637011  78.58362989] ; [56.58362989 43.41637011],0
s1,1,0.101163,2.687106,[  3 181] ; [ 5 95],[  5.18309859 178.81690141] ; [ 2.81690141 97.18309859],0
p3,1,0.11922,2.427544,[129  55] ; [61 39],[123.09859155  60.90140845] ; [66.90140845 33.09859155],0
p2,1,0.133611,2.25004,[174  11] ; [90 11],[170.76923077  14.23076923] ; [93.23076923  7.76923077],0
a7,1,0.136347,2.218707,[148  37] ; [73 28],[142.95454545  42.04545455] ; [78.04545455 22.95454545],0
r3,1,0.162262,1.953018,[180   5] ; [93  6],[177.83450704   7.16549296] ; [95.16549296  3.83450704],0
n2,1,0.177096,1.821824,[22  4] ; [15  7],[20.04166667  5.95833333] ; [16.95833333  5.04166667],0
p7,1,0.194567,1.682694,[154  27] ; [79 21],[150.08185053  30.91814947] ; [82.91814947 17.08185053],0
v4,1,0.241654,1.370918,[182   2] ; [97  3],[180.76056338   3.23943662] ; [98.23943662  1.76056338],0
a4,1,0.255567,1.292614,[104  80] ; [50 51],[99.4245614 84.5754386] ; [54.5754386 46.4245614],0
s6,1,0.258894,1.274661,[130  51] ; [64 34],[125.85663082  55.14336918] ; [68.14336918 29.85663082],0
u2,1,0.316063,1.005168,[18 16] ; [14  7],[19.78181818 14.21818182] ; [12.21818182  8.78181818],0
d5,1,0.328417,0.955128,[178   5] ; [100   1],[179.13380282   3.86619718] ; [98.86619718  2.13380282],0
s2,1,0.357289,0.847398,[105  77] ; [52 48],[101.32624113  80.67375887] ; [55.67375887 44.32624113],0
n3,1,0.358196,0.844208,[15 10] ; [16  6],[16.4893617  8.5106383] ; [14.5106383  7.4893617],0
a2,1,0.359355,0.840146,[ 61 124] ; [28 73],[ 57.56993007 127.43006993] ; [31.43006993 69.56993007],0
b1,1,0.379105,0.773602,[ 72 113] ; [34 67],[ 68.56643357 116.43356643] ; [37.43356643 63.56643357],0
r4,1,0.402633,0.70045,[178   7] ; [95  6],[176.59090909   8.40909091] ; [96.40909091  4.59090909],0
s4,1,0.472258,0.516689,[ 30 151] ; [20 80],[ 32.20640569 148.79359431] ; [17.79359431 82.20640569],0
b5,1,0.476149,0.50767,[107  78] ; [54 47],[104.14335664  80.85664336] ; [56.85664336 44.14335664],0
s7,1,0.491346,0.473577,[100  77] ; [49 45],[97.31734317 79.68265683] ; [51.68265683 42.31734317],0
u1,1,0.493662,0.468534,[ 47 138] ; [22 79],[ 44.63286713 140.36713287] ; [24.36713287 76.63286713],0
a3,1,0.493663,0.468533,[151  32] ; [80 21],[148.84859155  34.15140845] ; [82.15140845 18.84859155],0
d3,1,0.507179,0.439883,[165  19] ; [93  8],[166.56842105  17.43157895] ; [91.43157895  9.56842105],0
a6,1,0.514626,0.424649,[130  53] ; [68 33],[127.58450704  55.41549296] ; [70.41549296 30.58450704],0
r1,1,0.525446,0.403191,[164  19] ; [88 13],[162.38028169  20.61971831] ; [89.61971831 11.38028169],0
b4,1,0.619998,0.24587,[110  75] ; [57 44],[108.02447552  76.97552448] ; [58.97552448 42.02447552],0
r2,1,0.663513,0.189284,[179   4] ; [96  3],[178.45744681   4.54255319] ; [96.54255319  2.45744681],0
d2,1,0.761179,0.092375,[128  56] ; [72 29],[129.12280702  54.87719298] ; [70.87719298 30.12280702],0
s3,1,0.826748,0.047906,[108  74] ; [58 42],[107.13475177  74.86524823] ; [58.86524823 41.13475177],0
u3,1,0.833821,0.044018,[22 12] ; [13  8],[21.63636364 12.36363636] ; [13.36363636  7.63636364],0
a1,1,0.855825,0.033012,[ 12 173] ; [ 6 95],[ 11.64335664 173.35664336] ; [ 6.35664336 94.64335664],0
p1,1,0.905953,0.013958,[ 21 163] ; [12 89],[ 21.30526316 162.69473684] ; [11.69473684 89.30526316],0
a8,1,0.955602,0.0031,[ 25 136] ; [15 80],[ 25.15625 135.84375] ; [14.84375 80.15625],0
