Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,2e-06,22.4461,[92 79] ; [13 53],[75.75949367 95.24050633] ; [29.24050633 36.75949367],1
a3,1,3.5e-05,17.102744,[133  37] ; [33 32],[120.08510638  49.91489362] ; [45.91489362 19.08510638],1
d2,1,0.000328,12.901319,[92 79] ; [18 47],[79.70338983 91.29661017] ; [30.29661017 34.70338983],1
n4,1,0.000596,11.787852,[134  37] ; [37 29],[123.37974684  47.62025316] ; [47.62025316 18.37974684],1
a6,1,0.00081,11.218615,[129  42] ; [35 31],[118.32911392  52.67088608] ; [45.67088608 20.32911392],1
p3,1,0.000918,10.986315,[81 88] ; [16 50],[69.75744681 99.24255319] ; [27.24255319 38.75744681],1
n5,1,0.005798,7.612052,[119  51] ; [33 32],[109.95744681  60.04255319] ; [42.04255319 22.95744681],0
p2,1,0.006403,7.433251,[141  29] ; [44 22],[133.26271186  36.73728814] ; [51.73728814 14.26271186],0
u1,1,0.009247,6.774503,[ 26 145] ; [ 2 64],[ 20.20253165 150.79746835] ; [ 7.79746835 58.20253165],0
p8,1,0.009827,6.666051,[89 80] ; [22 43],[80.16666667 88.83333333] ; [30.83333333 34.16666667],0
d1,1,0.011886,6.327854,[106  65] ; [29 37],[97.40506329 73.59493671] ; [37.59493671 28.40506329],0
p4,1,0.01201,6.309336,[87 83] ; [21 43],[78.46153846 91.53846154] ; [29.53846154 34.46153846],0
d5,1,0.015677,5.838755,[137  34] ; [43 23],[129.87341772  41.12658228] ; [50.12658228 15.87341772],0
d3,1,0.01605,5.797348,[126  45] ; [38 28],[118.32911392  52.67088608] ; [45.67088608 20.32911392],0
s8,1,0.043368,4.081,[ 41 130] ; [ 8 58],[ 35.35443038 135.64556962] ; [13.64556962 52.35443038],0
v2,1,0.043889,4.060846,[103  62] ; [29 32],[96.37168142 68.62831858] ; [35.62831858 25.37168142],0
p10,1,0.046824,3.951704,[127  42] ; [41 25],[120.81702128  48.18297872] ; [47.18297872 18.81702128],0
v1,1,0.047006,3.945177,[90 80] ; [25 40],[83.19148936 86.80851064] ; [31.80851064 33.19148936],0
v3,1,0.05191,3.778676,[70 92] ; [18 44],[63.64285714 98.35714286] ; [24.35714286 37.64285714],0
r4,1,0.05679,3.628744,[157  14] ; [55 11],[152.96202532  18.03797468] ; [59.03797468  6.96202532],0
p9,1,0.058862,3.56915,[126  43] ; [41 25],[120.09787234  48.90212766] ; [46.90212766 19.09787234],0
b3,1,0.083196,3.001336,[44 63] ; [ 9 27],[39.65734266 67.34265734] ; [13.34265734 22.65734266],0
b2,1,0.083196,3.001336,[44 63] ; [ 9 27],[39.65734266 67.34265734] ; [13.34265734 22.65734266],0
n6,1,0.101689,2.67885,[131  39] ; [44 22],[126.05932203  43.94067797] ; [48.94067797 17.05932203],0
p6,1,0.120513,2.410639,[ 47 121] ; [12 54],[ 42.35897436 125.64102564] ; [16.64102564 49.35897436],0
p5,1,0.129194,2.302159,[ 11 159] ; [ 1 63],[  8.71794872 161.28205128] ; [ 3.28205128 60.71794872],0
s1,1,0.16052,1.969318,[  4 165] ; [ 4 62],[  5.75319149 163.24680851] ; [ 2.24680851 63.75319149],0
b1,1,0.169487,1.887473,[ 71 100] ; [21 45],[ 66.37974684 104.62025316] ; [25.62025316 40.37974684],0
