Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,1.4e-05,18.869345,[18 11] ; [ 2 26],[10.1754386 18.8245614] ; [ 9.8245614 18.1754386],1
a3,1,0.000109,14.971913,[24  5] ; [ 9 19],[16.78947368 12.21052632] ; [16.21052632 11.78947368],1
d3,1,0.001045,10.745397,[20 10] ; [ 7 22],[13.72881356 16.27118644] ; [13.27118644 15.72881356],0
d5,1,0.002611,9.060948,[23  7] ; [11 18],[17.28813559 12.71186441] ; [16.71186441 12.28813559],0
a6,1,0.005864,7.591713,[19 11] ; [ 8 21],[13.72881356 16.27118644] ; [13.27118644 15.72881356],0
d1,1,0.007874,7.062003,[15 15] ; [ 5 24],[10.16949153 19.83050847] ; [ 9.83050847 19.16949153],0
a7,1,0.012173,6.285556,[18 12] ; [ 8 21],[13.22033898 16.77966102] ; [12.77966102 16.22033898],0
d2,1,0.017018,5.694545,[17 12] ; [ 8 21],[12.5 16.5] ; [12.5 16.5],0
s3,1,0.037674,4.319658,[ 7 23] ; [ 1 25],[ 4.28571429 25.71428571] ; [ 3.71428571 22.28571429],0
p5,1,0.038672,4.275201,[ 6 22] ; [ 1 28],[ 3.43859649 24.56140351] ; [ 3.56140351 25.43859649],0
b1,1,0.045453,4.001744,[23  7] ; [15 14],[19.3220339 10.6779661] ; [18.6779661 10.3220339],0
d4,1,0.091185,2.853334,[20 10] ; [13 16],[16.77966102 13.22033898] ; [16.22033898 12.77966102],0
n5,1,0.128425,2.311446,[24  6] ; [18 11],[21.3559322  8.6440678] ; [20.6440678  8.3559322],0
n1,1,0.169327,1.888889,[10  7] ; [ 6 11],[8. 9.] ; [8. 9.],0
p4,1,0.17861,1.809155,[10 20] ; [ 5 23],[ 7.75862069 22.24137931] ; [ 7.24137931 20.75862069],0
p3,1,0.219675,1.506494,[ 9 20] ; [ 5 24],[ 7. 22.] ; [ 7. 22.],0
r2,1,0.227156,1.458581,[21  8] ; [16 12],[18.8245614 10.1754386] ; [18.1754386  9.8245614],0
r1,1,0.227878,1.454057,[15 15] ; [10 19],[12.71186441 17.28813559] ; [12.28813559 16.71186441],0
n4,1,0.242777,1.364395,[20 10] ; [15 14],[17.79661017 12.20338983] ; [17.20338983 11.79661017],0
s7,1,0.273322,1.2,[ 6 21] ; [ 3 24],[ 4.5 22.5] ; [ 4.5 22.5],0
