Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,8.3e-05,15.490993,[16  8] ; [17 57],[ 8.08163265 15.91836735] ; [24.91836735 49.08163265],1
s7,1,0.000127,14.68599,[11 12] ; [ 8 64],[ 4.6 18.4] ; [14.4 57.6],1
p7,1,0.000175,14.081673,[19  4] ; [28 46],[11.1443299 11.8556701] ; [35.8556701 38.1443299],1
p3,1,0.00028,13.196663,[14 10] ; [15 61],[ 6.96 17.04] ; [22.04 53.96],1
p2,1,0.000593,11.796682,[22  2] ; [40 36],[14.88  9.12] ; [47.12 28.88],1
a7,1,0.002825,8.917279,[18  6] ; [30 45],[11.63636364 12.36363636] ; [36.36363636 38.63636364],0
s2,1,0.004354,8.13003,[10 14] ; [11 65],[ 5.04 18.96] ; [15.96 60.04],0
p4,1,0.012866,6.1875,[13 11] ; [20 55],[ 8. 16.] ; [25. 50.],0
r2,1,0.018934,5.507555,[23  1] ; [55 20],[18.90909091  5.09090909] ; [59.09090909 15.90909091],0
r4,1,0.036346,4.380803,[19  5] ; [42 34],[14.64  9.36] ; [46.36 29.64],0
v3,1,0.040166,4.210838,[10 14] ; [15 58],[ 6.18556701 17.81443299] ; [18.81443299 54.18556701],0
s8,1,0.068736,3.312942,[ 7 17] ; [10 66],[ 4.08 19.92] ; [12.92 63.08],0
v4,1,0.071982,3.237237,[22  2] ; [55 19],[18.85714286  5.14285714] ; [58.14285714 15.85714286],0
v2,1,0.076487,3.138003,[12 12] ; [21 49],[ 8.42553191 15.57446809] ; [24.57446809 45.42553191],0
r3,1,0.144508,2.129283,[21  3] ; [54 20],[18.36734694  5.63265306] ; [56.63265306 17.36734694],0
a6,1,0.164346,1.93378,[14 10] ; [32 44],[11.04 12.96] ; [34.96 41.04],0
b5,1,0.187562,1.736665,[16  8] ; [39 37],[13.2 10.8] ; [41.8 34.2],0
u2,1,0.19487,1.680411,[5 4] ; [13 27],[3.30612245 5.69387755] ; [14.69387755 25.30612245],0
s5,1,0.209105,1.577614,[ 3 20] ; [ 4 71],[ 1.64285714 21.35714286] ; [ 5.35714286 69.64285714],0
s4,1,0.211745,1.559454,[ 4 20] ; [ 6 70],[ 2.4 21.6] ; [ 7.6 68.4],0
a3,1,0.237881,1.39311,[15  9] ; [36 38],[12.48979592 11.51020408] ; [38.51020408 35.48979592],0
b3,1,0.266905,1.232585,[9 8] ; [18 30],[7.06153846 9.93846154] ; [19.93846154 28.06153846],0
b2,1,0.266905,1.232585,[9 8] ; [18 30],[7.06153846 9.93846154] ; [19.93846154 28.06153846],0
n3,1,0.298868,1.07924,[6 1] ; [17  9],[4.87878788 2.12121212] ; [18.12121212  7.87878788],0
