Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,33.223502,[63 20] ; [ 4 24],[50.0990991 32.9009009] ; [16.9009009 11.0990991],1
r3,1,2e-06,22.830169,[70 12] ; [11 17],[60.38181818 21.61818182] ; [20.61818182  7.38181818],1
r2,1,4.6e-05,16.590808,[75  8] ; [15 12],[67.90909091 15.09090909] ; [22.09090909  4.90909091],1
p2,1,0.000348,12.793521,[44 39] ; [ 4 24],[35.89189189 47.10810811] ; [12.10810811 15.89189189],1
r1,1,0.0037,8.425319,[63 20] ; [13 15],[56.82882883 26.17117117] ; [19.17117117  8.82882883],0
n6,1,0.004544,8.05253,[55 28] ; [10 18],[48.6036036 34.3963964] ; [16.3963964 11.6036036],0
u3,1,0.005102,7.842971,[18 11] ; [ 2 11],[13.80952381 15.19047619] ; [6.19047619 6.80952381],0
p7,1,0.006687,7.355175,[35 47] ; [ 4 24],[29.07272727 52.92727273] ; [ 9.92727273 18.07272727],0
u2,1,0.007457,7.159479,[19  9] ; [ 3 10],[15.02439024 12.97560976] ; [6.97560976 6.02439024],0
p1,1,0.017156,5.680336,[ 2 80] ; [ 4 24],[ 4.47272727 77.52727273] ; [ 1.52727273 26.47272727],0
v2,1,0.021729,5.26739,[34 47] ; [ 5 23],[28.98165138 52.01834862] ; [10.01834862 17.98165138],0
a6,1,0.022887,5.177037,[53 30] ; [11 17],[47.85585586 35.14414414] ; [16.14414414 11.85585586],0
n2,1,0.033153,4.537882,[21 12] ; [ 5 11],[17.51020408 15.48979592] ; [8.48979592 7.51020408],0
a5,1,0.042758,4.104963,[48 35] ; [10 18],[43.36936937 39.63063063] ; [14.63063063 13.36936937],0
a7,1,0.046176,3.97515,[50 32] ; [11 17],[45.47272727 36.52727273] ; [15.52727273 12.47272727],0
b5,1,0.053957,3.714026,[50 33] ; [11 17],[45.61261261 37.38738739] ; [15.38738739 12.61261261],0
p11,1,0.054973,3.682899,[41 42] ; [ 8 20],[36.63963964 46.36036036] ; [12.36036036 15.63963964],0
p3,1,0.062438,3.47142,[19 63] ; [ 2 26],[15.65454545 66.34545455] ; [ 5.34545455 22.65454545],0
n3,1,0.075171,3.166341,[19 12] ; [ 5 10],[16.17391304 14.82608696] ; [7.82608696 7.17391304],0
p8,1,0.083361,2.998119,[18 65] ; [ 2 26],[14.95495495 68.04504505] ; [ 5.04504505 22.95495495],0
a1,1,0.093944,2.805466,[ 4 79] ; [ 4 24],[ 5.98198198 77.01801802] ; [ 2.01801802 25.98198198],0
v3,1,0.095957,2.771491,[24 55] ; [ 4 24],[20.6728972 58.3271028] ; [ 7.3271028 20.6728972],0
s6,1,0.113293,2.507679,[31 51] ; [ 6 22],[27.58181818 54.41818182] ; [ 9.41818182 18.58181818],0
s8,1,0.126622,2.333443,[16 66] ; [ 2 26],[13.41818182 68.58181818] ; [ 4.58181818 23.41818182],0
d5,1,0.147726,2.095579,[57 26] ; [15 13],[53.83783784 29.16216216] ; [18.16216216  9.83783784],0
v1,1,0.183336,1.770372,[29 54] ; [ 6 22],[26.17117117 56.82882883] ; [ 8.82882883 19.17117117],0
s2,1,0.195081,1.678825,[25 57] ; [ 5 23],[22.36363636 59.63636364] ; [ 7.63636364 20.36363636],0
d4,1,0.245375,1.349448,[62 20] ; [18 10],[59.63636364 22.36363636] ; [20.36363636  7.63636364],0
s4,1,0.251597,1.314412,[ 8 74] ; [ 5 23],[ 9.69090909 72.30909091] ; [ 3.30909091 24.69090909],0
p6,1,0.260798,1.264516,[13 68] ; [ 2 25],[11.25 69.75] ; [ 3.75 23.25],0
b2,1,0.270217,1.215644,[12 31] ; [ 8 11],[13.87096774 29.12903226] ; [ 6.12903226 12.87096774],0
b3,1,0.270217,1.215644,[12 31] ; [ 8 11],[13.87096774 29.12903226] ; [ 6.12903226 12.87096774],0
p10,1,0.275507,1.189121,[20 63] ; [ 4 24],[17.94594595 65.05405405] ; [ 6.05405405 21.94594595],0
a2,1,0.298237,1.082061,[16 67] ; [ 3 25],[14.20720721 68.79279279] ; [ 4.79279279 23.20720721],0
d3,1,0.353811,0.85974,[41 42] ; [11 17],[38.88288288 44.11711712] ; [13.11711712 14.88288288],0
a3,1,0.374953,0.787186,[54 29] ; [15 12],[52.06363636 30.93636364] ; [16.93636364 10.06363636],0
p12,1,0.421267,0.646777,[ 1 81] ; [ 1 27],[ 1.49090909 80.50909091] ; [ 0.50909091 27.49090909],0
s3,1,0.536311,0.38242,[30 53] ; [ 8 19],[28.67272727 54.32727273] ; [ 9.32727273 17.67272727],0
n5,1,0.549357,0.35847,[45 38] ; [17 11],[46.36036036 36.63963964] ; [15.63963964 12.36036036],0
s1,1,0.571211,0.320661,[ 6 76] ; [ 3 25],[ 6.70909091 75.29090909] ; [ 2.29090909 25.70909091],0
d2,1,0.619037,0.247224,[38 44] ; [14 13],[39.11926606 42.88073394] ; [12.88073394 14.11926606],0
a8,1,0.636219,0.223722,[ 6 71] ; [ 3 25],[ 6.6 70.4] ; [ 2.4 25.6],0
b1,1,0.704484,0.143849,[44 39] ; [16 12],[44.86486486 38.13513514] ; [15.13513514 12.86486486],0
b4,1,0.765855,0.088685,[53 30] ; [17 11],[52.34234234 30.65765766] ; [17.65765766 10.34234234],0
a4,1,0.801206,0.063397,[33 50] ; [10 17],[32.44545455 50.55454545] ; [10.55454545 16.44545455],0
s5,1,0.824521,0.049166,[13 68] ; [ 4 24],[12.63302752 68.36697248] ; [ 4.36697248 23.63302752],0
n4,1,0.848624,0.036433,[55 28] ; [18 10],[54.58558559 28.41441441] ; [18.41441441  9.58558559],0
d1,1,0.860406,0.030926,[34 49] ; [12 16],[34.3963964 48.6036036] ; [11.6036036 16.3963964],0
s7,1,0.949095,0.004076,[18 59] ; [ 6 19],[18.11764706 58.88235294] ; [ 5.88235294 19.11764706],0
n1,1,1.0,0.0,[12 20] ; [ 6 10],[12. 20.] ; [ 6. 10.],0
