Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.0,42.116034,[336   8] ; [6 4],[332.33898305  11.66101695] ; [9.66101695 0.33898305],1
r4,1,0.0,30.72842,[328  19] ; [5 5],[323.67226891  23.32773109] ; [9.32773109 0.67226891],1
r3,1,0.001721,9.82551,[337   9] ; [8 2],[335.30898876  10.69101124] ; [9.69101124 0.30898876],0
n5,1,0.007633,7.117509,[286  59] ; [5 5],[282.8028169  62.1971831] ; [8.1971831 1.8028169],0
s8,1,0.015118,5.90265,[256  88] ; [4 6],[252.65536723  91.34463277] ; [7.34463277 2.65536723],0
r1,1,0.018738,5.525814,[299  47] ; [6 4],[296.43258427  49.56741573] ; [8.56741573 1.43258427],0
p9,1,0.022857,5.179308,[313  30] ; [7 3],[310.93484419  32.06515581] ; [9.06515581 0.93484419],0
s2,1,0.024906,5.030401,[275  71] ; [5 5],[272.13483146  73.86516854] ; [7.86516854 2.13483146],0
p2,1,0.026389,4.93035,[296  50] ; [6 4],[293.51685393  52.48314607] ; [8.48314607 1.51685393],0
b4,1,0.03458,4.465815,[196 151] ; [9 1],[199.25770308 147.74229692] ; [5.74229692 4.25770308],0
s4,1,0.043644,4.070295,[ 78 267] ; [5 5],[ 80.66197183 264.33802817] ; [2.33802817 7.66197183],0
n4,1,0.043936,4.059025,[290  55] ; [6 4],[287.66197183  57.33802817] ; [8.33802817 1.66197183],0
n6,1,0.058106,3.590634,[307  37] ; [7 3],[305.1299435  38.8700565] ; [8.8700565 1.1299435],0
p4,1,0.061659,3.492182,[235 110] ; [4 6],[232.26760563 112.73239437] ; [6.73239437 3.26760563],0
b1,1,0.063112,3.453656,[141 206] ; [7 3],[143.85434174 203.14565826] ; [4.14565826 5.85434174],0
a6,1,0.069575,3.293023,[232 112] ; [4 6],[229.33333333 114.66666667] ; [6.66666667 3.33333333],0
n2,1,0.071875,3.239683,[61 17] ; [1 2],[59.7037037 18.2962963] ; [2.2962963 0.7037037],0
d3,1,0.102612,2.664462,[253  92] ; [5 5],[250.73239437  94.26760563] ; [7.26760563 2.73239437],0
p10,1,0.155859,2.013948,[295  48] ; [7 3],[293.44475921  49.55524079] ; [8.55524079 1.44475921],0
a4,1,0.219007,1.510866,[172 174] ; [3 7],[170.08426966 175.91573034] ; [4.91573034 5.08426966],0
d1,1,0.313606,1.015426,[227 120] ; [5 5],[225.50140056 121.49859944] ; [6.49859944 3.50140056],0
s3,1,0.382457,0.76279,[278  65] ; [7 3],[276.92634561  66.07365439] ; [8.07365439 1.92634561],0
p1,1,0.396358,0.719347,[ 39 306] ; [2 8],[ 39.84507042 305.15492958] ; [1.15492958 8.84507042],0
a5,1,0.416461,0.660281,[279  68] ; [7 3],[277.98879552  69.01120448] ; [8.01120448 1.98879552],0
p8,1,0.461874,0.541348,[193 147] ; [4 5],[191.91977077 148.08022923] ; [5.08022923 3.91977077],0
p11,1,0.463163,0.538241,[276  71] ; [7 3],[275.07282913  71.92717087] ; [7.92717087 2.07282913],0
a7,1,0.469282,0.523666,[245 102] ; [6 4],[243.96918768 103.03081232] ; [7.03081232 2.96918768],0
a2,1,0.474067,0.512481,[106 241] ; [2 8],[104.97478992 242.02521008] ; [3.02521008 6.97478992],0
v1,1,0.522618,0.408723,[203 135] ; [5 5],[202.02298851 135.97701149] ; [5.97701149 4.02298851],0
v2,1,0.533673,0.387393,[203 134] ; [7 3],[203.9481268 133.0518732] ; [6.0518732 3.9481268],0
s1,1,0.549549,0.358126,[ 19 323] ; [1 9],[ 19.43181818 322.56818182] ; [0.56818182 9.43181818],0
n1,1,0.600741,0.27388,[38 40] ; [1 2],[37.55555556 40.44444444] ; [1.44444444 1.55555556],0
d4,1,0.609384,0.261073,[295  49] ; [8 2],[294.44067797  49.55932203] ; [8.55932203 1.44067797],0
p3,1,0.66249,0.190513,[197 149] ; [5 5],[196.3258427 149.6741573] ; [5.6741573 4.3258427],0
p6,1,0.692074,0.15685,[158 183] ; [4 6],[157.38461538 183.61538462] ; [4.61538462 5.38461538],0
d5,1,0.692665,0.156216,[291  53] ; [8 2],[290.55367232  53.44632768] ; [8.44632768 1.55367232],0
a8,1,0.707153,0.141137,[ 49 265] ; [2 8],[ 49.42592593 264.57407407] ; [1.57407407 8.42592593],0
d2,1,0.798812,0.064966,[193 152] ; [6 4],[193.3943662 151.6056338] ; [5.6056338 4.3943662],0
p5,1,0.833819,0.044019,[ 60 284] ; [2 8],[ 60.24858757 283.75141243] ; [1.75141243 8.24858757],0
v3,1,0.906231,0.013875,[156 180] ; [4 5],[155.82608696 180.17391304] ; [4.17391304 4.82608696],0
p12,1,0.919444,0.010228,[ 38 307] ; [1 9],[ 37.90140845 307.09859155] ; [1.09859155 8.90140845],0
b2,1,0.945818,0.004619,[ 99 142] ; [4 6],[ 98.89641434 142.10358566] ; [4.10358566 5.89641434],0
b3,1,0.945818,0.004619,[ 99 142] ; [4 6],[ 98.89641434 142.10358566] ; [4.10358566 5.89641434],0
s5,1,0.955354,0.003134,[170 164] ; [5 5],[169.9127907 164.0872093] ; [5.0872093 4.9127907],0
b5,1,0.982466,0.000483,[207 140] ; [6 4],[207.03361345 139.96638655] ; [5.96638655 4.03361345],0
p7,1,0.99675,1.7e-05,[234 100] ; [7 3],[233.99418605 100.00581395] ; [7.00581395 2.99418605],0
n3,1,1.0,0.0,[52 26] ; [2 1],[52. 26.] ; [2. 1.],0
