Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,244.100962,[245  37] ; [ 59 220],[152.81283422 129.18716578] ; [151.18716578 127.81283422],1
s6,1,0.0,106.484721,[246  34] ; [131 148],[188.8372093  91.1627907] ; [188.1627907  90.8372093],1
s7,1,0.0,97.928904,[185  87] ; [ 68 199],[127.67346939 144.32653061] ; [125.32653061 141.67346939],1
s8,1,0.0,66.147094,[170 114] ; [ 73 208],[122.14513274 161.85486726] ; [120.85486726 160.14513274],1
s5,1,0.0,65.200375,[130 140] ; [ 44 232],[ 86.04395604 183.95604396] ; [ 87.95604396 188.04395604],1
s4,1,1e-06,23.612743,[ 65 215] ; [ 23 256],[ 44.07871199 235.92128801] ; [ 43.92128801 235.07871199],1
r2,1,5e-05,16.439493,[278   3] ; [254  23],[267.90681004  13.09318996] ; [264.09318996  12.90681004],1
p9,1,6.7e-05,15.901435,[252  26] ; [218  60],[235.  43.] ; [235.  43.],1
p10,1,7.7e-05,15.635188,[246  34] ; [208  70],[227.81362007  52.18637993] ; [226.18637993  51.81362007],1
u1,1,0.000132,14.619197,[ 90 195] ; [ 50 232],[ 70.37037037 214.62962963] ; [ 69.62962963 212.37037037],1
d1,1,0.000403,12.516109,[224  61] ; [184  98],[205.07936508  79.92063492] ; [202.92063492  79.07936508],1
p6,1,0.00062,11.715304,[118 163] ; [ 78 199],[ 98.70250896 182.29749104] ; [ 97.29749104 179.70250896],1
p12,1,0.000661,11.595291,[ 33 251] ; [ 11 269],[ 22.15602837 261.84397163] ; [ 21.84397163 258.15602837],1
p4,1,0.000684,11.531782,[192  91] ; [152 130],[172.30442478 110.69557522] ; [171.69557522 110.30442478],1
v4,1,0.001862,9.681298,[276   6] ; [259  22],[267.97513321  14.02486679] ; [267.02486679  13.97513321],0
d2,1,0.005543,7.693119,[166 118] ; [132 150],[149.52650177 134.47349823] ; [148.47349823 133.52650177],0
r4,1,0.006193,7.493286,[267  18] ; [245  37],[257.35449735  27.64550265] ; [254.64550265  27.35449735],0
n6,1,0.007145,7.236052,[245  36] ; [221  60],[233.  48.] ; [233.  48.],0
r3,1,0.007823,7.073544,[276   6] ; [263  19],[269.5  12.5] ; [269.5  12.5],0
a2,1,0.00855,6.914536,[104 181] ; [ 74 208],[ 89.47089947 195.52910053] ; [ 88.52910053 193.47089947],0
p2,1,0.013814,6.061724,[249  34] ; [226  55],[238.34219858  44.65780142] ; [236.65780142  44.34219858],0
n5,1,0.015878,5.816369,[217  65] ; [190  90],[204.22419929  77.77580071] ; [202.77580071  77.22419929],0
u4,1,0.020572,5.362655,[ 10 275] ; [  2 280],[  6.03174603 278.96825397] ; [  5.96825397 276.03174603],0
n2,1,0.030067,4.705482,[44 12] ; [43 28],[38.36220472 17.63779528] ; [48.63779528 22.36220472],0
r1,1,0.033426,4.523813,[241  41] ; [220  60],[231.3202847  50.6797153] ; [229.6797153  50.3202847],0
a4,1,0.052292,3.766416,[149 136] ; [124 157],[137.46466431 147.53533569] ; [135.53533569 145.46466431],0
v1,1,0.053485,3.728692,[158 116] ; [137 140],[146.6969147 127.3030853] ; [148.3030853 128.6969147],0
v3,1,0.05956,3.549589,[112 156] ; [ 93 181],[101.36531365 166.63468635] ; [103.63468635 170.36531365],0
p7,1,0.077718,3.11199,[178  94] ; [161 116],[167.95628415 104.04371585] ; [171.04371585 105.95628415],0
s1,1,0.087418,2.921288,[ 12 269] ; [  5 274],[  8.53035714 272.46964286] ; [  8.46964286 270.53035714],0
n3,1,0.089656,2.880542,[44 12] ; [46 25],[39.68503937 16.31496063] ; [50.31496063 20.68503937],0
p3,1,0.092061,2.837957,[151 132] ; [130 151],[140.99822695 142.00177305] ; [140.00177305 140.99822695],0
v2,1,0.111554,2.532068,[168 101] ; [151 120],[158.90925926 110.09074074] ; [160.09074074 110.90925926],0
d4,1,0.119728,2.420869,[261  24] ; [247  35],[255.34391534  29.65608466] ; [252.65608466  29.34391534],0
n4,1,0.126889,2.330162,[224  60] ; [207  75],[216.2614841  67.7385159] ; [214.7385159  67.2614841],0
a3,1,0.157144,2.001497,[217  67] ; [200  81],[209.60707965  74.39292035] ; [207.39292035  73.60707965],0
p5,1,0.161202,1.962918,[ 34 246] ; [ 24 257],[ 28.9483066 251.0516934] ; [ 29.0516934 251.9483066],0
u3,1,0.237159,1.3974,[46 21] ; [48 33],[42.55405405 24.44594595] ; [51.44594595 29.55405405],0
a5,1,0.243994,1.35737,[225  60] ; [211  71],[219.15343915  65.84656085] ; [216.84656085  65.15343915],0
p1,1,0.287745,1.130142,[ 26 256] ; [ 19 261],[ 22.58007117 259.41992883] ; [ 22.41992883 257.58007117],0
