Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,107.303799,[ 26 247] ; [83 66],[ 70.51421801 202.48578199] ; [ 38.48578199 110.51421801],1
s6,1,0.0,41.00607,[ 87 184] ; [95 52],[117.99521531 153.00478469] ; [64.00478469 82.99521531],1
s8,1,0.000295,13.102166,[ 35 239] ; [ 40 109],[ 48.58156028 225.41843972] ; [ 26.41843972 122.58156028],1
p12,1,0.003818,8.368416,[  8 265] ; [ 14 133],[ 14.3 258.7] ; [  7.7 139.3],0
s5,1,0.039005,4.260662,[ 44 224] ; [ 36 109],[ 51.91283293 216.08716707] ; [ 28.08716707 116.91283293],0
r3,1,0.046094,3.978145,[239  33] ; [140   9],[244.86460808  27.13539192] ; [134.13539192  14.86460808],0
n2,1,0.048619,3.888444,[49 28] ; [28  6],[53.41441441 23.58558559] ; [23.58558559 10.41441441],0
p2,1,0.075192,3.165887,[199  73] ; [119  28],[206.43436754  65.56563246] ; [111.56563246  35.43436754],0
a4,1,0.075473,3.159779,[113 161] ; [ 48 100],[104.53554502 169.46445498] ; [56.46445498 91.53554502],0
r4,1,0.077302,3.120729,[217  58] ; [128  21],[223.76179245  51.23820755] ; [121.23820755  27.76179245],0
p1,1,0.087142,2.926399,[ 26 249] ; [  7 140],[ 21.50473934 253.49526066] ; [ 11.49526066 135.50473934],0
v3,1,0.091347,2.85047,[ 74 190] ; [52 92],[ 81.52941176 182.47058824] ; [44.47058824 99.52941176],0
p10,1,0.10139,2.683536,[180  89] ; [109  37],[187.32771084  81.67228916] ; [101.67228916  44.32771084],0
n3,1,0.117942,2.444444,[49 26] ; [28  7],[52.5 22.5] ; [24.5 10.5],0
a5,1,0.162475,1.951036,[183  92] ; [89 60],[176.41509434  98.58490566] ; [95.58490566 53.41509434],0
p7,1,0.166834,1.911167,[138 131] ; [83 59],[144.64476886 124.35523114] ; [76.35523114 65.64476886],0
p6,1,0.177173,1.821182,[ 60 209] ; [ 41 104],[ 65.62560386 203.37439614] ; [ 35.37439614 109.62560386],0
a7,1,0.207825,1.586514,[183  90] ; [108  40],[188.70071259  84.29928741] ; [102.29928741  45.70071259],0
n1,1,0.223273,1.483211,[21 55] ; [13 20],[23.70642202 52.29357798] ; [10.29357798 22.70642202],0
p9,1,0.30201,1.065296,[195  75] ; [113  34],[199.42446043  70.57553957] ; [108.57553957  38.42446043],0
n6,1,0.303938,1.056836,[208  65] ; [106  42],[203.6152019  69.3847981] ; [110.3847981  37.6152019],0
b1,1,0.329235,0.951904,[113 162] ; [54 95],[108.31367925 166.68632075] ; [58.68632075 90.31367925],0
d5,1,0.333759,0.934256,[211  64] ; [108  41],[206.89858491  68.10141509] ; [112.10141509  36.89858491],0
b4,1,0.348133,0.880251,[155 120] ; [91 58],[159.55188679 115.44811321] ; [86.44811321 62.55188679],0
v1,1,0.371967,0.797082,[121 152] ; [69 72],[125.28985507 147.71014493] ; [64.71014493 76.28985507],0
p11,1,0.441823,0.591543,[201  74] ; [114  35],[204.30424528  70.69575472] ; [110.69575472  38.30424528],0
p5,1,0.458867,0.548657,[ 18 255] ; [  7 139],[ 16.28878282 256.71121718] ; [  8.71121718 137.28878282],0
r2,1,0.474291,0.511961,[241  30] ; [134  13],[243.12200957  27.87799043] ; [131.87799043  15.12200957],0
b3,1,0.4898,0.476965,[ 49 102] ; [31 53],[51.40425532 99.59574468] ; [28.59574468 55.40425532],0
b2,1,0.4898,0.476965,[ 49 102] ; [31 53],[51.40425532 99.59574468] ; [28.59574468 55.40425532],0
d4,1,0.489856,0.476844,[207  67] ; [117  32],[209.87234043  64.12765957] ; [114.12765957  34.87234043],0
p3,1,0.518979,0.415922,[ 99 174] ; [58 89],[102.05 170.95] ; [54.95 92.05],0
a3,1,0.569812,0.322997,[167 107] ; [86 62],[164.27014218 109.72985782] ; [88.72985782 59.27014218],0
p4,1,0.587598,0.294111,[122 150] ; [70 77],[124.63961814 147.36038186] ; [67.36038186 79.63961814],0
a2,1,0.595149,0.282374,[ 48 227] ; [ 23 126],[ 46.0495283 228.9504717] ; [ 24.9504717 124.0495283],0
a8,1,0.686192,0.163238,[ 31 219] ; [ 16 129],[ 29.74683544 220.25316456] ; [ 17.25316456 127.74683544],0
n5,1,0.687211,0.162122,[176  96] ; [98 49],[177.87112172  94.12887828] ; [96.12887828 50.87112172],0
d1,1,0.706418,0.141881,[140 135] ; [73 76],[138.14858491 136.85141509] ; [74.85141509 74.14858491],0
u1,1,0.764468,0.089771,[ 27 248] ; [ 16 133],[ 27.88915094 247.11084906] ; [ 15.11084906 133.88915094],0
a1,1,0.771193,0.084573,[ 13 262] ; [  8 141],[ 13.62028302 261.37971698] ; [  7.37971698 141.62028302],0
s1,1,0.776586,0.080526,[  8 264] ; [  5 140],[  8.47961631 263.52038369] ; [  4.52038369 140.47961631],0
p8,1,0.793078,0.06881,[123 147] ; [65 82],[121.72661871 148.27338129] ; [66.27338129 80.72661871],0
r1,1,0.820847,0.051282,[196  77] ; [104  43],[195.  78.] ; [105.  42.],0
b5,1,0.832041,0.04498,[169 106] ; [90 59],[167.98349057 107.01650943] ; [91.01650943 57.98349057],0
d3,1,0.854387,0.033681,[168 106] ; [90 59],[167.12056738 106.87943262] ; [90.87943262 58.12056738],0
v4,1,0.866968,0.02806,[244  30] ; [131  17],[243.48341232  30.51658768] ; [131.51658768  16.48341232],0
u2,1,0.906053,0.013928,[52 54] ; [31 31],[52.36904762 53.63095238] ; [30.63095238 31.36904762],0
a6,1,0.91437,0.011562,[185  90] ; [101  48],[185.49528302  89.50471698] ; [100.50471698  48.49528302],0
u3,1,0.942126,0.00527,[52 55] ; [30 31],[52.22619048 54.77380952] ; [29.77380952 31.22619048],0
u4,1,0.94751,0.004334,[  2 273] ; [  1 148],[  1.94575472 273.05424528] ; [  1.05424528 147.94575472],0
n4,1,0.983558,0.000425,[186  88] ; [101  48],[185.90543735  88.09456265] ; [101.09456265  47.90543735],0
v2,1,0.994996,3.9e-05,[130 134] ; [68 70],[130.02985075 133.97014925] ; [67.97014925 70.02985075],0
d2,1,0.999609,0.0,[115 157] ; [63 86],[115.0023753 156.9976247] ; [62.9976247 86.0023753],0
