Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,42.702854,[69 31] ; [ 2 34],[52.20588235 47.79411765] ; [18.79411765 17.20588235],1
v4,1,0.0,28.506942,[89 10] ; [17 19],[77.73333333 21.26666667] ; [28.26666667  7.73333333],1
p11,1,2.1e-05,18.086376,[71 29] ; [11 25],[60.29411765 39.70588235] ; [21.70588235 14.29411765],1
p9,1,2.7e-05,17.610174,[80 18] ; [15 19],[70.53030303 27.46969697] ; [24.46969697  9.53030303],1
n6,1,3.4e-05,17.154135,[80 20] ; [15 20],[70.37037037 29.62962963] ; [24.62962963 10.37037037],1
p10,1,8.2e-05,15.518208,[71 26] ; [13 23],[61.26315789 35.73684211] ; [22.73684211 13.26315789],1
n2,1,0.000412,12.478299,[25  5] ; [ 5 11],[19.56521739 10.43478261] ; [10.43478261  5.56521739],1
p2,1,0.000688,11.521317,[74 24] ; [16 20],[65.82089552 32.17910448] ; [24.17910448 11.82089552],1
b5,1,0.005468,7.7179,[68 32] ; [15 21],[61.02941176 38.97058824] ; [21.97058824 14.02941176],0
s1,1,0.005703,7.641839,[ 1 99] ; [ 4 32],[ 3.67647059 96.32352941] ; [ 1.32352941 34.67647059],0
s6,1,0.00939,6.74712,[47 53] ; [ 8 28],[40.44117647 59.55882353] ; [14.55882353 21.44117647],0
d2,1,0.018335,5.563847,[29 70] ; [18 17],[34.7238806 64.2761194] ; [12.2761194 22.7238806],0
a7,1,0.018771,5.522727,[61 38] ; [14 22],[55. 44.] ; [20. 16.],0
a1,1,0.027702,4.846545,[ 5 95] ; [ 6 30],[ 8.08823529 91.91176471] ; [ 2.91176471 33.08823529],0
n3,1,0.032992,4.546199,[21  9] ; [ 6 10],[17.60869565 12.39130435] ; [9.39130435 6.60869565],0
p8,1,0.043547,4.07405,[42 58] ; [ 8 27],[37.03703704 62.96296296] ; [12.96296296 22.03703704],0
p6,1,0.087815,2.913971,[25 74] ; [ 4 31],[21.42537313 77.57462687] ; [ 7.57462687 27.42537313],0
a8,1,0.092183,2.835826,[12 83] ; [ 1 35],[ 9.42748092 85.57251908] ; [ 3.57251908 32.42748092],0
p4,1,0.107304,2.593487,[46 54] ; [11 25],[41.91176471 58.08823529] ; [15.08823529 20.91176471],0
p3,1,0.107942,2.584096,[40 60] ; [ 9 27],[36.02941176 63.97058824] ; [12.97058824 23.02941176],0
d5,1,0.108179,2.580629,[62 37] ; [17 19],[57.93333333 41.06666667] ; [21.06666667 14.93333333],0
d4,1,0.113543,2.504206,[65 35] ; [18 18],[61.02941176 38.97058824] ; [21.97058824 14.02941176],0
p1,1,0.147902,2.093753,[ 8 91] ; [ 6 30],[10.26666667 88.73333333] ; [ 3.73333333 32.26666667],0
p7,1,0.148405,2.088572,[47 50] ; [12 23],[43.35606061 53.64393939] ; [15.64393939 19.35606061],0
r2,1,0.156859,2.004251,[78 20] ; [23 11],[74.98484848 23.01515152] ; [26.01515152  7.98484848],0
b1,1,0.172938,1.857293,[37 63] ; [18 18],[40.44117647 59.55882353] ; [14.55882353 21.44117647],0
p5,1,0.175553,1.834873,[10 88] ; [ 1 34],[ 8.10526316 89.89473684] ; [ 2.89473684 32.10526316],0
b2,1,0.181525,1.785092,[17 38] ; [12 14],[19.69135802 35.30864198] ; [ 9.30864198 16.69135802],0
b3,1,0.181525,1.785092,[17 38] ; [12 14],[19.69135802 35.30864198] ; [ 9.30864198 16.69135802],0
s2,1,0.191902,1.702957,[37 63] ; [ 9 27],[33.82352941 66.17647059] ; [12.17647059 23.82352941],0
s8,1,0.204059,1.613086,[24 76] ; [ 5 31],[21.32352941 78.67647059] ; [ 7.67647059 28.32352941],0
n1,1,0.219851,1.505341,[13 17] ; [ 4 12],[11.08695652 18.91304348] ; [ 5.91304348 10.08695652],0
n4,1,0.259196,1.273045,[53 47] ; [23 13],[55.88235294 44.11764706] ; [20.11764706 15.88235294],0
n5,1,0.347011,0.884358,[60 39] ; [25 11],[62.33333333 36.66666667] ; [22.66666667 13.33333333],0
s7,1,0.348934,0.877331,[30 66] ; [ 8 27],[27.84732824 68.15267176] ; [10.15267176 24.84732824],0
v3,1,0.361192,0.833745,[13 86] ; [ 7 29],[14.66666667 84.33333333] ; [ 5.33333333 30.66666667],0
b4,1,0.365107,0.820252,[56 44] ; [17 19],[53.67647059 46.32352941] ; [19.32352941 16.67647059],0
v1,1,0.396487,0.718954,[20 76] ; [10 26],[21.81818182 74.18181818] ; [ 8.18181818 27.81818182],0
s3,1,0.556662,0.345516,[41 59] ; [12 22],[39.55223881 60.44776119] ; [13.44776119 20.55223881],0
u1,1,0.577698,0.309972,[ 5 95] ; [ 1 35],[ 4.41176471 95.58823529] ; [ 1.58823529 34.41176471],0
u3,1,0.585076,0.2981,[18 31] ; [ 5 12],[17.07575758 31.92424242] ; [ 5.92424242 11.07575758],0
a2,1,0.62991,0.232183,[ 8 92] ; [ 2 34],[ 7.35294118 92.64705882] ; [ 2.64705882 33.35294118],0
d1,1,0.64649,0.210354,[29 71] ; [ 9 27],[27.94117647 72.05882353] ; [10.05882353 25.94117647],0
a5,1,0.697476,0.151111,[49 51] ; [19 17],[50. 50.] ; [18. 18.],0
u2,1,0.729717,0.119371,[23 27] ; [ 7 10],[22.3880597 27.6119403] ; [7.6119403 9.3880597],0
d3,1,0.738385,0.111551,[44 54] ; [15 21],[43.14925373 54.85074627] ; [15.85074627 20.14925373],0
a6,1,0.738882,0.111112,[56 44] ; [19 17],[55.14705882 44.85294118] ; [19.85294118 16.14705882],0
a3,1,0.81529,0.054572,[50 49] ; [19 17],[50.6 48.4] ; [18.4 17.6],0
