Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,1e-06,24.240632,[73 31] ; [ 6 24],[61.31343284 42.68656716] ; [17.68656716 12.31343284],1
r4,1,2e-06,22.270346,[74 30] ; [ 7 23],[62.86567164 41.13432836] ; [18.13432836 11.86567164],1
r3,1,1.8e-05,18.382096,[81 23] ; [11 19],[71.40298507 32.59701493] ; [20.59701493  9.40298507],1
r1,1,0.000437,12.364887,[71 32] ; [10 20],[62.72932331 40.27067669] ; [18.27067669 11.72932331],1
p2,1,0.000539,11.976612,[61 42] ; [ 7 23],[52.66165414 50.33834586] ; [15.33834586 14.66165414],1
r2,1,0.000654,11.615585,[91 12] ; [17 11],[84.91603053 18.08396947] ; [23.08396947  4.91603053],1
a1,1,0.003015,8.798114,[  4 100] ; [ 6 24],[ 7.76119403 96.23880597] ; [ 2.23880597 27.76119403],0
p8,1,0.003804,8.375009,[35 67] ; [ 2 27],[28.80916031 73.19083969] ; [ 8.19083969 20.80916031],0
p1,1,0.005003,7.878192,[  3 101] ; [ 5 25],[ 6.20895522 97.79104478] ; [ 1.79104478 28.20895522],0
u3,1,0.005906,7.578635,[19 20] ; [ 1 13],[14.71698113 24.28301887] ; [5.28301887 8.71698113],0
d5,1,0.011558,6.377508,[80 24] ; [16 14],[74.50746269 29.49253731] ; [21.49253731  8.50746269],0
u2,1,0.017127,5.683301,[16 22] ; [ 1 13],[12.42307692 25.57692308] ; [4.57692308 9.42307692],0
s6,1,0.019035,5.498297,[41 62] ; [ 5 25],[35.62406015 67.37593985] ; [10.37593985 19.62406015],0
b5,1,0.022684,5.192564,[69 35] ; [13 17],[63.64179104 40.35820896] ; [18.35820896 11.64179104],0
p7,1,0.029523,4.736836,[46 55] ; [ 7 23],[40.86259542 60.13740458] ; [12.13740458 17.86259542],0
p10,1,0.047909,3.913167,[45 56] ; [ 7 22],[40.4 60.6] ; [11.6 17.4],0
d3,1,0.050084,3.838651,[62 41] ; [12 18],[57.30827068 45.69172932] ; [16.69172932 13.30827068],0
p3,1,0.064483,3.418159,[35 67] ; [ 5 25],[30.90909091 71.09090909] ; [ 9.09090909 20.90909091],0
d4,1,0.06698,3.355529,[77 27] ; [17 13],[72.95522388 31.04477612] ; [21.04477612  8.95522388],0
v3,1,0.076666,3.1342,[30 69] ; [ 4 25],[26.296875 72.703125] ; [ 7.703125 21.296875],0
p9,1,0.079035,3.084626,[49 50] ; [ 9 20],[44.859375 54.140625] ; [13.140625 15.859375],0
v2,1,0.102026,2.673586,[38 65] ; [ 6 23],[34.33333333 68.66666667] ; [ 9.66666667 19.33333333],0
b2,1,0.115184,2.481618,[14 37] ; [11 13],[17. 34.] ; [ 8. 16.],0
b3,1,0.115184,2.481618,[14 37] ; [11 13],[17. 34.] ; [ 8. 16.],0
n3,1,0.127216,2.326154,[24 16] ; [ 6 10],[21.42857143 18.57142857] ; [8.57142857 7.42857143],0
d1,1,0.12807,2.315739,[51 53] ; [10 20],[47.34328358 56.65671642] ; [13.65671642 16.34328358],0
a6,1,0.137105,2.210157,[61 43] ; [13 17],[57.43283582 46.56716418] ; [16.56716418 13.43283582],0
s7,1,0.155926,2.013299,[22 77] ; [ 3 26],[19.3359375 79.6640625] ; [ 5.6640625 23.3359375],0
a7,1,0.19232,1.699759,[69 35] ; [16 14],[65.97014925 38.02985075] ; [19.02985075 10.97014925],0
p6,1,0.201204,1.633615,[21 80] ; [ 3 26],[18.64615385 82.35384615] ; [ 5.35384615 23.64615385],0
a5,1,0.257704,1.281048,[64 40] ; [15 15],[61.31343284 42.68656716] ; [17.68656716 12.31343284],0
n4,1,0.261229,1.262233,[61 43] ; [21  9],[63.64179104 40.35820896] ; [18.35820896 11.64179104],0
p4,1,0.283996,1.147865,[34 67] ; [ 7 23],[31.61068702 69.38931298] ; [ 9.38931298 20.61068702],0
b1,1,0.289906,1.120057,[51 53] ; [18 12],[53.55223881 50.44776119] ; [15.44776119 14.55223881],0
a2,1,0.339952,0.910611,[22 82] ; [ 4 26],[20.17910448 83.82089552] ; [ 5.82089552 24.17910448],0
p12,1,0.349447,0.875463,[  1 102] ; [ 1 29],[  1.54887218 101.45112782] ; [ 0.45112782 29.54887218],0
a3,1,0.368362,0.809184,[65 36] ; [16 13],[62.93076923 38.06923077] ; [18.06923077 10.93076923],0
a8,1,0.425907,0.63396,[ 8 87] ; [ 4 26],[ 9.12 85.88] ; [ 2.88 27.12],0
