Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.002254,9.329911,[18 15] ; [65 14],[24.45535714  8.54464286] ; [58.54464286 20.45535714],0
r3,1,0.002961,8.831595,[26  7] ; [77  3],[30.07964602  2.92035398] ; [72.92035398  7.07964602],0
u2,1,0.006903,7.29798,[1 7] ; [21 11],[4.4 3.6] ; [17.6 14.4],0
v4,1,0.008205,6.988262,[26  7] ; [76  4],[29.78761062  3.21238938] ; [72.21238938  7.78761062],0
p10,1,0.0138,6.063579,[23 10] ; [71  9],[27.45132743  5.54867257] ; [66.54867257 13.45132743],0
n3,1,0.031922,4.602672,[14  1] ; [15  9],[11.15384615  3.84615385] ; [17.84615385  6.15384615],0
a2,1,0.043498,4.075927,[11 22] ; [13 67],[ 7.00884956 25.99115044] ; [16.99115044 63.00884956],0
n4,1,0.066314,3.371974,[19 14] ; [60 20],[23.07079646  9.92920354] ; [55.92920354 24.07079646],0
a3,1,0.068924,3.308465,[25  7] ; [48 32],[20.85714286 11.14285714] ; [52.14285714 27.85714286],0
a8,1,0.072247,3.23121,[ 6 24] ; [ 6 71],[ 3.36448598 26.63551402] ; [ 8.63551402 68.36448598],0
s8,1,0.072494,3.225619,[11 22] ; [41 38],[15.32142857 17.67857143] ; [36.67857143 42.32142857],0
a7,1,0.072765,3.219524,[26  7] ; [49 31],[21.90265487 11.09734513] ; [53.09734513 26.90265487],0
r4,1,0.078987,3.085621,[25  8] ; [71  9],[28.03539823  4.96460177] ; [67.96460177 12.03539823],0
s1,1,0.101141,2.687462,[ 4 29] ; [ 3 75],[ 2.08108108 30.91891892] ; [ 4.91891892 73.08108108],0
n5,1,0.101292,2.685079,[20 13] ; [60 19],[23.57142857  9.42857143] ; [56.42857143 22.57142857],0
b5,1,0.140216,2.175583,[25  8] ; [49 31],[21.61061947 11.38938053] ; [52.38938053 27.61061947],0
p5,1,0.143117,2.144116,[ 1 32] ; [ 9 67],[ 3.02752294 29.97247706] ; [ 6.97247706 69.02752294],0
a5,1,0.149497,2.077374,[26  7] ; [52 28],[22.77876106 10.22123894] ; [55.22123894 24.77876106],0
s6,1,0.155798,2.014546,[17 16] ; [52 27],[20.33035714 12.66964286] ; [48.66964286 30.33035714],0
p4,1,0.169999,1.882951,[ 9 24] ; [32 46],[12.18918919 20.81081081] ; [28.81081081 49.18918919],0
u3,1,0.200761,1.636829,[3 5] ; [20 12],[4.6 3.4] ; [18.4 13.6],0
s2,1,0.220964,1.498102,[14 19] ; [43 35],[16.94594595 16.05405405] ; [40.05405405 37.94594595],0
p8,1,0.230171,1.439803,[ 7 26] ; [26 54],[ 9.63716814 23.36283186] ; [23.36283186 56.63716814],0
a4,1,0.231327,1.432683,[18 14] ; [35 45],[15.14285714 16.85714286] ; [37.85714286 42.14285714],0
d5,1,0.24919,1.32784,[25  7] ; [53 26],[22.48648649  9.51351351] ; [55.51351351 23.48648649],0
v1,1,0.278569,1.174056,[13 20] ; [39 38],[15.6 17.4] ; [36.4 40.6],0
b2,1,0.284198,1.146903,[ 6 16] ; [21 31],[ 8.02702703 13.97297297] ; [18.97297297 33.02702703],0
b3,1,0.284198,1.146903,[ 6 16] ; [21 31],[ 8.02702703 13.97297297] ; [18.97297297 33.02702703],0
n2,1,0.289034,1.124118,[12  3] ; [22  2],[13.07692308  1.92307692] ; [20.92307692  3.07692308],0
a1,1,0.294561,1.098657,[ 4 29] ; [ 5 75],[ 2.62831858 30.37168142] ; [ 6.37168142 73.62831858],0
p1,1,0.315224,1.008661,[ 5 28] ; [ 7 73],[ 3.50442478 29.49557522] ; [ 8.49557522 71.50442478],0
b1,1,0.339749,0.911379,[16 17] ; [31 49],[13.72566372 19.27433628] ; [33.27433628 46.72566372],0
b4,1,0.339749,0.911379,[17 16] ; [49 31],[19.27433628 13.72566372] ; [46.72566372 33.27433628],0
d2,1,0.362382,0.829621,[17 15] ; [34 44],[14.83636364 17.16363636] ; [36.16363636 41.83636364],0
d1,1,0.431075,0.619926,[20 13] ; [42 38],[18.10619469 14.89380531] ; [43.89380531 36.10619469],0
p3,1,0.439846,0.596684,[10 23] ; [30 49],[11.78571429 21.21428571] ; [28.21428571 50.78571429],0
d3,1,0.470485,0.520837,[21 11] ; [46 33],[19.31531532 12.68468468] ; [47.68468468 31.31531532],0
u4,1,0.487653,0.481701,[ 1 32] ; [ 5 75],[ 1.75221239 31.24778761] ; [ 4.24778761 75.75221239],0
p7,1,0.494579,0.46655,[14 19] ; [27 49],[12.41284404 20.58715596] ; [28.58715596 47.41284404],0
d4,1,0.516436,0.421006,[25  7] ; [57 22],[23.63963964  8.36036036] ; [58.36036036 20.63963964],0
r1,1,0.535197,0.384514,[22 11] ; [58 22],[23.36283186  9.63716814] ; [56.63716814 23.36283186],0
v3,1,0.631228,0.230399,[10 20] ; [28 45],[11.06796117 18.93203883] ; [26.93203883 46.06796117],0
s4,1,0.637688,0.221778,[ 9 24] ; [18 60],[ 8.02702703 24.97297297] ; [18.97297297 59.02702703],0
n1,1,0.648474,0.207829,[7 8] ; [13 11],[7.69230769 7.30769231] ; [12.30769231 11.69230769],0
a6,1,0.816547,0.053819,[21 11] ; [50 29],[20.46846847 11.53153153] ; [50.53153153 28.46846847],0
s7,1,0.866729,0.028162,[14 16] ; [35 43],[13.61111111 16.38888889] ; [35.38888889 42.61111111],0
u1,1,0.88464,0.021051,[ 5 28] ; [13 67],[ 5.25663717 27.74336283] ; [12.74336283 67.25663717],0
s5,1,0.913821,0.011712,[ 9 21] ; [23 51],[ 9.23076923 20.76923077] ; [22.76923077 51.23076923],0
r2,1,0.916545,0.01098,[29  3] ; [73  7],[29.14285714  2.85714286] ; [72.85714286  7.14285714],0
v2,1,0.921655,0.009673,[17 15] ; [39 33],[17.23076923 14.76923077] ; [38.76923077 33.23076923],0
p6,1,0.940038,0.005658,[ 9 24] ; [21 58],[ 8.83928571 24.16071429] ; [21.16071429 57.83928571],0
s3,1,0.957321,0.002864,[17 15] ; [41 37],[16.87272727 15.12727273] ; [41.12727273 36.87272727],0
