Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,32.9,[231  51] ; [49 45],[210.  72.] ; [70. 24.],1
p9,1,3.9e-05,16.916599,[234  45] ; [60 34],[219.90884718  59.09115282] ; [74.09115282 19.90884718],1
p2,1,8.4e-05,15.471914,[235  48] ; [62 35],[221.18684211  61.81315789] ; [75.81315789 21.18684211],1
n6,1,0.000687,11.523695,[243  41] ; [68 29],[231.82152231  52.17847769] ; [79.17847769 17.82152231],1
n5,1,0.00218,9.391237,[196  85] ; [51 46],[183.61640212  97.38359788] ; [63.38359788 33.61640212],0
p8,1,0.00225,9.333452,[142 138] ; [31 64],[129.17333333 150.82666667] ; [43.82666667 51.17333333],0
n4,1,0.003645,8.452675,[213  70] ; [58 39],[201.82368421  81.17631579] ; [69.17631579 27.82368421],0
b1,1,0.00926,6.771973,[101 183] ; [49 48],[111.81102362 172.18897638] ; [38.18897638 58.81102362],0
p7,1,0.017256,5.670181,[174 103] ; [47 49],[164.12064343 112.87935657] ; [56.87935657 39.12064343],0
r3,1,0.03429,4.480197,[280   4] ; [91  5],[277.27368421   6.72631579] ; [93.72631579  2.27368421],0
n1,1,0.056663,3.632462,[19 47] ; [18 20],[23.48076923 42.51923077] ; [13.51923077 24.48076923],0
a6,1,0.059726,3.544982,[203  80] ; [59 37],[195.63588391  87.36411609] ; [66.36411609 29.63588391],0
d2,1,0.060296,3.529216,[122 161] ; [52 44],[129.92612137 153.07387863] ; [44.07387863 51.92612137],0
b5,1,0.108724,2.572678,[152 132] ; [61 36],[158.77165354 125.22834646] ; [54.22834646 42.77165354],0
s4,1,0.113357,2.50679,[ 46 233] ; [23 74],[ 51.19946809 227.80053191] ; [17.80053191 79.19946809],0
u3,1,0.153654,2.035592,[50 45] ; [19  9],[53.29268293 41.70731707] ; [15.70731707 12.29268293],0
p4,1,0.19077,1.711663,[149 132] ; [43 52],[143.4893617 137.5106383] ; [48.5106383 46.4893617],0
p3,1,0.238132,1.391618,[124 158] ; [36 61],[119.05013193 162.94986807] ; [40.94986807 56.05013193],0
p5,1,0.255546,1.292728,[ 25 258] ; [ 5 91],[ 22.40105541 260.59894459] ; [ 7.59894459 88.40105541],0
s1,1,0.274231,1.195459,[ 10 269] ; [ 6 91],[ 11.87234043 267.12765957] ; [ 4.12765957 92.87234043],0
v2,1,0.290416,1.117692,[119 152] ; [35 58],[114.65384615 156.34615385] ; [39.34615385 53.65384615],0
r2,1,0.33293,0.937467,[271  12] ; [94  2],[272.54617414  10.45382586] ; [92.45382586  3.54617414],0
v3,1,0.346578,0.885948,[ 75 202] ; [29 61],[ 78.49591281 198.50408719] ; [25.50408719 64.49591281],0
d3,1,0.361529,0.832574,[196  87] ; [61 34],[192.41005291  90.58994709] ; [64.58994709 30.41005291],0
s8,1,0.429922,0.623034,[106 177] ; [32 65],[102.77368421 180.22631579] ; [35.22631579 61.77368421],0
v4,1,0.462983,0.538673,[274  10] ; [91  5],[272.78947368  11.21052632] ; [92.21052632  3.78947368],0
u1,1,0.464662,0.534643,[ 41 243] ; [17 80],[ 43.2335958 240.7664042] ; [14.7664042 82.2335958],0
a8,1,0.497081,0.461163,[ 34 231] ; [ 9 80],[ 32.18926554 232.81073446] ; [10.81073446 78.18926554],0
d5,1,0.512287,0.429392,[218  66] ; [76 19],[220.3060686  63.6939314] ; [73.6939314 21.3060686],0
p1,1,0.536609,0.381861,[ 18 263] ; [ 8 89],[ 19.32804233 261.67195767] ; [ 6.67195767 90.32804233],0
a5,1,0.54885,0.359382,[196  87] ; [64 33],[193.63157895  89.36842105] ; [66.36842105 30.63157895],0
a4,1,0.560048,0.339621,[113 170] ; [42 55],[115.43421053 167.56578947] ; [39.56578947 57.43421053],0
s7,1,0.56183,0.336545,[120 153] ; [36 53],[117.64640884 155.35359116] ; [38.35359116 50.64640884],0
r1,1,0.571148,0.320766,[232  51] ; [77 20],[230.12368421  52.87631579] ; [78.87631579 18.12368421],0
n2,1,0.602398,0.271394,[50 17] ; [28 12],[48.8411215 18.1588785] ; [29.1588785 10.8411215],0
a1,1,0.620455,0.245229,[ 12 272] ; [ 3 94],[ 11.18110236 272.81889764] ; [ 3.81889764 93.18110236],0
a2,1,0.637363,0.222208,[ 58 226] ; [22 75],[ 59.63254593 224.36745407] ; [20.36745407 76.63254593],0
a3,1,0.678356,0.171982,[189  94] ; [67 30],[190.65263158  92.34736842] ; [65.34736842 31.65263158],0
p6,1,0.702556,0.145826,[ 86 196] ; [27 68],[ 84.52519894 197.47480106] ; [28.47480106 66.52519894],0
b2,1,0.709185,0.139093,[ 48 111] ; [14 37],[ 46.94285714 112.05714286] ; [15.05714286 35.94285714],0
b3,1,0.709185,0.139093,[ 48 111] ; [14 37],[ 46.94285714 112.05714286] ; [15.05714286 35.94285714],0
a7,1,0.711045,0.137235,[206  77] ; [68 28],[204.59630607  78.40369393] ; [69.40369393 26.59630607],0
u4,1,0.753288,0.098789,[  2 282] ; [ 1 96],[  2.23622047 281.76377953] ; [ 0.76377953 96.23622047],0
d1,1,0.759045,0.094086,[153 131] ; [54 43],[154.2992126 129.7007874] ; [52.7007874 44.2992126],0
b4,1,0.767269,0.087586,[162 122] ; [57 40],[163.24409449 120.75590551] ; [55.75590551 41.24409449],0
s2,1,0.770213,0.08532,[126 156] ; [45 52],[127.2348285 154.7651715] ; [43.7651715 53.2348285],0
n3,1,0.791704,0.069748,[53 15] ; [28  9],[52.45714286 15.54285714] ; [28.54285714  8.45714286],0
s6,1,0.816742,0.053702,[175 102] ; [60 37],[174.05080214 102.94919786] ; [60.94919786 36.05080214],0
d4,1,0.848665,0.036413,[226  57] ; [75 20],[225.35185185  57.64814815] ; [75.64814815 19.35185185],0
s5,1,0.867785,0.027713,[ 80 194] ; [28 65],[ 80.63215259 193.36784741] ; [27.36784741 65.63215259],0
s3,1,0.98388,0.000408,[152 128] ; [52 44],[151.91489362 128.08510638] ; [52.08510638 43.91489362],0
u2,1,0.988915,0.000193,[52 42] ; [16 13],[51.96747967 42.03252033] ; [16.03252033 12.96747967],0
