Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a2,1,1.1e-05,19.362092,[4 4] ; [ 1 47],[0.71428571 7.28571429] ; [ 4.28571429 43.71428571],1
b3,1,0.000485,12.173118,[5 2] ; [ 3 26],[1.55555556 5.44444444] ; [ 6.44444444 22.55555556],1
b2,1,0.000485,12.173118,[5 2] ; [ 3 26],[1.55555556 5.44444444] ; [ 6.44444444 22.55555556],1
u1,1,0.002206,9.369935,[3 5] ; [ 2 46],[0.71428571 7.28571429] ; [ 4.28571429 43.71428571],0
d2,1,0.005055,7.859649,[6 2] ; [12 36],[2.57142857 5.42857143] ; [15.42857143 32.57142857],0
p1,1,0.007697,7.102725,[2 6] ; [ 1 47],[0.42857143 7.57142857] ; [ 2.57142857 45.42857143],0
p12,1,0.008452,6.935011,[2 6] ; [ 1 46],[0.43636364 7.56363636] ; [ 2.56363636 44.43636364],0
d1,1,0.013746,6.070461,[5 3] ; [10 38],[2.14285714 5.85714286] ; [12.85714286 35.14285714],0
p6,1,0.020095,5.403648,[5 1] ; [16 31],[2.37735849 3.62264151] ; [18.62264151 28.37735849],0
p8,1,0.033085,4.541364,[7 1] ; [22 25],[4.21818182 3.78181818] ; [24.78181818 22.21818182],0
s1,1,0.03415,4.487179,[2 6] ; [ 2 46],[0.57142857 7.42857143] ; [ 3.42857143 44.57142857],0
p3,1,0.069445,3.296099,[6 2] ; [19 28],[3.63636364 4.36363636] ; [21.36363636 25.63636364],0
a3,1,0.085882,2.949911,[7 1] ; [26 21],[4.8 3.2] ; [28.2 18.8],0
p4,1,0.085882,2.949911,[7 1] ; [26 21],[4.8 3.2] ; [28.2 18.8],0
s2,1,0.101641,2.679602,[1 5] ; [25 23],[2.88888889 3.11111111] ; [23.11111111 24.88888889],0
d3,1,0.112799,2.514564,[6 2] ; [21 26],[3.92727273 4.07272727] ; [23.07272727 23.92727273],0
n5,1,0.11944,2.424648,[7 1] ; [27 19],[5.03703704 2.96296296] ; [28.96296296 17.03703704],0
a4,1,0.147299,2.1,[4 4] ; [12 36],[2.28571429 5.71428571] ; [13.71428571 34.28571429],0
v3,1,0.149109,2.081343,[3 4] ; [ 9 39],[1.52727273 5.47272727] ; [10.47272727 37.52727273],0
a5,1,0.155805,2.014474,[6 2] ; [23 25],[4.14285714 3.85714286] ; [24.85714286 23.14285714],0
d4,1,0.166763,1.911807,[7 1] ; [30 18],[5.28571429 2.71428571] ; [31.71428571 16.28571429],0
v2,1,0.186387,1.74595,[5 2] ; [21 26],[3.37037037 3.62962963] ; [22.62962963 24.37037037],0
p9,1,0.235431,1.407743,[7 1] ; [32 16],[5.57142857 2.42857143] ; [33.42857143 14.57142857],0
v4,1,0.254451,1.298701,[3 3] ; [32 12],[4.2 1.8] ; [30.8 13.2],0
s6,1,0.263813,1.248635,[2 4] ; [27 20],[3.28301887 2.71698113] ; [25.71698113 21.28301887],0
a6,1,0.270289,1.215278,[6 2] ; [26 22],[4.57142857 3.42857143] ; [27.42857143 20.57142857],0
b4,1,0.272464,1.204301,[5 3] ; [20 28],[3.57142857 4.42857143] ; [21.42857143 26.57142857],0
r1,1,0.273218,1.200521,[3 4] ; [11 36],[1.81481481 5.18518519] ; [12.18518519 34.81481481],0
n6,1,0.290028,1.11949,[5 2] ; [23 23],[3.69811321 3.30188679] ; [24.30188679 21.69811321],0
r3,1,0.317854,0.997758,[3 3] ; [33 14],[4.0754717 1.9245283] ; [31.9245283 15.0754717],0
n4,1,0.318269,0.996047,[6 2] ; [27 21],[4.71428571 3.28571429] ; [28.28571429 19.71428571],0
a1,1,0.332483,0.939203,[1 7] ; [ 2 46],[0.42857143 7.57142857] ; [ 2.57142857 45.42857143],0
p10,1,0.34061,0.908135,[6 1] ; [32 15],[4.92592593 2.07407407] ; [33.07407407 13.92592593],0
s3,1,0.357293,0.847385,[2 4] ; [24 21],[3.05882353 2.94117647] ; [22.94117647 22.05882353],0
v1,1,0.430878,0.620456,[4 3] ; [19 27],[3.03773585 3.96226415] ; [19.96226415 26.03773585],0
b5,1,0.494525,0.466667,[6 2] ; [30 18],[5.14285714 2.85714286] ; [30.85714286 17.14285714],0
a7,1,0.512422,0.429119,[5 3] ; [24 24],[4.14285714 3.85714286] ; [24.85714286 23.14285714],0
r2,1,0.646587,0.21023,[4 2] ; [25 19],[3.48 2.52] ; [25.52 18.48],0
n1,1,0.74332,0.10723,[1 3] ; [ 7 14],[1.28 2.72] ; [ 6.72 14.28],0
p2,1,0.757303,0.095496,[6 1] ; [38  9],[5.7037037 1.2962963] ; [38.2962963  8.7037037],0
n3,1,0.791959,0.069573,[2 2] ; [12  9],[2.24 1.76] ; [11.76  9.24],0
b1,1,0.824483,0.049188,[5 3] ; [28 20],[4.71428571 3.28571429] ; [28.28571429 19.71428571],0
s5,1,0.92845,0.008063,[1 4] ; [10 36],[1.07843137 3.92156863] ; [ 9.92156863 36.07843137],0
n2,1,0.95925,0.002611,[3 1] ; [16  5],[3.04 0.96] ; [15.96  5.04],0
s8,1,0.974159,0.001049,[2 5] ; [14 34],[2.03636364 4.96363636] ; [13.96363636 34.03636364],0
s7,1,0.974767,0.001,[3 4] ; [19 26],[2.96153846 4.03846154] ; [19.03846154 25.96153846],0
