Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,79.393883,[ 54 123] ; [263 109],[102.20218579  74.79781421] ; [214.79781421 157.20218579],1
p6,1,0.0,45.416681,[ 33 144] ; [181 191],[ 68.99453552 108.00546448] ; [145.00546448 226.99453552],1
p3,1,0.0,37.665664,[ 60 118] ; [231 144],[93.66726944 84.33273056] ; [197.33273056 177.66726944],1
p4,1,0.0,30.32489,[91 88] ; [279  96],[119.54873646  59.45126354] ; [250.45126354 124.54873646],1
p10,1,0.00066,11.599881,[135  42] ; [327  46],[148.68  28.32] ; [313.32  59.68],1
a3,1,0.000918,10.985348,[112  67] ; [284  89],[128.41304348  50.58695652] ; [267.58695652 105.41304348],1
s7,1,0.001062,10.715912,[ 63 105] ; [189 169],[80.48669202 87.51330798] ; [171.51330798 186.48669202],0
p11,1,0.001105,10.64253,[131  48] ; [318  57],[145.07400722  33.92599278] ; [303.92599278  71.07400722],0
a2,1,0.00124,10.429707,[ 35 144] ; [123 252],[ 51.05054152 127.94945848] ; [106.94945848 268.05054152],0
v4,1,0.001721,9.826046,[167  12] ; [364   6],[173.13114754   5.86885246] ; [357.86885246  12.13114754],0
s6,1,0.004375,8.121127,[106  71] ; [263 102],[120.50369004  56.49630996] ; [248.49630996 116.50369004],0
s8,1,0.005561,7.687449,[ 62 115] ; [177 195],[77.05464481 99.94535519] ; [161.94535519 210.05464481],0
a1,1,0.005921,7.57417,[  1 178] ; [ 20 355],[  6.78519856 172.21480144] ; [ 14.21480144 360.78519856],0
p9,1,0.006659,7.362751,[144  32] ; [335  37],[153.83941606  22.16058394] ; [325.16058394  46.83941606],0
s5,1,0.007035,7.264005,[ 41 128] ; [131 233],[ 54.53658537 114.46341463] ; [117.46341463 246.53658537],0
p5,1,0.01074,6.507791,[ 12 167] ; [ 53 321],[ 21.039783 157.960217] ; [ 43.960217 330.039783],0
n5,1,0.018622,5.536684,[119  59] ; [284  88],[130.42545455  47.57454545] ; [272.57454545  99.42545455],0
n6,1,0.02068,5.353549,[144  35] ; [326  45],[152.96363636  26.03636364] ; [317.03636364  53.96363636],0
a8,1,0.021704,5.269368,[ 16 146] ; [ 59 273],[ 24.5951417 137.4048583] ; [ 50.4048583 281.5951417],0
n4,1,0.022771,5.185875,[127  52] ; [298  76],[137.56781193  41.43218807] ; [287.43218807  86.56781193],0
r1,1,0.026083,4.950522,[139  39] ; [317  53],[148.11678832  29.88321168] ; [307.88321168  62.11678832],0
a5,1,0.028741,4.783035,[124  55] ; [292  83],[134.41155235  44.58844765] ; [281.58844765  93.41155235],0
r4,1,0.038141,4.298729,[159  20] ; [352  23],[165.10649819  13.89350181] ; [345.89350181  29.10649819],0
u1,1,0.045505,3.999824,[ 30 149] ; [ 91 284],[ 39.09566787 139.90433213] ; [ 81.90433213 293.09566787],0
v3,1,0.054831,3.687233,[ 57 117] ; [149 211],[ 67.12359551 106.87640449] ; [138.87640449 221.12359551],0
n3,1,0.063122,3.453384,[34 15] ; [53 10],[38.0625 10.9375] ; [48.9375 14.0625],0
a4,1,0.067733,3.337129,[ 69 110] ; [175 199],[ 78.9801085 100.0198915] ; [165.0198915 208.9801085],0
b1,1,0.084521,2.975756,[ 53 126] ; [139 236],[ 62.03610108 116.96389892] ; [129.96389892 245.03610108],0
a6,1,0.117955,2.444263,[131  48] ; [296  78],[138.21518987  40.78481013] ; [288.78481013  85.21518987],0
v2,1,0.15366,2.035532,[94 79] ; [219 141],[101.59287054  71.40712946] ; [211.40712946 148.59287054],0
r2,1,0.155207,2.020314,[167  11] ; [356  13],[170.19012797   7.80987203] ; [352.80987203  16.19012797],0
v1,1,0.157357,1.999445,[89 84] ; [212 154],[96.61038961 76.38961039] ; [204.38961039 161.61038961],0
b4,1,0.2153,1.535426,[113  66] ; [216 159],[106.30144404  72.69855596] ; [222.69855596 152.30144404],0
s1,1,0.225234,1.470711,[  7 169] ; [  8 362],[  4.83516484 171.16483516] ; [ 10.16483516 359.83516484],0
r3,1,0.232084,1.428045,[171   7] ; [363   8],[173.13661202   4.86338798] ; [360.86338798  10.13661202],0
p12,1,0.315703,1.006664,[ 12 165] ; [ 35 340],[ 15.07065217 161.92934783] ; [ 31.92934783 343.07065217],0
n1,1,0.328225,0.955888,[19 29] ; [19 43],[16.58181818 31.41818182] ; [21.41818182 40.58181818],0
