Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.1e-05,19.402614,[1 4] ; [80  9],[4.30851064 0.69148936] ; [76.69148936 12.30851064],1
d3,1,0.002993,8.81176,[1 4] ; [70 19],[3.77659574 1.22340426] ; [67.22340426 21.77659574],0
s8,1,0.036063,4.394122,[1 4] ; [59 30],[3.19148936 1.80851064] ; [56.80851064 32.19148936],0
a7,1,0.036063,4.394122,[1 4] ; [59 30],[3.19148936 1.80851064] ; [56.80851064 32.19148936],0
p9,1,0.046871,3.950029,[3 2] ; [78  9],[4.40217391 0.59782609] ; [76.59782609 10.40217391],0
b5,1,0.048678,3.886418,[1 4] ; [57 32],[3.08510638 1.91489362] ; [54.91489362 34.08510638],0
r1,1,0.057517,3.607569,[2 3] ; [69 20],[3.77659574 1.22340426] ; [67.22340426 21.77659574],0
b1,1,0.072467,3.226248,[4 1] ; [35 54],[2.07446809 2.92553191] ; [36.92553191 52.07446809],0
s2,1,0.105119,2.626116,[3 2] ; [77 12],[4.25531915 0.74468085] ; [75.74468085 13.25531915],0
a5,1,0.112178,2.523271,[2 3] ; [65 24],[3.56382979 1.43617021] ; [63.43617021 25.56382979],0
p10,1,0.13572,2.225822,[3 2] ; [75 13],[4.19354839 0.80645161] ; [73.80645161 14.19354839],0
n2,1,0.186449,1.745455,[1 1] ; [19  3],[1.66666667 0.33333333] ; [18.33333333  3.66666667],0
d5,1,0.190727,1.711996,[3 2] ; [74 15],[4.09574468 0.90425532] ; [72.90425532 16.09574468],0
n6,1,0.190727,1.711996,[3 2] ; [74 15],[4.09574468 0.90425532] ; [72.90425532 16.09574468],0
s1,1,0.204901,1.607092,[1 4] ; [ 5 83],[0.32258065 4.67741935] ; [ 5.67741935 82.32258065],0
r3,1,0.204901,1.607092,[4 1] ; [83  5],[4.67741935 0.32258065] ; [82.32258065  5.67741935],0
v4,1,0.204901,1.607092,[4 1] ; [83  5],[4.67741935 0.32258065] ; [82.32258065  5.67741935],0
d4,1,0.22331,1.482975,[3 2] ; [73 16],[4.04255319 0.95744681] ; [71.95744681 17.04255319],0
v2,1,0.236338,1.402308,[1 4] ; [41 46],[2.2826087 2.7173913] ; [39.7173913 47.2826087],0
p3,1,0.253947,1.301461,[4 1] ; [48 41],[2.76595745 2.23404255] ; [49.23404255 39.76595745],0
s5,1,0.257925,1.279862,[2 3] ; [54 29],[3.18181818 1.81818182] ; [52.81818182 30.18181818],0
a3,1,0.32991,0.949253,[3 2] ; [70 19],[3.88297872 1.11702128] ; [69.11702128 19.88297872],0
p8,1,0.357511,0.846619,[4 1] ; [51 35],[3.02197802 1.97802198] ; [51.97802198 34.02197802],0
p4,1,0.412652,0.671147,[4 1] ; [55 34],[3.13829787 1.86170213] ; [55.86170213 33.13829787],0
s6,1,0.429039,0.625423,[4 1] ; [79  8],[4.51086957 0.48913043] ; [78.48913043  8.51086957],0
p1,1,0.553036,0.351906,[1 4] ; [10 79],[0.58510638 4.41489362] ; [10.41489362 78.58510638],0
n5,1,0.589279,0.291472,[4 1] ; [61 28],[3.45744681 1.54255319] ; [61.54255319 27.45744681],0
n4,1,0.589279,0.291472,[4 1] ; [61 28],[3.45744681 1.54255319] ; [61.54255319 27.45744681],0
n1,1,0.601508,0.272727,[1 1] ; [ 7 15],[0.66666667 1.33333333] ; [ 7.33333333 14.66666667],0
p6,1,0.610056,0.260093,[2 3] ; [45 42],[2.55434783 2.44565217] ; [44.44565217 42.55434783],0
v1,1,0.681217,0.168759,[2 3] ; [44 45],[2.44680851 2.55319149] ; [43.55319149 45.44680851],0
p7,1,0.758698,0.094366,[4 1] ; [62 22],[3.70786517 1.29213483] ; [62.29213483 21.70786517],0
p2,1,0.799746,0.064351,[4 1] ; [75 14],[4.20212766 0.79787234] ; [74.79787234 14.20212766],0
p11,1,0.853411,0.034139,[4 1] ; [68 21],[3.82978723 1.17021277] ; [68.17021277 20.82978723],0
a6,1,0.854669,0.033549,[3 2] ; [57 32],[3.19148936 1.80851064] ; [56.80851064 32.19148936],0
s3,1,0.855473,0.033175,[4 1] ; [74 15],[4.14893617 0.85106383] ; [73.85106383 15.14893617],0
