Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,6.7e-05,15.884838,[5 5] ; [78  6],[8.82978723 1.17021277] ; [74.17021277  9.82978723],1
p3,1,0.00027,13.27093,[4 6] ; [73 11],[8.19148936 1.80851064] ; [68.80851064 15.19148936],1
s3,1,0.003795,8.37926,[2 8] ; [55 27],[6.19565217 3.80434783] ; [50.80434783 31.19565217],0
p6,1,0.007559,7.134996,[2 7] ; [56 27],[5.67391304 3.32608696] ; [52.32608696 30.67391304],0
s2,1,0.008479,6.929416,[2 8] ; [52 30],[5.86956522 4.13043478] ; [48.13043478 33.86956522],0
s8,1,0.074739,3.175751,[3 6] ; [53 30],[5.47826087 3.52173913] ; [50.52173913 32.47826087],0
v3,1,0.099702,2.710304,[3 7] ; [46 34],[5.44444444 4.55555556] ; [43.55555556 36.44444444],0
d1,1,0.115175,2.481739,[4 6] ; [55 29],[6.27659574 3.72340426] ; [52.72340426 31.27659574],0
b1,1,0.127028,2.328448,[2 8] ; [38 46],[4.25531915 5.74468085] ; [35.74468085 48.25531915],0
d2,1,0.138399,2.195668,[3 7] ; [46 38],[5.21276596 4.78723404] ; [43.78723404 40.21276596],0
v2,1,0.170904,1.875,[4 6] ; [50 30],[6. 4.] ; [48. 32.],0
p7,1,0.184034,1.764743,[6 3] ; [70 13],[7.43478261 1.56521739] ; [68.56521739 14.43478261],0
s6,1,0.184264,1.762893,[6 3] ; [65 12],[7.43023256 1.56976744] ; [63.56976744 13.43023256],0
u2,1,0.212296,1.555699,[1 2] ; [12  5],[1.95 1.05] ; [11.05  5.95],0
u3,1,0.212296,1.555699,[1 2] ; [12  5],[1.95 1.05] ; [11.05  5.95],0
p8,1,0.218894,1.51161,[6 3] ; [70 14],[7.35483871 1.64516129] ; [68.64516129 15.35483871],0
a5,1,0.233427,1.419858,[9 1] ; [61 23],[7.44680851 2.55319149] ; [62.55319149 21.44680851],0
r4,1,0.235908,1.40488,[8 2] ; [77  7],[9.04255319 0.95744681] ; [75.95744681  8.04255319],0
s7,1,0.260241,1.267477,[5 4] ; [58 21],[6.44318182 2.55681818] ; [56.55681818 22.44318182],0
p12,1,0.289089,1.123857,[1 8] ; [23 61],[2.32258065 6.67741935] ; [21.67741935 62.32258065],0
b5,1,0.30265,1.06248,[6 4] ; [36 48],[4.46808511 5.53191489] ; [37.53191489 46.46808511],0
r1,1,0.310071,1.030375,[7 3] ; [69 14],[8.17204301 1.82795699] ; [67.82795699 15.17204301],0
v4,1,0.353218,0.861863,[9 1] ; [79  3],[9.56521739 0.43478261] ; [78.43478261  3.56521739],0
a4,1,0.358329,0.84374,[3 7] ; [38 46],[4.36170213 5.63829787] ; [36.63829787 47.36170213],0
b4,1,0.358329,0.84374,[7 3] ; [46 38],[5.63829787 4.36170213] ; [47.36170213 36.63829787],0
v1,1,0.362419,0.829493,[5 4] ; [57 24],[6.2 2.8] ; [55.8 25.2],0
a8,1,0.422926,0.64217,[2 6] ; [11 66],[1.22352941 6.77647059] ; [11.77647059 65.22352941],0
a2,1,0.436675,0.605006,[1 9] ; [17 67],[1.91489362 8.08510638] ; [16.08510638 67.91489362],0
a3,1,0.475828,0.508411,[7 3] ; [67 17],[7.87234043 2.12765957] ; [66.12765957 17.87234043],0
r3,1,0.499984,0.454971,[9 1] ; [78  4],[9.45652174 0.54347826] ; [77.54347826  4.45652174],0
d3,1,0.507571,0.43907,[6 4] ; [59 25],[6.91489362 3.08510638] ; [58.08510638 25.91489362],0
a6,1,0.513981,0.425953,[5 5] ; [51 33],[5.95744681 4.04255319] ; [50.04255319 33.95744681],0
a7,1,0.518967,0.415947,[8 2] ; [59 25],[7.12765957 2.87234043] ; [59.87234043 24.12765957],0
n1,1,0.531168,0.392157,[1 2] ; [9 8],[1.5 1.5] ; [8.5 8.5],0
p10,1,0.549372,0.358443,[8 1] ; [79  5],[8.41935484 0.58064516] ; [78.58064516  5.41935484],0
s1,1,0.620615,0.245004,[1 9] ; [ 5 79],[0.63829787 9.36170213] ; [ 5.36170213 78.63829787],0
n6,1,0.620615,0.245004,[9 1] ; [79  5],[9.36170213 0.63829787] ; [78.63829787  5.36170213],0
b2,1,0.660497,0.192921,[4 3] ; [30 32],[3.44927536 3.55072464] ; [30.55072464 31.44927536],0
b3,1,0.660497,0.192921,[4 3] ; [30 32],[3.44927536 3.55072464] ; [30.55072464 31.44927536],0
p11,1,0.710549,0.137729,[9 1] ; [72 12],[8.61702128 1.38297872] ; [72.38297872 11.61702128],0
d4,1,0.710549,0.137729,[9 1] ; [72 12],[8.61702128 1.38297872] ; [72.38297872 11.61702128],0
n2,1,0.717688,0.130719,[2 1] ; [13  4],[2.25 0.75] ; [12.75  4.25],0
r2,1,0.786578,0.073309,[8 1] ; [76  7],[8.2173913 0.7826087] ; [75.7826087  7.2173913],0
d5,1,0.942319,0.005235,[8 2] ; [68 16],[8.08510638 1.91489362] ; [67.91489362 16.08510638],0
n4,1,0.944789,0.004796,[9 1] ; [75  9],[8.93617021 1.06382979] ; [75.06382979  8.93617021],0
s5,1,1.0,0.0,[6 3] ; [50 25],[6. 3.] ; [50. 25.],0
