Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,30.724931,[63 12] ; [ 8 21],[51.20192308 23.79807692] ; [19.79807692  9.20192308],1
p9,1,0.0001,15.144478,[67  8] ; [16 13],[59.85576923 15.14423077] ; [23.14423077  5.85576923],1
p10,1,0.001248,10.417169,[62 13] ; [15 14],[55.52884615 19.47115385] ; [21.47115385  7.52884615],0
p11,1,0.003688,8.431571,[62 13] ; [16 13],[56.25 18.75] ; [21.75  7.25],0
v2,1,0.025075,5.01872,[38 35] ; [ 8 21],[32.92156863 40.07843137] ; [13.07843137 15.92156863],0
v3,1,0.026505,4.92278,[24 50] ; [ 3 25],[19.58823529 54.41176471] ; [ 7.41176471 20.58823529],0
a1,1,0.052759,3.751522,[ 4 71] ; [ 5 24],[ 6.49038462 68.50961538] ; [ 2.50961538 26.49038462],0
n6,1,0.062061,3.481436,[63 11] ; [20  9],[59.63106796 14.36893204] ; [23.36893204  5.63106796],0
v1,1,0.06416,3.426438,[40 33] ; [10 19],[35.78431373 37.21568627] ; [14.21568627 14.78431373],0
r2,1,0.069101,3.304257,[60 13] ; [19 10],[56.53921569 16.46078431] ; [22.46078431  6.53921569],0
a3,1,0.083858,2.988506,[50 25] ; [14 15],[46.15384615 28.84615385] ; [17.84615385 11.15384615],0
p5,1,0.095158,2.784884,[15 58] ; [ 2 27],[12.16666667 60.83333333] ; [ 4.83333333 24.16666667],0
d3,1,0.098113,2.735947,[41 34] ; [21  8],[44.71153846 30.28846154] ; [17.28846154 11.71153846],0
u3,1,0.10247,2.666667,[10 15] ; [10  5],[12.5 12.5] ; [7.5 7.5],0
a5,1,0.110435,2.547989,[49 26] ; [14 15],[45.43269231 29.56730769] ; [17.56730769 11.43269231],0
r4,1,0.122176,2.389203,[51 24] ; [15 14],[47.59615385 27.40384615] ; [18.40384615 10.59615385],0
b2,1,0.134499,2.239789,[19 32] ; [ 3 14],[16.5 34.5] ; [ 5.5 11.5],0
b3,1,0.134499,2.239789,[19 32] ; [ 3 14],[16.5 34.5] ; [ 5.5 11.5],0
s2,1,0.158837,1.985261,[35 40] ; [18 11],[38.22115385 36.77884615] ; [14.77884615 14.22115385],0
p8,1,0.15988,1.975357,[42 32] ; [12 17],[38.7961165 35.2038835] ; [15.2038835 13.7961165],0
s7,1,0.179175,1.80445,[35 34] ; [10 18],[32.01030928 36.98969072] ; [12.98969072 15.01030928],0
p6,1,0.193378,1.691695,[36 38] ; [10 19],[33.04854369 40.95145631] ; [12.95145631 16.04854369],0
p7,1,0.201582,1.630875,[47 28] ; [22  7],[49.75961538 25.24038462] ; [19.24038462  9.75961538],0
d5,1,0.203504,1.617045,[56 19] ; [18 11],[53.36538462 21.63461538] ; [20.63461538  8.36538462],0
s5,1,0.240995,1.374765,[18 51] ; [11 18],[20.41836735 48.58163265] ; [ 8.58163265 20.41836735],0
u2,1,0.250616,1.319865,[12 13] ; [10  5],[13.75 11.25] ; [8.25 6.75],0
p2,1,0.265031,1.242288,[63 11] ; [22  7],[61.06796117 12.93203883] ; [23.93203883  5.06796117],0
a8,1,0.315526,1.007403,[10 61] ; [ 2 27],[ 8.52 62.48] ; [ 3.48 25.52],0
