Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,5e-06,20.736606,[22  2] ; [ 9 21],[13.77777778 10.22222222] ; [17.22222222 12.77777778],1
d2,1,0.000155,14.315586,[18  6] ; [ 7 23],[11.11111111 12.88888889] ; [13.88888889 16.11111111],1
d5,1,0.000247,13.433388,[23  1] ; [15 15],[16.88888889  7.11111111] ; [21.11111111  8.88888889],1
p7,1,0.000497,12.126359,[ 6 17] ; [21  7],[12.17647059 10.82352941] ; [14.82352941 13.17647059],1
p4,1,0.005562,7.687059,[ 4 20] ; [16 14],[ 8.88888889 15.11111111] ; [11.11111111 18.88888889],0
r2,1,0.010396,6.565736,[19  3] ; [14 13],[14.81632653  7.18367347] ; [18.18367347  8.81632653],0
p8,1,0.013648,6.083125,[ 3 20] ; [13 16],[ 7.07692308 15.92307692] ; [ 8.92307692 20.07692308],0
v2,1,0.034682,4.460783,[13 10] ; [ 8 21],[ 9.28846154 13.71153846] ; [11.71153846 17.28846154],0
p2,1,0.05093,3.810582,[13 11] ; [23  6],[16.30188679  7.69811321] ; [19.69811321  9.30188679],0
a7,1,0.05132,3.797802,[16  8] ; [12 18],[12.44444444 11.55555556] ; [15.55555556 14.44444444],0
a2,1,0.093025,2.821224,[ 4 20] ; [ 1 29],[ 2.22222222 21.77777778] ; [ 2.77777778 27.22222222],0
n2,1,0.147501,2.097902,[7 6] ; [9 2],[8.66666667 4.33333333] ; [7.33333333 3.66666667],0
r1,1,0.149477,2.077583,[10 14] ; [ 7 23],[ 7.55555556 16.44444444] ; [ 9.44444444 20.55555556],0
p6,1,0.167578,1.904476,[ 4 19] ; [10 19],[ 6.19230769 16.80769231] ; [ 7.80769231 21.19230769],0
p3,1,0.194421,1.683791,[ 6 17] ; [13 17],[ 8.24528302 14.75471698] ; [10.75471698 19.24528302],0
a3,1,0.210083,1.570854,[18  6] ; [17 12],[15.8490566  8.1509434] ; [19.1509434  9.8490566],0
v3,1,0.299274,1.077426,[ 6 18] ; [ 4 25],[ 4.52830189 19.47169811] ; [ 5.47169811 23.52830189],0
p11,1,0.349128,0.876623,[13 11] ; [20 10],[14.66666667  9.33333333] ; [18.33333333 11.66666667],0
b2,1,0.353235,0.861801,[5 9] ; [ 5 18],[ 3.78378378 10.21621622] ; [ 6.21621622 16.78378378],0
b3,1,0.353235,0.861801,[5 9] ; [ 5 18],[ 3.78378378 10.21621622] ; [ 6.21621622 16.78378378],0
a8,1,0.357193,0.847739,[ 1 23] ; [ 3 24],[ 1.88235294 22.11764706] ; [ 2.11764706 24.88235294],0
b1,1,0.393882,0.726923,[10 14] ; [16 14],[11.55555556 12.44444444] ; [14.44444444 15.55555556],0
b4,1,0.393882,0.726923,[14 10] ; [14 16],[12.44444444 11.55555556] ; [15.55555556 14.44444444],0
p9,1,0.394366,0.725437,[15  9] ; [22  8],[16.44444444  7.55555556] ; [20.55555556  9.44444444],0
p1,1,0.443637,0.586858,[ 2 22] ; [ 1 28],[ 1.35849057 22.64150943] ; [ 1.64150943 27.35849057],0
r3,1,0.454133,0.560316,[18  6] ; [19 10],[16.75471698  7.24528302] ; [20.24528302  8.75471698],0
s6,1,0.495731,0.464062,[13 11] ; [19 11],[14.22222222  9.77777778] ; [17.77777778 12.22222222],0
p5,1,0.513589,0.426748,[ 3 21] ; [ 2 26],[ 2.30769231 21.69230769] ; [ 2.69230769 25.30769231],0
a4,1,0.528612,0.397059,[10 14] ; [10 20],[ 8.88888889 15.11111111] ; [11.11111111 18.88888889],0
a5,1,0.541691,0.372414,[14 10] ; [15 15],[12.88888889 11.11111111] ; [16.11111111 13.88888889],0
v4,1,0.551764,0.354167,[17  7] ; [17 10],[16.  8.] ; [18.  9.],0
s1,1,0.561276,0.3375,[ 2 22] ; [ 4 26],[ 2.66666667 21.33333333] ; [ 3.33333333 26.66666667],0
s7,1,0.600532,0.274195,[14  9] ; [15 13],[13.07843137  9.92156863] ; [15.92156863 12.07843137],0
a6,1,0.614191,0.254118,[16  8] ; [18 12],[15.11111111  8.88888889] ; [18.88888889 11.11111111],0
u3,1,0.635848,0.224213,[3 3] ; [5 8],[2.52631579 3.47368421] ; [5.47368421 7.52631579],0
v1,1,0.638271,0.221011,[ 9 13] ; [10 19],[ 8.19607843 13.80392157] ; [10.80392157 18.19607843],0
b5,1,0.666643,0.185554,[13 11] ; [18 12],[13.77777778 10.22222222] ; [17.22222222 12.77777778],0
p10,1,0.694696,0.154049,[15  9] ; [16 12],[14.30769231  9.69230769] ; [16.69230769 11.30769231],0
n6,1,0.707304,0.140985,[12 12] ; [16 13],[12.67924528 11.32075472] ; [15.32075472 13.67924528],0
u2,1,0.737316,0.1125,[3 3] ; [7 5],[3.33333333 2.66666667] ; [6.66666667 5.33333333],0
