Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,30.658055,[ 66 181] ; [111 103],[ 94.835141 152.164859] ; [ 82.164859 131.835141],1
v2,1,0.0,28.249251,[107 138] ; [147  68],[135.2826087 109.7173913] ; [118.7173913  96.2826087],1
p2,1,2.5e-05,17.765893,[174  81] ; [189  34],[193.65062762  61.34937238] ; [169.34937238  53.65062762],1
p3,1,6.7e-05,15.895112,[ 77 178] ; [107 116],[ 98.15899582 156.84100418] ; [ 85.84100418 137.15899582],1
n5,1,0.000413,12.474506,[153  98] ; [169  53],[170.87103594  80.12896406] ; [151.12896406  70.87103594],1
p9,1,0.000988,10.850626,[180  70] ; [187  34],[194.79830149  55.20169851] ; [172.20169851  48.79830149],1
s6,1,0.001518,10.056276,[135 117] ; [150  71],[151.83932347 100.16067653] ; [133.16067653  87.83932347],0
s2,1,0.002379,9.231461,[ 98 156] ; [116 105],[114.43368421 139.56631579] ; [ 99.56631579 121.43368421],0
p4,1,0.002403,9.213002,[ 99 152] ; [119 104],[115.43881857 135.56118143] ; [102.56118143 120.43881857],0
v4,1,0.002816,8.923327,[223  31] ; [212  10],[232.12184874  21.87815126] ; [202.87815126  19.12184874],0
p5,1,0.003222,8.677315,[ 10 245] ; [ 24 196],[ 18.25263158 236.74736842] ; [ 15.74736842 204.25263158],0
s8,1,0.003228,8.673811,[ 75 180] ; [ 94 128],[ 90.34591195 164.65408805] ; [ 78.65408805 143.34591195],0
s5,1,0.003788,8.382916,[ 59 190] ; [ 78 139],[ 73.20386266 175.79613734] ; [ 63.79613734 153.20386266],0
p12,1,0.005448,7.724333,[  7 247] ; [ 19 203],[ 13.87394958 240.12605042] ; [ 12.12605042 209.87394958],0
p8,1,0.006344,7.449851,[ 87 165] ; [104 118],[101.5443038 150.4556962] ; [ 89.4556962 132.5443038],0
p7,1,0.007477,7.154539,[109 140] ; [123  96],[123.43589744 125.56410256] ; [108.56410256 110.43589744],0
b3,1,0.007624,7.119754,[ 41 104] ; [60 78],[51.74911661 93.25088339] ; [49.25088339 88.74911661],0
b2,1,0.007624,7.119754,[ 41 104] ; [60 78],[51.74911661 93.25088339] ; [49.25088339 88.74911661],0
a3,1,0.033042,4.543576,[176  79] ; [174  50],[186.3256785  68.6743215] ; [163.6743215  60.3256785],0
r4,1,0.038132,4.299145,[208  47] ; [198  26],[216.13778706  38.86221294] ; [189.86221294  34.13778706],0
p11,1,0.039036,4.259295,[178  77] ; [175  49],[187.92275574  67.07724426] ; [165.07724426  58.92275574],0
a4,1,0.041168,4.169099,[105 149] ; [113 110],[116.08385744 137.91614256] ; [101.91614256 121.08385744],0
b5,1,0.04222,4.126372,[143 112] ; [146  78],[153.85177453 101.14822547] ; [135.14822547  88.85177453],0
s7,1,0.043025,4.094421,[ 88 155] ; [ 97 116],[ 98.58552632 144.41447368] ; [ 86.41447368 126.58552632],0
a5,1,0.045984,3.982189,[180  75] ; [176  48],[189.51983299  65.48016701] ; [166.48016701  57.51983299],0
n4,1,0.05413,3.708697,[171  83] ; [168  55],[180.51572327  73.48427673] ; [158.48427673  64.51572327],0
r2,1,0.055889,3.655358,[224  27] ; [209  13],[229.77378436  21.22621564] ; [203.22621564  18.77378436],0
u3,1,0.064846,3.408888,[38 39] ; [33 17],[43.04724409 33.95275591] ; [27.95275591 22.04724409],0
r1,1,0.070375,3.274254,[196  58] ; [186  36],[203.84033613  50.15966387] ; [178.15966387  43.84033613],0
s1,1,0.085833,2.950834,[ 10 243] ; [  3 217],[  6.95348837 246.04651163] ; [  6.04651163 213.95348837],0
p10,1,0.096262,2.766403,[184  69] ; [176  46],[191.74736842  61.25263158] ; [168.25263158  53.74736842],0
n6,1,0.128146,2.314824,[194  59] ; [182  39],[200.69198312  52.30801688] ; [175.30801688  45.69198312],0
u1,1,0.134813,2.236182,[ 37 218] ; [ 44 180],[ 43.12108559 211.87891441] ; [ 37.87891441 186.12108559],0
r3,1,0.136698,2.214743,[230  24] ; [211  13],[234.33891213  19.66108787] ; [206.66108787  17.33891213],0
a7,1,0.137785,2.202521,[193  62] ; [156  68],[185.79331942  69.20668058] ; [163.20668058  60.79331942],0
a8,1,0.138459,2.195005,[ 26 211] ; [ 32 171],[ 31.24090909 205.75909091] ; [ 26.75909091 176.24090909],0
a2,1,0.150332,2.068877,[ 54 201] ; [ 60 164],[ 60.68893528 194.31106472] ; [ 53.31106472 170.68893528],0
u4,1,0.187662,1.735874,[  2 253] ; [  5 219],[  3.72651357 251.27348643] ; [  3.27348643 220.72651357],0
u2,1,0.20735,1.589834,[42 34] ; [32 16],[45.35483871 30.64516129] ; [28.64516129 19.35483871],0
b4,1,0.21514,1.536498,[161  94] ; [129  95],[154.38413361 100.61586639] ; [135.61586639  88.38413361],0
n2,1,0.219261,1.509199,[51 28] ; [36 12],[54.11811024 24.88188976] ; [32.88188976 15.11811024],0
s4,1,0.223171,1.483861,[ 41 213] ; [ 27 194],[ 36.36210526 217.63789474] ; [ 31.63789474 189.36210526],0
d1,1,0.235136,1.409523,[161  94] ; [153  71],[167.16075157  87.83924843] ; [146.83924843  77.16075157],0
p1,1,0.352181,0.865583,[ 11 242] ; [ 14 210],[ 13.25995807 239.74004193] ; [ 11.74004193 212.25995807],0
s3,1,0.360991,0.834444,[124 128] ; [117 102],[128.94267516 123.05732484] ; [112.05732484 106.94267516],0
n3,1,0.448978,0.573231,[49 29] ; [34 15],[50.97637795 27.02362205] ; [32.02362205 16.97637795],0
d2,1,0.475659,0.5088,[125 128] ; [118 106],[128.88679245 124.11320755] ; [114.11320755 109.88679245],0
n1,1,0.477069,0.505556,[26 52] ; [19 29],[27.85714286 50.14285714] ; [17.14285714 30.85714286],0
a6,1,0.575699,0.31324,[175  80] ; [159  65],[177.80793319  77.19206681] ; [156.19206681  67.80793319],0
b1,1,0.680845,0.169176,[ 98 157] ; [ 82 142],[ 95.82463466 159.17536534] ; [ 84.17536534 139.82463466],0
a1,1,0.755475,0.096988,[ 11 244] ; [ 11 213],[ 11.71189979 243.28810021] ; [ 10.28810021 213.71189979],0
d3,1,0.940749,0.005525,[192  63] ; [168  56],[191.64926931  63.35073069] ; [168.35073069  55.64926931],0
d5,1,0.945202,0.004724,[218  37] ; [191  33],[217.7348643  37.2651357] ; [191.2651357  32.7348643],0
