Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.704602,[77 12] ; [17 20],[66.3968254 22.6031746] ; [27.6031746  9.3968254],1
r2,1,3.5e-05,17.138381,[85  4] ; [24 11],[78.23387097 10.76612903] ; [30.76612903  4.23387097],1
r3,1,0.020534,5.36588,[84  5] ; [30  7],[80.52380952  8.47619048] ; [33.47619048  3.52380952],0
a5,1,0.021055,5.322219,[56 33] ; [15 22],[50.15079365 38.84920635] ; [20.84920635 16.15079365],0
n3,1,0.023573,5.125772,[22  9] ; [4 8],[18.74418605 12.25581395] ; [7.25581395 4.74418605],0
a6,1,0.031227,4.640462,[57 32] ; [16 21],[51.56349206 37.43650794] ; [21.43650794 15.56349206],0
n1,1,0.046558,3.961301,[13 20] ; [ 1 11],[10.26666667 22.73333333] ; [3.73333333 8.26666667],0
b1,1,0.050737,3.816945,[27 62] ; [18 19],[31.78571429 57.21428571] ; [13.21428571 23.78571429],0
s3,1,0.059551,3.549857,[41 48] ; [10 26],[36.312 52.688] ; [14.688 21.312],0
v4,1,0.065409,3.394619,[78 10] ; [28  9],[74.624 13.376] ; [31.376  5.624],0
v2,1,0.097438,2.74698,[45 38] ; [14 23],[40.80833333 42.19166667] ; [18.19166667 18.80833333],0
s6,1,0.099045,2.720857,[47 40] ; [14 23],[42.7983871 44.2016129] ; [18.2016129 18.7983871],0
p4,1,0.122001,2.391436,[29 60] ; [ 7 30],[25.42857143 63.57142857] ; [10.57142857 26.42857143],0
s8,1,0.158727,1.98631,[25 64] ; [ 6 31],[21.8968254 67.1031746] ; [ 9.1031746 27.8968254],0
u3,1,0.200546,1.63839,[26 12] ; [8 8],[23.92592593 14.07407407] ; [10.07407407  5.92592593],0
b3,1,0.223073,1.484491,[14 29] ; [11 12],[16.28787879 26.71212121] ; [ 8.71212121 14.28787879],0
b2,1,0.223073,1.484491,[14 29] ; [11 12],[16.28787879 26.71212121] ; [ 8.71212121 14.28787879],0
s1,1,0.255443,1.293289,[ 3 86] ; [ 3 34],[ 4.23809524 84.76190476] ; [ 1.76190476 35.23809524],0
