Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.042205,4.126984,[ 5 10] ; [16  8],[8.07692308 6.92307692] ; [12.92307692 11.07692308],0
d3,1,0.056846,3.627106,[6 9] ; [17  7],[8.84615385 6.15384615] ; [14.15384615  9.84615385],0
b1,1,0.062163,3.478704,[13  2] ; [14 10],[10.38461538  4.61538462] ; [16.61538462  7.38461538],0
p6,1,0.086541,2.937569,[ 2 13] ; [ 9 14],[ 4.34210526 10.65789474] ; [ 6.65789474 16.34210526],0
r1,1,0.090468,2.866028,[14  1] ; [17  7],[11.92307692  3.07692308] ; [19.07692308  4.92307692],0
s3,1,0.106125,2.611,[8 7] ; [18  5],[10.26315789  4.73684211] ; [15.73684211  7.26315789],0
p8,1,0.149517,2.077174,[ 4 11] ; [12 12],[6.15384615 8.84615385] ; [ 9.84615385 14.15384615],0
b5,1,0.170294,1.880357,[6 9] ; [15  9],[8.07692308 6.92307692] ; [12.92307692 11.07692308],0
p2,1,0.195644,1.674594,[9 6] ; [19  5],[10.76923077  4.23076923] ; [17.23076923  6.76923077],0
p7,1,0.207886,1.586087,[6 9] ; [14  9],[7.89473684 7.10526316] ; [12.10526316 10.89473684],0
s5,1,0.259071,1.273713,[6 9] ; [ 5 17],[ 4.45945946 10.54054054] ; [ 6.54054054 15.45945946],0
a1,1,0.295949,1.092361,[ 2 13] ; [ 1 23],[ 1.15384615 13.84615385] ; [ 1.84615385 22.15384615],0
a5,1,0.331993,0.94111,[7 8] ; [15  9],[8.46153846 6.53846154] ; [13.53846154 10.46153846],0
p3,1,0.342093,0.902571,[ 4 11] ; [10 14],[5.38461538 9.61538462] ; [ 8.61538462 15.38461538],0
d2,1,0.389177,0.741513,[9 6] ; [11 13],[7.69230769 7.30769231] ; [12.30769231 11.69230769],0
a7,1,0.405033,0.693333,[8 7] ; [16  8],[9.23076923 5.76923077] ; [14.76923077  9.23076923],0
a6,1,0.405033,0.693333,[8 7] ; [16  8],[9.23076923 5.76923077] ; [14.76923077  9.23076923],0
a2,1,0.527677,0.398864,[ 3 12] ; [ 3 21],[ 2.30769231 12.69230769] ; [ 3.69230769 20.30769231],0
s2,1,0.543512,0.36907,[9 6] ; [16  7],[9.86842105 5.13157895] ; [15.13157895  7.86842105],0
b3,1,0.55791,0.343336,[2 9] ; [ 5 13],[2.65517241 8.34482759] ; [ 4.34482759 13.65517241],0
b2,1,0.55791,0.343336,[2 9] ; [ 5 13],[2.65517241 8.34482759] ; [ 4.34482759 13.65517241],0
r4,1,0.559109,0.34125,[14  1] ; [21  3],[13.46153846  1.53846154] ; [21.53846154  2.46153846],0
a4,1,0.573683,0.316558,[ 5 10] ; [ 6 18],[ 4.23076923 10.76923077] ; [ 6.76923077 17.23076923],0
n5,1,0.573683,0.316558,[10  5] ; [18  6],[10.76923077  4.23076923] ; [17.23076923  6.76923077],0
v3,1,0.618228,0.248366,[7 7] ; [10 14],[6.26315789 7.73684211] ; [10.73684211 13.26315789],0
s6,1,0.718432,0.13,[12  3] ; [18  6],[11.53846154  3.46153846] ; [18.46153846  5.53846154],0
n6,1,0.718432,0.13,[12  3] ; [18  6],[11.53846154  3.46153846] ; [18.46153846  5.53846154],0
p10,1,0.720786,0.127741,[6 9] ; [11 13],[6.53846154 8.46153846] ; [10.46153846 13.53846154],0
r2,1,0.730579,0.118581,[14  1] ; [23  1],[14.23076923  0.76923077] ; [22.76923077  1.23076923],0
v4,1,0.730579,0.118581,[14  1] ; [23  1],[14.23076923  0.76923077] ; [22.76923077  1.23076923],0
r3,1,0.730579,0.118581,[14  1] ; [23  1],[14.23076923  0.76923077] ; [22.76923077  1.23076923],0
a8,1,0.766242,0.088384,[ 1 13] ; [ 1 20],[ 0.8 13.2] ; [ 1.2 19.8],0
u1,1,0.791857,0.069643,[ 3 12] ; [ 4 20],[ 2.69230769 12.30769231] ; [ 4.30769231 19.69230769],0
d5,1,0.791857,0.069643,[12  3] ; [20  4],[12.30769231  2.69230769] ; [19.69230769  4.30769231],0
a3,1,0.791857,0.069643,[10  5] ; [15  9],[9.61538462 5.38461538] ; [15.38461538  8.61538462],0
n3,1,0.818971,0.052381,[3 2] ; [4 2],[3.18181818 1.81818182] ; [3.81818182 2.18181818],0
s1,1,0.820643,0.051401,[ 1 14] ; [ 2 21],[ 1.18421053 13.81578947] ; [ 1.81578947 21.18421053],0
s4,1,0.839318,0.041114,[ 3 12] ; [ 4 19],[ 2.76315789 12.23684211] ; [ 4.23684211 18.76315789],0
v2,1,0.846791,0.037332,[8 7] ; [13 10],[8.28947368 6.71052632] ; [12.71052632 10.28947368],0
p5,1,0.849286,0.036111,[ 1 14] ; [ 2 22],[ 1.15384615 13.84615385] ; [ 1.84615385 22.15384615],0
b4,1,0.865961,0.02849,[11  4] ; [17  7],[10.76923077  4.23076923] ; [17.23076923  6.76923077],0
v1,1,0.875935,0.024375,[6 9] ; [ 9 15],[5.76923077 9.23076923] ; [ 9.23076923 14.76923077],0
n4,1,0.907679,0.013448,[11  4] ; [18  6],[11.15384615  3.84615385] ; [17.84615385  6.15384615],0
d4,1,0.907679,0.013448,[11  4] ; [18  6],[11.15384615  3.84615385] ; [17.84615385  6.15384615],0
u3,1,0.92265,0.009428,[4 1] ; [7 2],[3.92857143 1.07142857] ; [7.07142857 1.92857143],0
u2,1,0.92265,0.009428,[4 1] ; [7 2],[3.92857143 1.07142857] ; [7.07142857 1.92857143],0
s7,1,0.954089,0.003315,[8 5] ; [15  9],[8.08108108 4.91891892] ; [14.91891892  9.08108108],0
d1,1,0.959495,0.002579,[8 7] ; [13 11],[8.07692308 6.92307692] ; [12.92307692 11.07692308],0
n1,1,1.0,0.0,[3 3] ; [2 2],[3. 3.] ; [2. 2.],0
n2,1,1.0,0.0,[5 1] ; [5 1],[5. 1.] ; [5. 1.],0
