Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,33.381103,[12 42] ; [27  4],[24.77647059 29.22352941] ; [14.22352941 16.77647059],1
p8,1,0.002437,9.187447,[21 34] ; [23  9],[27.81609195 27.18390805] ; [16.18390805 15.81609195],0
p4,1,0.004786,7.958656,[21 35] ; [22 10],[27.36363636 28.63636364] ; [15.63636364 16.36363636],0
s6,1,0.00484,7.938411,[26 29] ; [25  7],[32.24137931 22.75862069] ; [18.75862069 13.24137931],0
s3,1,0.009357,6.753366,[25 29] ; [24  8],[30.76744186 23.23255814] ; [18.23255814 13.76744186],0
p5,1,0.015617,5.845438,[ 4 52] ; [ 8 23],[ 7.72413793 48.27586207] ; [ 4.27586207 26.72413793],0
s2,1,0.022118,5.236514,[20 34] ; [20 12],[25.11627907 28.88372093] ; [14.88372093 17.11627907],0
p11,1,0.027749,4.843574,[37 19] ; [28  4],[41.36363636 14.63636364] ; [23.63636364  8.36363636],0
r4,1,0.028254,4.8125,[42 14] ; [30  2],[45.81818182 10.18181818] ; [26.18181818  5.81818182],0
p9,1,0.035259,4.432603,[40 16] ; [29  3],[43.90909091 12.09090909] ; [25.09090909  6.90909091],0
p12,1,0.036746,4.362134,[ 1 55] ; [ 4 28],[ 3.18181818 52.81818182] ; [ 1.81818182 30.18181818],0
v2,1,0.050209,3.834449,[26 27] ; [22  9],[30.28571429 22.71428571] ; [17.71428571 13.28571429],0
r1,1,0.052998,3.743979,[38 17] ; [28  4],[41.72413793 13.27586207] ; [24.27586207  7.72413793],0
r3,1,0.058279,3.585691,[45  9] ; [31  1],[47.72093023  6.27906977] ; [28.27906977  3.72093023],0
p3,1,0.067108,3.352381,[17 39] ; [16 16],[21. 35.] ; [12. 20.],0
p7,1,0.067702,3.337864,[28 26] ; [23  9],[32.02325581 21.97674419] ; [18.97674419 13.02325581],0
p6,1,0.069272,3.300191,[12 42] ; [13 19],[15.69767442 38.30232558] ; [ 9.30232558 22.69767442],0
p2,1,0.093369,2.815314,[36 20] ; [26  6],[39.45454545 16.54545455] ; [22.54545455  9.45454545],0
v4,1,0.099648,2.711162,[47  8] ; [30  1],[49.24418605  5.75581395] ; [27.75581395  3.24418605],0
p10,1,0.113748,2.501354,[38 17] ; [27  5],[41.09195402 13.90804598] ; [23.90804598  8.09195402],0
a8,1,0.116143,2.468571,[ 4 46] ; [ 6 24],[ 6.25 43.75] ; [ 3.75 26.25],0
d3,1,0.124188,2.36369,[22 34] ; [18 14],[25.45454545 30.54545455] ; [14.54545455 17.45454545],0
p1,1,0.133595,2.250228,[ 7 49] ; [ 8 24],[ 9.54545455 46.45454545] ; [ 5.45454545 26.54545455],0
b3,1,0.137573,2.204894,[13 21] ; [16 12],[15.90322581 18.09677419] ; [13.09677419 14.90322581],0
b2,1,0.137573,2.204894,[13 21] ; [16 12],[15.90322581 18.09677419] ; [13.09677419 14.90322581],0
n1,1,0.163165,1.944643,[5 9] ; [3 1],[6.22222222 7.77777778] ; [1.77777778 2.22222222],0
d2,1,0.183631,1.767989,[12 44] ; [11 21],[14.63636364 41.36363636] ; [ 8.36363636 23.63636364],0
a2,1,0.206508,1.59574,[ 4 52] ; [ 5 27],[ 5.72727273 50.27272727] ; [ 3.27272727 28.72727273],0
s5,1,0.211359,1.562092,[10 45] ; [ 9 21],[12.29411765 42.70588235] ; [ 6.70588235 23.29411765],0
n4,1,0.213145,1.549934,[36 19] ; [25  7],[38.56321839 16.43678161] ; [22.43678161  9.56321839],0
v3,1,0.25573,1.291729,[19 36] ; [15 17],[21.49425287 33.50574713] ; [12.50574713 19.49425287],0
u3,1,0.313616,1.015385,[12 10] ; [8 3],[13.33333333  8.66666667] ; [6.66666667 4.33333333],0
a5,1,0.330408,0.947298,[29 27] ; [20 12],[31.18181818 24.81818182] ; [17.81818182 14.18181818],0
b5,1,0.345986,0.888126,[31 25] ; [21 11],[33.09090909 22.90909091] ; [18.90909091 13.09090909],0
r2,1,0.361316,0.833313,[48  7] ; [29  2],[49.24418605  5.75581395] ; [27.75581395  3.24418605],0
n5,1,0.370358,0.802465,[40 15] ; [26  6],[41.72413793 13.27586207] ; [24.27586207  7.72413793],0
u2,1,0.388476,0.743706,[10 11] ; [7 4],[11.15625  9.84375] ; [5.84375 5.15625],0
