Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,33.522318,[141  25] ; [15 22],[127.56650246  38.43349754] ; [28.43349754  8.56650246],1
p9,1,2e-05,18.196223,[139  25] ; [19 17],[129.56  34.44] ; [28.44  7.56],1
b1,1,0.000379,12.630843,[72 94] ; [28  9],[81.77339901 84.22660099] ; [18.22660099 18.77339901],1
p10,1,0.000439,12.359295,[135  30] ; [19 16],[127.05  37.95] ; [26.95  8.05],1
p2,1,0.000698,11.494153,[133  31] ; [19 16],[125.26633166  38.73366834] ; [26.73366834  8.26633166],1
n4,1,0.00098,10.865916,[139  27] ; [22 15],[131.65517241  34.34482759] ; [29.34482759  7.65517241],1
p11,1,0.004066,8.25431,[135  31] ; [22 15],[128.38423645  37.61576355] ; [28.61576355  8.38423645],0
a5,1,0.005557,7.688651,[134  32] ; [22 15],[127.56650246  38.43349754] ; [28.43349754  8.56650246],0
r4,1,0.009639,6.700472,[142  24] ; [25 12],[136.56157635  29.43842365] ; [30.43842365  6.56157635],0
u2,1,0.010363,6.571429,[12 20] ; [11  3],[16. 16.] ; [7. 7.],0
s8,1,0.013744,6.070741,[86 79] ; [11 26],[79.23267327 85.76732673] ; [17.76732673 19.23267327],0
s7,1,0.018611,5.537748,[94 66] ; [12 21],[87.87564767 72.12435233] ; [18.12435233 14.87564767],0
a3,1,0.019189,5.484219,[133  33] ; [23 14],[127.56650246  38.43349754] ; [28.43349754  8.56650246],0
s6,1,0.026804,4.903402,[111  49] ; [18 18],[105.30612245  54.69387755] ; [23.69387755 12.30612245],0
p3,1,0.029667,4.728475,[88 77] ; [12 24],[82.08955224 82.91044776] ; [17.91044776 18.08955224],0
v3,1,0.029923,4.713717,[75 89] ; [ 8 24],[69.44897959 94.55102041] ; [13.55102041 18.44897959],0
r2,1,0.035447,4.423529,[153  10] ; [30  6],[149.89447236  13.10552764] ; [33.10552764  2.89447236],0
v4,1,0.071578,3.24645,[154  12] ; [30  6],[151.20792079  14.79207921] ; [32.79207921  3.20792079],0
r1,1,0.087157,2.926113,[126  40] ; [23 14],[121.84236453  44.15763547] ; [27.15763547  9.84236453],0
a4,1,0.107735,2.58713,[91 74] ; [15 22],[86.58415842 78.41584158] ; [19.41584158 17.58415842],0
r3,1,0.11331,2.507433,[153  13] ; [31  6],[150.46305419  15.53694581] ; [33.53694581  3.46305419],0
s4,1,0.114474,2.491347,[ 30 135] ; [11 26],[ 33.49009901 131.50990099] ; [ 7.50990099 29.49009901],0
s5,1,0.114563,2.490117,[68 90] ; [10 25],[63.85492228 94.14507772] ; [14.14507772 20.85492228],0
