Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,70.387727,[351  75] ; [66 76],[312.75 113.25] ; [104.25  37.75],1
d3,1,0.0,59.954959,[351  76] ; [70 72],[315.93497364 111.06502636] ; [105.06502636  36.93497364],1
a2,1,0.0,30.109602,[163 264] ; [ 19 123],[136.57996485 290.42003515] ; [45.42003515 96.57996485],1
u1,1,1e-06,23.609205,[117 310] ; [ 11 131],[ 96.05623902 330.94376098] ; [ 31.94376098 110.05623902],1
b5,1,4e-06,21.465361,[283 144] ; [63 79],[259.65202109 167.34797891] ; [86.34797891 55.65202109],1
r4,1,0.005344,7.759213,[403  24] ; [124  18],[395.48154657  31.51845343] ; [131.51845343  10.48154657],0
p4,1,0.005992,7.552695,[301 125] ; [82 59],[287.75661376 138.24338624] ; [95.24338624 45.75661376],0
u3,1,0.006786,7.328872,[58 30] ; [ 8 15],[52.32432432 35.67567568] ; [13.67567568  9.32432432],0
v4,1,0.014954,5.921823,[411  11] ; [131  10],[406.25932504  15.74067496] ; [135.74067496   5.25932504],0
v2,1,0.015605,5.846854,[259 152] ; [72 68],[246.89836661 164.10163339] ; [84.10163339 55.89836661],0
r1,1,0.02339,5.139274,[371  51] ; [114  28],[362.89007092  59.10992908] ; [122.10992908  19.89007092],0
b2,1,0.042045,4.133407,[ 95 158] ; [48 49],[103.36857143 149.63142857] ; [39.63142857 57.36857143],0
b3,1,0.042045,4.133407,[ 95 158] ; [48 49],[103.36857143 149.63142857] ; [39.63142857 57.36857143],0
n5,1,0.051909,3.778694,[320 102] ; [118  23],[328.30550622  93.69449378] ; [109.69449378  31.30550622],0
r2,1,0.053933,3.71476,[406  14] ; [130  10],[402.  18.] ; [134.   6.],0
s7,1,0.070103,3.280603,[207 197] ; [83 55],[216.16236162 187.83763838] ; [73.83763838 64.16236162],0
b1,1,0.095475,2.779558,[153 274] ; [62 80],[161.34446397 265.65553603] ; [53.65553603 88.34446397],0
d1,1,0.117407,2.451572,[295 132] ; [88 54],[287.41827768 139.58172232] ; [95.58172232 46.41827768],0
r3,1,0.118606,2.435633,[411  12] ; [134   8],[408.02654867  14.97345133] ; [136.97345133   5.02654867],0
p3,1,0.172159,1.864041,[230 196] ; [86 56],[237. 189.] ; [79. 63.],0
a1,1,0.177318,1.819962,[ 18 409] ; [ 10 132],[ 21.01230228 405.98769772] ; [  6.98769772 135.01230228],0
b4,1,0.178919,1.806579,[253 174] ; [75 67],[246.14411248 180.85588752] ; [81.85588752 60.14411248],0
p11,1,0.191902,1.702958,[353  74] ; [124  18],[357.95957821  69.04042179] ; [119.04042179  22.95957821],0
p8,1,0.198487,1.653476,[255 164] ; [76 63],[248.54659498 170.45340502] ; [82.45340502 56.54659498],0
s8,1,0.205717,1.601318,[197 225] ; [75 67],[203.5177305 218.4822695] ; [68.4822695 73.5177305],0
s5,1,0.215486,1.534182,[146 263] ; [57 80],[152.06410256 256.93589744] ; [50.93589744 86.06410256],0
a3,1,0.223325,1.482874,[337  89] ; [119  23],[342.  84.] ; [114.  28.],0
p12,1,0.273658,1.198317,[ 40 384] ; [  9 131],[ 36.83687943 387.16312057] ; [ 12.16312057 127.83687943],0
n3,1,0.278032,1.176682,[59 22] ; [28  6],[61.27826087 19.72173913] ; [25.72173913  8.27826087],0
n4,1,0.287596,1.130843,[349  77] ; [121  20],[353.12169312  72.87830688] ; [116.87830688  24.12169312],0
v1,1,0.312843,1.018636,[250 167] ; [76 62],[244.94054054 172.05945946] ; [81.05945946 56.94054054],0
s4,1,0.434052,0.611956,[ 63 358] ; [ 25 116],[ 65.92170819 355.07829181] ; [ 22.07829181 118.92170819],0
a8,1,0.453322,0.562332,[ 58 317] ; [ 17 116],[ 55.36417323 319.63582677] ; [ 19.63582677 113.36417323],0
v3,1,0.456662,0.554063,[166 246] ; [61 78],[169.73502722 242.26497278] ; [57.26497278 81.73502722],0
s1,1,0.460754,0.544062,[ 10 409] ; [  5 136],[ 11.22321429 407.77678571] ; [  3.77678571 137.22321429],0
n1,1,0.477879,0.5037,[27 52] ; [14 20],[28.66371681 50.33628319] ; [12.33628319 21.66371681],0
p6,1,0.531015,0.392449,[174 249] ; [53 86],[170.85587189 252.14412811] ; [56.14412811 82.85587189],0
s6,1,0.533464,0.387788,[295 121] ; [94 44],[292.10108303 123.89891697] ; [96.89891697 41.10108303],0
p1,1,0.533616,0.3875,[ 37 388] ; [ 10 132],[ 35.2292769 389.7707231] ; [ 11.7707231 130.2292769],0
s2,1,0.538908,0.377568,[227 193] ; [72 69],[223.85026738 196.14973262] ; [75.14973262 65.85026738],0
u2,1,0.589064,0.291809,[52 37] ; [12 11],[50.85714286 38.14285714] ; [13.14285714  9.85714286],0
p10,1,0.599094,0.276364,[367  56] ; [119  21],[365.14742451  57.85257549] ; [120.85257549  19.14742451],0
u4,1,0.626983,0.236175,[  9 417] ; [  4 138],[  9.75 416.25] ; [  3.25 138.75],0
d5,1,0.638058,0.221291,[373  54] ; [121  20],[371.36971831  55.63028169] ; [122.63028169  18.36971831],0
a4,1,0.640836,0.217651,[223 203] ; [77 64],[225.3968254 200.6031746] ; [74.6031746 66.3968254],0
n2,1,0.731115,0.11809,[62 19] ; [25  9],[61.27826087 19.72173913] ; [25.72173913  8.27826087],0
d2,1,0.731793,0.117472,[242 184] ; [83 59],[243.75 182.25] ; [81.25 60.75],0
s3,1,0.746154,0.104791,[236 181] ; [82 59],[237.64516129 179.35483871] ; [80.35483871 60.64516129],0
n6,1,0.798873,0.064926,[369  55] ; [123  17],[369.87234043  54.12765957] ; [122.12765957  17.87234043],0
p7,1,0.869735,0.026894,[292 124] ; [100  41],[292.76840215 123.23159785] ; [99.23159785 41.76840215],0
p5,1,0.890057,0.019108,[ 52 373] ; [ 18 124],[ 52.4691358 372.5308642] ; [ 17.5308642 124.4691358],0
