Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.011508,6.38512,[15 28] ; [6 1],[18.06 24.94] ; [2.94 4.06],0
s7,1,0.022197,5.230291,[ 9 32] ; [4 2],[11.34042553 29.65957447] ; [1.65957447 4.34042553],0
a7,1,0.023004,5.168226,[17 26] ; [6 1],[19.78 23.22] ; [3.22 3.78],0
p11,1,0.035224,4.434293,[13 30] ; [5 2],[15.48 27.52] ; [2.52 4.48],0
p8,1,0.040801,4.184253,[11 32] ; [4 2],[13.16326531 29.83673469] ; [1.83673469 4.16326531],0
p1,1,0.064907,3.407341,[ 6 37] ; [3 4],[ 7.74 35.26] ; [1.26 5.74],0
s5,1,0.070701,3.266667,[10 32] ; [4 3],[12. 30.] ; [2. 5.],0
p9,1,0.071136,3.25662,[18 23] ; [5 1],[20.06382979 20.93617021] ; [2.93617021 3.06382979],0
s1,1,0.077373,3.119232,[ 3 40] ; [2 5],[ 4.3 38.7] ; [0.7 6.3],0
a6,1,0.087668,2.916685,[22 21] ; [6 1],[24.08 18.92] ; [3.92 3.08],0
d1,1,0.088924,2.893748,[16 27] ; [5 2],[18.06 24.94] ; [2.94 4.06],0
p10,1,0.09896,2.722222,[16 26] ; [5 2],[18. 24.] ; [3. 4.],0
d3,1,0.11492,2.485222,[17 26] ; [5 2],[18.92 24.08] ; [3.08 3.92],0
s8,1,0.120862,2.406113,[ 9 34] ; [3 3],[10.53061224 32.46938776] ; [1.46938776 4.53061224],0
s6,1,0.134445,2.240419,[15 28] ; [4 2],[16.67346939 26.32653061] ; [2.32653061 3.67346939],0
a2,1,0.145702,2.116682,[ 4 39] ; [2 5],[ 5.16 37.84] ; [0.84 6.16],0
b4,1,0.163357,1.942873,[25 18] ; [6 1],[26.66 16.34] ; [4.34 2.66],0
p3,1,0.163373,1.942722,[13 30] ; [4 3],[14.62 28.38] ; [2.38 4.62],0
d4,1,0.22144,1.495017,[20 23] ; [5 2],[21.5 21.5] ; [3.5 3.5],0
b5,1,0.22144,1.495017,[20 23] ; [5 2],[21.5 21.5] ; [3.5 3.5],0
n6,1,0.235429,1.407759,[25 18] ; [5 1],[26.32653061 16.67346939] ; [3.67346939 2.32653061],0
d2,1,0.292912,1.106187,[21 21] ; [5 2],[22.28571429 19.71428571] ; [3.71428571 3.28571429],0
n2,1,0.295722,1.093388,[12 10] ; [4 1],[13.03703704  8.96296296] ; [2.96296296 2.03703704],0
n1,1,0.295722,1.093388,[12 10] ; [4 1],[13.03703704  8.96296296] ; [2.96296296 2.03703704],0
p12,1,0.31955,0.990787,[ 2 41] ; [1 6],[ 2.58 40.42] ; [0.42 6.58],0
u1,1,0.31955,0.990787,[ 2 41] ; [1 6],[ 2.58 40.42] ; [0.42 6.58],0
v1,1,0.34515,0.891209,[11 32] ; [3 4],[12.04 30.96] ; [1.96 5.04],0
r4,1,0.34515,0.891209,[11 32] ; [3 4],[12.04 30.96] ; [1.96 5.04],0
a4,1,0.368841,0.807566,[16 25] ; [4 3],[17.08333333 23.91666667] ; [2.91666667 4.08333333],0
b1,1,0.375209,0.78634,[23 20] ; [5 2],[24.08 18.92] ; [3.92 3.08],0
d5,1,0.437613,0.602535,[24 19] ; [5 2],[24.94 18.06] ; [4.06 2.94],0
r2,1,0.459491,0.547134,[29 11] ; [6 1],[29.78723404 10.21276596] ; [5.21276596 1.78723404],0
v4,1,0.505693,0.442968,[25 18] ; [5 2],[25.8 17.2] ; [4.2 2.8],0
a3,1,0.519172,0.415538,[24 17] ; [5 2],[24.77083333 16.22916667] ; [4.22916667 2.77083333],0
p4,1,0.53405,0.386679,[13 29] ; [3 4],[13.71428571 28.28571429] ; [2.28571429 4.71428571],0
v2,1,0.55662,0.34559,[10 31] ; [1 6],[ 9.39583333 31.60416667] ; [1.60416667 5.39583333],0
s3,1,0.558527,0.342262,[15 25] ; [3 3],[15.65217391 24.34782609] ; [2.34782609 3.65217391],0
p6,1,0.6642,0.188462,[ 9 33] ; [1 6],[ 8.57142857 33.42857143] ; [1.42857143 5.57142857],0
v3,1,0.674975,0.175837,[ 9 33] ; [2 5],[ 9.42857143 32.57142857] ; [1.57142857 5.42857143],0
n3,1,0.758742,0.094331,[10 11] ; [2 3],[ 9.69230769 11.30769231] ; [2.30769231 2.69230769],0
p7,1,0.810293,0.057623,[12 30] ; [2 4],[12.25 29.75] ; [1.75 4.25],0
s2,1,0.833907,0.043971,[14 29] ; [2 5],[13.76 29.24] ; [2.24 4.76],0
p2,1,0.960484,0.002455,[18 25] ; [3 4],[18.06 24.94] ; [2.94 4.06],0
