Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.002492,9.146107,[13 15] ; [13 62],[ 7.06796117 20.93203883] ; [18.93203883 56.06796117],0
p2,1,0.002921,8.856397,[22  7] ; [33 43],[15.19047619 13.80952381] ; [39.80952381 36.19047619],0
n6,1,0.010213,6.597296,[21  7] ; [35 40],[15.22330097 12.77669903] ; [40.77669903 34.22330097],0
p7,1,0.012732,6.205929,[17 12] ; [24 51],[11.43269231 17.56730769] ; [29.56730769 45.43269231],0
n3,1,0.023739,5.113636,[10  2] ; [15 18],[6.66666667 5.33333333] ; [18.33333333 14.66666667],0
u2,1,0.036758,4.361603,[ 3 11] ; [18 15],[6.25531915 7.74468085] ; [14.74468085 18.25531915],0
a7,1,0.039145,4.254584,[21  8] ; [37 37],[16.33009709 12.66990291] ; [41.66990291 32.33009709],0
r4,1,0.040416,4.200318,[22  7] ; [41 35],[17.4 11.6] ; [45.6 30.4],0
p8,1,0.042536,4.113763,[10 18] ; [13 63],[ 6.19230769 21.80769231] ; [16.80769231 59.19230769],0
v2,1,0.083772,2.990166,[14 15] ; [22 51],[10.23529412 18.76470588] ; [25.76470588 47.23529412],0
v4,1,0.087538,2.91907,[25  4] ; [51 22],[21.60784314  7.39215686] ; [54.39215686 18.60784314],0
s7,1,0.088763,2.896668,[ 8 21] ; [ 9 59],[ 5.08247423 23.91752577] ; [11.91752577 56.08247423],0
u1,1,0.096081,2.769426,[ 5 24] ; [ 5 71],[ 2.76190476 26.23809524] ; [ 7.23809524 68.76190476],0
d4,1,0.133934,2.246303,[15 14] ; [50 24],[18.30097087 10.69902913] ; [46.69902913 27.30097087],0
n2,1,0.137893,2.201318,[8 3] ; [17 19],[5.85106383 5.14893617] ; [19.14893617 16.85106383],0
p6,1,0.139047,2.188472,[ 7 22] ; [ 9 64],[ 4.54901961 24.45098039] ; [11.45098039 61.54901961],0
b1,1,0.142198,2.154011,[18 11] ; [35 41],[14.63809524 14.36190476] ; [38.36190476 37.63809524],0
p10,1,0.162349,1.952206,[ 9 20] ; [14 62],[ 6.35238095 22.64761905] ; [16.64761905 59.35238095],0
u3,1,0.217298,1.522125,[ 4 11] ; [15 18],[5.9375 9.0625] ; [13.0625 19.9375],0
d3,1,0.219504,1.50761,[18 11] ; [37 39],[15.19047619 13.80952381] ; [39.80952381 36.19047619],0
s8,1,0.237733,1.393985,[ 4 25] ; [ 5 71],[ 2.48571429 26.51428571] ; [ 6.51428571 69.48571429],0
p1,1,0.246399,1.343604,[ 4 25] ; [ 5 70],[ 2.50961538 26.49038462] ; [ 6.49038462 68.50961538],0
s1,1,0.25539,1.293573,[ 4 25] ; [ 5 69],[ 2.53398058 26.46601942] ; [ 6.46601942 67.53398058],0
s2,1,0.258005,1.27943,[ 6 23] ; [ 9 66],[ 4.18269231 24.81730769] ; [10.81730769 64.18269231],0
b3,1,0.264731,1.243845,[ 6 17] ; [16 24],[ 8.03174603 14.96825397] ; [13.96825397 26.03174603],0
b2,1,0.264731,1.243845,[ 6 17] ; [16 24],[ 8.03174603 14.96825397] ; [13.96825397 26.03174603],0
r3,1,0.291602,1.112212,[23  6] ; [51 23],[20.83495146  8.16504854] ; [53.16504854 20.83495146],0
p11,1,0.338413,0.916433,[16 13] ; [34 42],[13.80952381 15.19047619] ; [36.19047619 39.80952381],0
s3,1,0.350788,0.870605,[10 19] ; [19 56],[ 8.08653846 20.91346154] ; [20.91346154 54.08653846],0
a3,1,0.405254,0.692682,[14 15] ; [43 32],[15.89423077 13.10576923] ; [41.10576923 33.89423077],0
r1,1,0.442145,0.590709,[17 12] ; [50 25],[18.68269231 10.31730769] ; [48.31730769 26.68269231],0
a5,1,0.45328,0.562437,[18 11] ; [41 35],[16.2952381 12.7047619] ; [42.7047619 33.2952381],0
v3,1,0.464074,0.536052,[ 8 21] ; [15 57],[ 6.6039604 22.3960396] ; [16.3960396 55.6039604],0
d1,1,0.475933,0.508167,[10 19] ; [32 44],[11.6 17.4] ; [30.4 45.6],0
d5,1,0.497049,0.461231,[20  9] ; [47 29],[18.5047619 10.4952381] ; [48.4952381 27.5047619],0
n1,1,0.503233,0.448113,[5 6] ; [12 23],[4.06521739 6.93478261] ; [12.93478261 22.06521739],0
d2,1,0.505948,0.442438,[12 17] ; [36 38],[13.51456311 15.48543689] ; [34.48543689 39.51456311],0
s5,1,0.507226,0.439787,[ 4 25] ; [ 7 68],[ 3.06730769 25.93269231] ; [ 7.93269231 67.06730769],0
a1,1,0.536616,0.381847,[ 1 28] ; [ 5 71],[ 1.65714286 27.34285714] ; [ 4.34285714 71.65714286],0
r2,1,0.537829,0.379578,[25  4] ; [60 14],[23.93203883  5.06796117] ; [61.06796117 12.93203883],0
b5,1,0.602872,0.270686,[15 14] ; [35 41],[13.80952381 15.19047619] ; [36.19047619 39.80952381],0
a4,1,0.69268,0.156199,[10 19] ; [29 46],[10.875 18.125] ; [28.125 46.875],0
s4,1,0.704906,0.143418,[ 2 27] ; [ 7 69],[ 2.48571429 26.51428571] ; [ 6.51428571 69.48571429],0
b4,1,0.707689,0.140597,[16 13] ; [45 31],[16.84761905 12.15238095] ; [44.15238095 31.84761905],0
a6,1,0.76225,0.091523,[17 12] ; [47 29],[17.67619048 11.32380952] ; [46.32380952 29.67619048],0
