Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,0.000129,14.650661,[ 1 79] ; [ 27 115],[10.09009009 69.90990991] ; [ 17.90990991 124.09009009],1
p1,1,0.001097,10.656265,[ 1 80] ; [ 21 121],[ 7.99103139 73.00896861] ; [ 14.00896861 127.99103139],0
p8,1,0.001289,10.357627,[34 46] ; [92 50],[45.40540541 34.59459459] ; [80.59459459 61.40540541],0
n6,1,0.017485,5.647074,[59 22] ; [121  20],[65.67567568 15.32432432] ; [114.32432432  26.67567568],0
s3,1,0.030073,4.705089,[40 41] ; [90 50],[47.64705882 33.35294118] ; [82.35294118 57.64705882],0
p6,1,0.032112,4.592488,[27 53] ; [69 73],[34.59459459 45.40540541] ; [61.40540541 80.59459459],0
s5,1,0.032339,4.580418,[19 59] ; [53 84],[26.12093023 51.87906977] ; [45.87906977 91.12093023],0
b5,1,0.036458,4.37554,[50 31] ; [67 75],[42.49775785 38.50224215] ; [74.50224215 67.49775785],0
n4,1,0.038103,4.30042,[53 28] ; [111  31],[59.56950673 21.43049327] ; [104.43049327  37.56950673],0
s6,1,0.038333,4.290176,[51 30] ; [105  33],[57.69863014 23.30136986] ; [98.30136986 39.69863014],0
p9,1,0.049781,3.848834,[59 22] ; [119  23],[64.65470852 16.34529148] ; [113.34529148  28.65470852],0
r1,1,0.064064,3.428916,[56 25] ; [113  28],[61.66216216 19.33783784] ; [107.33783784  33.66216216],0
d3,1,0.068455,3.319681,[63 18] ; [94 48],[57.02690583 23.97309417] ; [99.97309417 42.02690583],0
p11,1,0.080028,3.064341,[56 25] ; [113  29],[61.38565022 19.61434978] ; [107.61434978  34.38565022],0
p7,1,0.080112,3.062634,[50 30] ; [104  37],[55.74660633 24.25339367] ; [98.25339367 42.74660633],0
p10,1,0.097952,2.738577,[57 24] ; [113  28],[62.02702703 18.97297297] ; [107.97297297  33.02702703],0
s7,1,0.130391,2.287848,[36 44] ; [73 58],[41.32701422 38.67298578] ; [67.67298578 63.32701422],0
u1,1,0.155232,2.020069,[ 9 72] ; [ 26 116],[12.71300448 68.28699552] ; [ 22.28699552 119.71300448],0
v3,1,0.157211,2.000845,[16 63] ; [40 98],[20.38709677 58.61290323] ; [ 35.61290323 102.38709677],0
n2,1,0.168426,1.896899,[19  6] ; [20 14],[16.52542373  8.47457627] ; [22.47457627 11.52542373],0
p12,1,0.173491,1.852517,[ 3 78] ; [ 12 130],[ 5.44843049 75.55156951] ; [  9.55156951 132.44843049],0
r4,1,0.17988,1.798615,[66 15] ; [125  17],[69.37668161 11.62331839] ; [121.62331839  20.37668161],0
p2,1,0.192201,1.700665,[66 14] ; [126  16],[69.18918919 10.81081081] ; [122.81081081  19.18918919],0
a1,1,0.199456,1.646353,[ 2 79] ; [  9 133],[ 3.9955157 77.0044843] ; [  7.0044843 134.9955157],0
s4,1,0.224047,1.478262,[13 66] ; [ 33 108],[16.51818182 62.48181818] ; [ 29.48181818 111.51818182],0
n1,1,0.247486,1.337438,[11 14] ; [10 24],[ 8.89830508 16.10169492] ; [12.10169492 21.89830508],0
r3,1,0.249929,1.323699,[73  8] ; [132   8],[75.13574661  5.86425339] ; [129.86425339  10.13574661],0
n5,1,0.280392,1.165189,[53 28] ; [102  39],[56.55405405 24.44594595] ; [98.44594595 42.55405405],0
a2,1,0.294316,1.099771,[14 67] ; [ 33 109],[17.07174888 63.92825112] ; [ 29.92825112 112.07174888],0
v4,1,0.396332,0.719427,[74  7] ; [133   8],[75.52702703  5.47297297] ; [131.47297297   9.52702703],0
b4,1,0.420552,0.648773,[44 37] ; [85 57],[46.85650224 34.14349776] ; [82.14349776 59.85650224],0
