Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,1.4e-05,18.932253,[455 136] ; [57 44],[437.2716763 153.7283237] ; [74.7283237 26.2716763],1
r2,1,1.5e-05,18.759084,[580   9] ; [91  9],[573.61248186  15.38751814] ; [97.38751814  2.61248186],1
u1,1,0.00038,12.626658,[115 477] ; [ 5 96],[102.51082251 489.48917749] ; [17.48917749 83.51082251],1
d1,1,0.000464,12.25626,[362 230] ; [43 58],[345.97402597 246.02597403] ; [59.02597403 41.97402597],1
v2,1,0.002524,9.123182,[345 219] ; [44 54],[331.41389728 232.58610272] ; [57.58610272 40.41389728],0
a2,1,0.003912,8.324125,[155 437] ; [13 88],[143.51515152 448.48484848] ; [24.48484848 76.51515152],0
v1,1,0.004139,8.221925,[328 248] ; [41 58],[314.88 261.12] ; [54.12 44.88],0
u3,1,0.004955,7.895748,[106  59] ; [14 22],[98.50746269 66.49253731] ; [21.49253731 14.50746269],0
s7,1,0.006515,7.402106,[277 284] ; [33 63],[264.70319635 296.29680365] ; [45.29680365 50.70319635],0
d4,1,0.007725,7.096209,[494  93] ; [74 27],[484.61627907 102.38372093] ; [83.38372093 17.61627907],0
d3,1,0.008911,6.84054,[410 179] ; [57 44],[398.64202899 190.35797101] ; [68.35797101 32.64202899],0
d2,1,0.011911,6.324053,[298 291] ; [37 63],[286.37880987 302.62119013] ; [48.62119013 51.37880987],0
s8,1,0.024878,5.032386,[268 319] ; [34 67],[257.66569767 329.33430233] ; [44.33430233 56.66569767],0
b5,1,0.026556,4.919421,[347 245] ; [71 30],[357.07936508 234.92063492] ; [60.92063492 40.07936508],0
s2,1,0.037495,4.327771,[287 301] ; [38 63],[277.35849057 310.64150943] ; [47.64150943 53.35849057],0
d5,1,0.039745,4.22874,[483 106] ; [74 27],[475.46811594 113.53188406] ; [81.53188406 19.46811594],0
a7,1,0.040063,4.215224,[443 147] ; [66 35],[434.60202605 155.39797395] ; [74.39797395 26.60202605],0
a4,1,0.044083,4.053374,[273 315] ; [36 65],[263.70391872 324.29608128] ; [45.29608128 55.70391872],0
s6,1,0.06544,3.393853,[384 200] ; [55 43],[375.91788856 208.08211144] ; [63.08211144 34.91788856],0
p2,1,0.06952,3.294327,[496  91] ; [78 23],[489.73546512  97.26453488] ; [84.26453488 16.73546512],0
a6,1,0.075732,3.154199,[413 175] ; [62 39],[405.3701016 182.6298984] ; [69.6298984 31.3701016],0
v3,1,0.093349,2.815658,[246 316] ; [34 64],[238.42424242 323.57575758] ; [41.57575758 56.42424242],0
a3,1,0.104608,2.633847,[425 163] ; [65 36],[418.1712627 169.8287373] ; [71.8287373 29.1712627],0
p8,1,0.112396,2.52021,[316 263] ; [46 54],[308.68630339 270.31369661] ; [53.31369661 46.68630339],0
n4,1,0.122547,2.384458,[473 118] ; [74 27],[467.1632948 123.8367052] ; [79.8367052 21.1632948],0
n5,1,0.141599,2.16049,[447 140] ; [70 31],[441.10319767 145.89680233] ; [75.89680233 25.10319767],0
v4,1,0.142296,2.15295,[577  14] ; [96  5],[574.77312139  16.22687861] ; [98.22687861  2.77312139],0
p7,1,0.148055,2.092177,[376 198] ; [58 42],[369.60830861 204.39169139] ; [64.39169139 35.60830861],0
n6,1,0.152303,2.04903,[491  97] ; [90 11],[495.83164006  92.16835994] ; [85.16835994 15.83164006],0
s5,1,0.153864,2.033519,[181 394] ; [23 72],[175.07462687 399.92537313] ; [28.92537313 66.07462687],0
s1,1,0.173324,1.853955,[ 21 562] ; [ 1 99],[ 18.77891654 564.22108346] ; [ 3.22108346 96.77891654],0
a1,1,0.230746,1.436258,[ 25 567] ; [ 7 94],[ 27.33621934 564.66378066] ; [ 4.66378066 96.33621934],0
s3,1,0.237774,1.393746,[317 266] ; [48 52],[311.55929722 271.44070278] ; [53.44070278 46.55929722],0
u2,1,0.328664,0.954155,[101  63] ; [19 17],[98.4 65.6] ; [21.6 14.4],0
b1,1,0.336691,0.922992,[229 363] ; [34 67],[224.66955267 367.33044733] ; [38.33044733 62.66955267],0
a8,1,0.437562,0.602668,[ 90 443] ; [13 82],[ 87.41878981 445.58121019] ; [15.58121019 79.41878981],0
p5,1,0.469814,0.522413,[ 67 517] ; [14 86],[ 69.15789474 514.84210526] ; [11.84210526 88.15789474],0
b3,1,0.483594,0.490748,[151 219] ; [22 39],[148.51508121 221.48491879] ; [24.48491879 36.51508121],0
b2,1,0.483594,0.490748,[151 219] ; [22 39],[148.51508121 221.48491879] ; [24.48491879 36.51508121],0
b4,1,0.495758,0.464005,[342 250] ; [62 39],[345.11976912 246.88023088] ; [58.88023088 42.11976912],0
p9,1,0.53091,0.39265,[486  96] ; [86 14],[488.12903226  93.87096774] ; [83.87096774 16.12903226],0
p12,1,0.583731,0.300242,[ 50 534] ; [ 7 94],[ 48.59562044 535.40437956] ; [ 8.40437956 92.59562044],0
p4,1,0.594442,0.28346,[350 235] ; [57 43],[347.58394161 237.41605839] ; [59.41605839 40.58394161],0
n2,1,0.6096,0.260758,[90 33] ; [18  5],[90.98630137 32.01369863] ; [17.01369863  5.98630137],0
p6,1,0.672249,0.178982,[204 376] ; [37 62],[205.86156112 374.13843888] ; [35.13843888 63.86156112],0
n3,1,0.693588,0.155228,[90 31] ; [18  5],[90.75 30.25] ; [17.25  5.75],0
u4,1,0.739579,0.110497,[ 15 577] ; [ 2 99],[ 14.52236652 577.47763348] ; [ 2.47763348 98.52236652],0
p3,1,0.746564,0.104441,[295 292] ; [49 52],[293.5 293.5] ; [50.5 50.5],0
n1,1,0.761362,0.092229,[48 74] ; [ 9 12],[48.62937063 73.37062937] ; [ 8.37062937 12.62937063],0
p11,1,0.854349,0.033699,[476 116] ; [82 19],[476.67532468 115.32467532] ; [81.32467532 19.67532468],0
p1,1,0.900227,0.015719,[ 50 536] ; [ 9 92],[ 50.32605531 535.67394469] ; [ 8.67394469 92.32605531],0
p10,1,0.903269,0.01477,[470 114] ; [81 19],[470.44444444 113.55555556] ; [80.55555556 19.44444444],0
r3,1,0.933384,0.006987,[581  11] ; [99  2],[580.89466089  11.10533911] ; [99.10533911  1.89466089],0
