Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,4.3e-05,16.732368,[ 99 206] ; [12  2],[106.12852665 198.87147335] ; [4.87147335 9.12852665],1
s5,1,0.000153,14.337486,[ 57 241] ; [9 6],[ 62.8370607 235.1629393] ; [ 3.1629393 11.8370607],1
p3,1,0.000582,11.833537,[ 79 226] ; [10  5],[ 84.828125 220.171875] ; [ 4.171875 10.828125],1
p1,1,0.00938,6.749095,[ 14 291] ; [ 3 12],[ 16.203125 288.796875] ; [ 0.796875 14.203125],0
n5,1,0.016354,5.764357,[190 112] ; [14  1],[194.34700315 107.65299685] ; [9.65299685 5.34700315],0
s6,1,0.022269,5.224623,[132 173] ; [11  4],[136.296875 168.703125] ; [6.703125 8.296875],0
n4,1,0.023076,5.162808,[198 107] ; [14  1],[202.0625 102.9375] ; [9.9375 5.0625],0
d2,1,0.032112,4.592522,[117 184] ; [10  5],[120.97151899 180.02848101] ; [6.02848101 8.97151899],0
a7,1,0.039556,4.236849,[200 103] ; [6 9],[196.28301887 106.71698113] ; [9.71698113 5.28301887],0
p10,1,0.044091,4.053063,[178 125] ; [12  2],[181.60883281 121.39116719] ; [8.39116719 5.60883281],0
v1,1,0.081211,3.040491,[113 188] ; [9 6],[116.20886076 184.79113924] ; [5.79113924 9.20886076],0
p9,1,0.086483,2.938652,[195 104] ; [13  2],[198.06369427 100.93630573] ; [9.93630573 5.06369427],0
r2,1,0.095926,2.772,[264  36] ; [11  4],[261.9047619  38.0952381] ; [13.0952381  1.9047619],0
d3,1,0.167089,1.90887,[189 114] ; [12  3],[191.51886792 111.48113208] ; [9.48113208 5.51886792],0
n6,1,0.179708,1.800035,[214  89] ; [13  2],[216.29245283  86.70754717] ; [10.70754717  4.29245283],0
v3,1,0.210024,1.571257,[ 75 220] ; [6 9],[ 77.08064516 217.91935484] ; [ 3.91935484 11.08064516],0
a4,1,0.235953,1.40461,[128 176] ; [ 4 11],[125.79310345 178.20689655] ; [6.20689655 8.79310345],0
p7,1,0.275666,1.188334,[107 193] ; [7 7],[108.91719745 191.08280255] ; [5.08280255 8.91719745],0
d1,1,0.279984,1.167167,[140 166] ; [9 6],[142.03738318 163.96261682] ; [6.96261682 8.03738318],0
b1,1,0.299661,1.075703,[122 184] ; [8 7],[123.92523364 182.07476636] ; [6.07476636 8.92523364],0
b2,1,0.309024,1.034843,[ 58 106] ; [6 6],[ 59.63636364 104.36363636] ; [4.36363636 7.63636364],0
b3,1,0.309024,1.034843,[ 58 106] ; [6 6],[ 59.63636364 104.36363636] ; [4.36363636 7.63636364],0
p2,1,0.34167,0.904156,[203 103] ; [11  3],[204.6375 101.3625] ; [9.3625 4.6375],0
p12,1,0.419373,0.652071,[  9 296] ; [ 1 14],[  9.53125 295.46875] ; [ 0.46875 14.53125],0
r3,1,0.424079,0.638984,[260  42] ; [14  1],[261.03470032  40.96529968] ; [12.96529968  2.03470032],0
p11,1,0.434216,0.611519,[194 112] ; [11  4],[195.42056075 110.57943925] ; [9.57943925 5.42056075],0
a8,1,0.435021,0.60938,[ 28 259] ; [ 2 10],[ 28.79598662 258.20401338] ; [ 1.20401338 10.79598662],0
a3,1,0.452722,0.563828,[194 110] ; [11  4],[195.36050157 108.63949843] ; [9.63949843 5.36050157],0
a6,1,0.472983,0.514999,[196 109] ; [11  4],[197.296875 107.703125] ; [9.703125 5.296875],0
r4,1,0.560194,0.339368,[224  82] ; [12  3],[224.97196262  81.02803738] ; [11.02803738  3.97196262],0
n3,1,0.563767,0.333223,[76 34] ; [1 1],[75.625 34.375] ; [1.375 0.625],0
s7,1,0.586016,0.29661,[ 65 226] ; [ 4 10],[ 65.83278689 225.16721311] ; [ 3.16721311 10.83278689],0
p6,1,0.58624,0.296255,[ 48 253] ; [ 3 11],[ 48.73333333 252.26666667] ; [ 2.26666667 11.73333333],0
n2,1,0.599785,0.275321,[75 36] ; [1 1],[74.65486726 36.34513274] ; [1.34513274 0.65486726],0
a5,1,0.600091,0.274859,[184 122] ; [8 7],[183.02803738 122.97196262] ; [8.97196262 6.02803738],0
a2,1,0.605252,0.267148,[ 57 249] ; [ 2 13],[ 56.24299065 249.75700935] ; [ 2.75700935 12.24299065],0
s2,1,0.645682,0.211387,[ 98 205] ; [ 4 11],[ 97.18867925 205.81132075] ; [ 4.81132075 10.18867925],0
v4,1,0.64968,0.206304,[254  47] ; [12  3],[253.37341772  47.62658228] ; [12.62658228  2.37341772],0
d4,1,0.716768,0.13161,[230  73] ; [12  3],[230.58490566  72.41509434] ; [11.41509434  3.58490566],0
v2,1,0.809015,0.058417,[127 165] ; [7 8],[127.45276873 164.54723127] ; [6.54723127 8.45276873],0
d5,1,0.849039,0.036231,[216  88] ; [11  4],[216.32601881  87.67398119] ; [10.67398119  4.32601881],0
u1,1,0.85432,0.033712,[ 36 270] ; [ 2 13],[ 36.22429907 269.77570093] ; [ 1.77570093 13.22429907],0
a1,1,0.855093,0.033352,[ 17 289] ; [ 1 14],[ 17.1588785 288.8411215] ; [ 0.8411215 14.1588785],0
s3,1,0.855235,0.033285,[128 174] ; [6 9],[127.65930599 174.34069401] ; [6.34069401 8.65930599],0
b5,1,0.868772,0.027297,[177 129] ; [9 6],[177.30841121 128.69158879] ; [8.69158879 6.30841121],0
u2,1,0.941977,0.005298,[52 56] ; [2 2],[52.07142857 55.92857143] ; [1.92857143 2.07142857],0
b4,1,0.991945,0.000102,[184 122] ; [9 6],[183.98130841 122.01869159] ; [9.01869159 5.98130841],0
r1,1,0.992978,7.7e-05,[203 101] ; [10  5],[202.98432602 101.01567398] ; [10.01567398  4.98432602],0
