Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,2e-06,22.373299,[53 64] ; [ 27 120],[35.45454545 81.54545455] ; [ 44.54545455 102.45454545],1
v1,1,3.7e-05,17.008075,[62 53] ; [ 43 106],[45.73863636 69.26136364] ; [59.26136364 89.73863636],1
r3,1,6.6e-05,15.925928,[113   6] ; [118  34],[101.43542435  17.56457565] ; [129.56457565  22.43542435],1
d5,1,0.000362,12.717685,[105  15] ; [106  47],[92.74725275 27.25274725] ; [118.25274725  34.74725275],1
s6,1,0.001072,10.698815,[77 42] ; [68 84],[63.67158672 55.32841328] ; [81.32841328 70.67158672],0
a7,1,0.001306,10.333438,[92 27] ; [90 63],[79.625 39.375] ; [102.375  50.625],0
d1,1,0.001485,10.096623,[75 45] ; [66 87],[61.97802198 58.02197802] ; [79.02197802 73.97802198],0
p9,1,0.004941,7.901086,[89 28] ; [89 60],[78.29323308 38.70676692] ; [99.70676692 49.29323308],0
r1,1,0.005224,7.800363,[92 27] ; [94 59],[81.375 37.625] ; [104.625  48.375],0
d4,1,0.007845,7.068432,[101  18] ; [109  44],[91.875 27.125] ; [118.125  34.875],0
n6,1,0.013098,6.155857,[98 22] ; [104  48],[89.11764706 30.88235294] ; [112.88235294  39.11764706],0
p10,1,0.02171,5.268861,[81 38] ; [82 69],[71.84074074 47.15925926] ; [91.15925926 59.84074074],0
s1,1,0.022668,5.193734,[  2 116] ; [ 12 140],[  6.11851852 111.88148148] ; [  7.88148148 144.11851852],0
p11,1,0.025946,4.959619,[84 36] ; [87 66],[75.16483516 44.83516484] ; [95.83516484 57.16483516],0
a5,1,0.029467,4.740111,[88 32] ; [93 60],[79.56043956 40.43956044] ; [101.43956044  51.56043956],0
s8,1,0.034318,4.478807,[44 76] ; [ 38 115],[36.04395604 83.95604396] ; [ 45.95604396 107.04395604],0
p2,1,0.037866,4.311013,[80 40] ; [83 70],[71.64835165 48.35164835] ; [91.35164835 61.64835165],0
p12,1,0.039033,4.259415,[ 11 108] ; [  5 147],[  7.02583026 111.97416974] ; [  8.97416974 143.02583026],0
p4,1,0.050691,3.818448,[50 70] ; [ 46 106],[42.35294118 77.64705882] ; [53.64705882 98.35294118],0
p6,1,0.056963,3.623669,[19 99] ; [ 13 139],[ 13.98518519 104.01481481] ; [ 18.01481481 133.98518519],0
n3,1,0.058276,3.585782,[28  9] ; [34 26],[23.64948454 13.35051546] ; [38.35051546 21.64948454],0
r4,1,0.058707,3.57355,[96 24] ; [107  46],[89.23076923 30.76923077] ; [113.76923077  39.23076923],0
v4,1,0.06167,3.491907,[107  13] ; [123  29],[101.47058824  18.52941176] ; [128.52941176  23.47058824],0
b1,1,0.067596,3.340446,[41 79] ; [69 84],[48.35164835 71.64835165] ; [61.64835165 91.35164835],0
d3,1,0.072961,3.21511,[81 39] ; [87 66],[73.84615385 46.15384615] ; [94.15384615 58.84615385],0
b5,1,0.098365,2.731854,[83 37] ; [91 62],[76.48351648 43.51648352] ; [97.51648352 55.48351648],0
s2,1,0.1177,2.447659,[53 65] ; [54 98],[46.76296296 71.23703704] ; [60.23703704 91.76296296],0
r2,1,0.119634,2.422102,[109  10] ; [129  22],[104.8962963  14.1037037] ; [133.1037037  17.8962963],0
d2,1,0.183117,1.772141,[62 56] ; [67 84],[56.58736059 61.41263941] ; [72.41263941 78.58736059],0
p1,1,0.186486,1.745163,[  6 114] ; [ 14 138],[  8.82352941 111.17647059] ; [ 11.17647059 140.82352941],0
n5,1,0.200958,1.635402,[72 47] ; [104  49],[77. 42.] ; [99. 54.],0
u1,1,0.231739,1.430154,[22 98] ; [ 20 133],[ 18.46153846 101.53846154] ; [ 23.53846154 129.46153846],0
s7,1,0.243386,1.360873,[44 69] ; [46 98],[39.57198444 73.42801556] ; [50.42801556 93.57198444],0
s4,1,0.252712,1.308248,[ 18 101] ; [ 31 120],[21.5962963 97.4037037] ; [ 27.4037037 123.5962963],0
s5,1,0.260224,1.267565,[32 80] ; [ 33 114],[28.10810811 83.89189189] ; [ 36.89189189 110.10810811],0
a8,1,0.331656,0.942419,[ 7 99] ; [ 15 134],[ 9.14509804 96.85490196] ; [ 12.85490196 136.14509804],0
a3,1,0.33616,0.92502,[84 36] ; [98 54],[80.29411765 39.70588235] ; [101.70588235  50.29411765],0
s3,1,0.528038,0.398166,[55 63] ; [65 87],[52.44444444 65.55555556] ; [67.55555556 84.44444444],0
u3,1,0.536004,0.382997,[22 14] ; [30 25],[20.57142857 15.42857143] ; [31.42857143 23.57142857],0
n2,1,0.568957,0.324432,[25 12] ; [39 24],[23.68 13.32] ; [40.32 22.68],0
p5,1,0.589419,0.291252,[  4 116] ; [  7 144],[  4.87084871 115.12915129] ; [  6.12915129 144.87084871],0
n1,1,0.6386,0.220578,[12 25] ; [23 39],[13.08080808 23.91919192] ; [21.91919192 40.08080808],0
b4,1,0.664264,0.188385,[73 47] ; [97 56],[74.72527473 45.27472527] ; [95.27472527 57.72527473],0
n4,1,0.668449,0.183422,[86 34] ; [106  47],[84.3956044 35.6043956] ; [107.6043956  45.3956044],0
a2,1,0.722667,0.125952,[24 96] ; [ 28 125],[22.85714286 97.14285714] ; [ 29.14285714 123.85714286],0
p3,1,0.769467,0.085892,[33 86] ; [ 40 113],[31.9375 87.0625] ; [ 41.0625 111.9375],0
b2,1,0.774336,0.082202,[25 42] ; [36 55],[25.86708861 41.13291139] ; [35.13291139 55.86708861],0
b3,1,0.774336,0.082202,[25 42] ; [36 55],[25.86708861 41.13291139] ; [35.13291139 55.86708861],0
a4,1,0.79455,0.067812,[54 66] ; [66 86],[52.94117647 67.05882353] ; [67.05882353 84.94117647],0
u2,1,0.799056,0.064806,[18 18] ; [26 29],[17.40659341 18.59340659] ; [26.59340659 28.40659341],0
u4,1,0.806187,0.060196,[  2 118] ; [  2 151],[  1.75824176 118.24175824] ; [  2.24175824 150.75824176],0
