Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.000197,13.857118,[32 24] ; [28 75],[21.13207547 34.86792453] ; [38.86792453 64.13207547],1
s6,1,0.001224,10.454424,[35 23] ; [37 71],[25.15662651 32.84337349] ; [46.84337349 61.15662651],0
s7,1,0.005401,7.739953,[24 31] ; [22 77],[16.42857143 38.57142857] ; [29.57142857 69.42857143],0
p2,1,0.009352,6.754422,[40 17] ; [53 55],[32.12727273 24.87272727] ; [60.87272727 47.12727273],0
p3,1,0.013221,6.13923,[24 32] ; [26 82],[17.07317073 38.92682927] ; [32.92682927 75.07317073],0
r1,1,0.033511,4.519472,[43 13] ; [65 43],[36.87804878 19.12195122] ; [71.12195122 36.87804878],0
r2,1,0.03476,4.456902,[52  5] ; [82 23],[47.14814815  9.85185185] ; [86.85185185 18.14814815],0
p9,1,0.076122,3.145821,[33 23] ; [46 58],[27.65 28.35] ; [51.35 52.65],0
r3,1,0.079555,3.073977,[46 10] ; [75 33],[41.31707317 14.68292683] ; [79.68292683 28.31707317],0
p10,1,0.099693,2.710441,[28 29] ; [38 68],[23.0797546 33.9202454] ; [42.9202454 63.0797546],0
n3,1,0.123194,2.376235,[13  5] ; [24 23],[10.24615385  7.75384615] ; [26.75384615 20.24615385],0
p6,1,0.140587,2.171518,[15 41] ; [18 88],[11.40740741 44.59259259] ; [21.59259259 84.40740741],0
p4,1,0.159456,1.979375,[25 33] ; [34 72],[20.86585366 37.13414634] ; [38.13414634 67.86585366],0
a5,1,0.17214,1.864207,[37 21] ; [57 51],[32.84337349 25.15662651] ; [61.15662651 46.84337349],0
r4,1,0.179222,1.80406,[41 17] ; [65 43],[37.03614458 20.96385542] ; [68.96385542 39.03614458],0
n5,1,0.193293,1.692335,[38 18] ; [62 46],[34.14634146 21.85365854] ; [65.85365854 42.14634146],0
a4,1,0.197456,1.661094,[25 32] ; [36 71],[21.20121951 35.79878049] ; [39.79878049 67.20121951],0
n4,1,0.204119,1.612654,[38 19] ; [61 47],[34.2 22.8] ; [64.8 43.2],0
p8,1,0.210539,1.567717,[21 36] ; [29 77],[17.48466258 39.51533742] ; [32.51533742 73.48466258],0
v3,1,0.226096,1.465256,[19 35] ; [27 77],[15.72151899 38.27848101] ; [30.27848101 73.72151899],0
p7,1,0.230445,1.438115,[27 28] ; [42 65],[23.42592593 31.57407407] ; [45.57407407 61.42592593],0
n6,1,0.234412,1.413888,[38 18] ; [63 45],[34.48780488 21.51219512] ; [66.51219512 41.48780488],0
