Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.01123,6.428571,[ 8 16] ; [24 12],[12.8 11.2] ; [19.2 16.8],0
s4,1,0.012298,6.267361,[ 1 23] ; [11 25],[ 4.8 19.2] ; [ 7.2 28.8],0
p9,1,0.049093,3.872181,[10 14] ; [23 11],[13.65517241 10.34482759] ; [19.34482759 14.65517241],0
d4,1,0.052808,3.75,[18  6] ; [18 18],[14.4  9.6] ; [21.6 14.4],0
r3,1,0.079167,3.081922,[19  5] ; [20 15],[15.86440678  8.13559322] ; [23.13559322 11.86440678],0
a7,1,0.113846,2.5,[15  9] ; [15 21],[12. 12.] ; [18. 18.],0
n6,1,0.128995,2.304553,[11 13] ; [23 12],[13.83050847 10.16949153] ; [20.16949153 14.83050847],0
p10,1,0.138193,2.197968,[ 9 15] ; [20 15],[11.79661017 12.20338983] ; [17.20338983 17.79661017],0
n3,1,0.141326,2.163462,[9 3] ; [6 7],[7.2 4.8] ; [7.8 5.2],0
d3,1,0.166767,1.911765,[13 11] ; [13 23],[10.4 13.6] ; [15.6 20.4],0
v2,1,0.181376,1.786313,[ 5 19] ; [13 22],[ 7.3220339 16.6779661] ; [10.6779661 24.3220339],0
d2,1,0.223543,1.481481,[ 4 20] ; [11 25],[ 6. 18.] ; [ 9. 27.],0
p11,1,0.285049,1.142857,[12 12] ; [23 13],[14. 10.] ; [21. 15.],0
b4,1,0.285049,1.142857,[16  8] ; [19 17],[14. 10.] ; [21. 15.],0
r1,1,0.300623,1.071429,[ 9 15] ; [ 9 27],[ 7.2 16.8] ; [10.8 25.2],0
u3,1,0.314069,1.013488,[4 9] ; [ 3 16],[ 2.84375 10.15625] ; [ 4.15625 14.84375],0
p12,1,0.333393,0.935673,[ 2 22] ; [ 1 35],[ 1.2 22.8] ; [ 1.8 34.2],0
a8,1,0.339816,0.911125,[ 2 21] ; [ 6 28],[ 3.22807018 19.77192982] ; [ 4.77192982 29.22807018],0
s1,1,0.340356,0.909091,[ 1 23] ; [ 4 32],[ 2. 22.] ; [ 3. 33.],0
d1,1,0.429195,0.625,[ 6 18] ; [ 6 30],[ 4.8 19.2] ; [ 7.2 28.8],0
s6,1,0.439231,0.598291,[ 7 17] ; [14 22],[ 8.4 15.6] ; [12.6 23.4],0
v4,1,0.456567,0.554299,[15  9] ; [19 17],[13.6 10.4] ; [20.4 15.6],0
p6,1,0.492654,0.470725,[ 3 20] ; [ 7 28],[ 3.96551724 19.03448276] ; [ 6.03448276 28.96551724],0
p2,1,0.515428,0.423032,[16  8] ; [21 15],[14.8  9.2] ; [22.2 13.8],0
p1,1,0.526168,0.401786,[ 1 23] ; [ 3 33],[ 1.6 22.4] ; [ 2.4 33.6],0
a4,1,0.542802,0.37037,[ 5 19] ; [10 26],[ 6. 18.] ; [ 9. 27.],0
a1,1,0.598161,0.277778,[ 3 21] ; [ 3 33],[ 2.4 21.6] ; [ 3.6 32.4],0
p3,1,0.603393,0.269909,[ 5 18] ; [10 26],[ 5.84745763 17.15254237] ; [ 9.15254237 26.84745763],0
s3,1,0.64698,0.209729,[ 7 16] ; [ 9 27],[ 6.23728814 16.76271186] ; [ 9.76271186 26.23728814],0
a5,1,0.67174,0.179574,[10 14] ; [17 19],[10.8 13.2] ; [16.2 19.8],0
p8,1,0.679329,0.170882,[ 7 17] ; [12 23],[ 7.72881356 16.27118644] ; [11.27118644 23.72881356],0
b2,1,0.693012,0.155844,[ 4 10] ; [ 5 17],[ 3.5 10.5] ; [ 5.5 16.5],0
b3,1,0.693012,0.155844,[ 4 10] ; [ 5 17],[ 3.5 10.5] ; [ 5.5 16.5],0
v1,1,0.720681,0.127841,[ 7 17] ; [ 9 27],[ 6.4 17.6] ; [ 9.6 26.4],0
b1,1,0.746886,0.104167,[15  9] ; [21 15],[14.4  9.6] ; [21.6 14.4],0
n1,1,0.748233,0.103022,[3 9] ; [4 9],[3.36 8.64] ; [3.64 9.36],0
p7,1,0.749668,0.10181,[11 13] ; [15 21],[10.4 13.6] ; [15.6 20.4],0
s5,1,0.767837,0.087146,[ 4 20] ; [ 5 31],[ 3.6 20.4] ; [ 5.4 30.6],0
s8,1,0.767837,0.087146,[ 4 20] ; [ 5 31],[ 3.6 20.4] ; [ 5.4 30.6],0
a2,1,0.769056,0.086207,[ 1 23] ; [ 1 35],[ 0.8 23.2] ; [ 1.2 34.8],0
s2,1,0.803189,0.062112,[ 6 18] ; [ 8 28],[ 5.6 18.4] ; [ 8.4 27.6],0
n2,1,0.821348,0.050991,[7 5] ; [7 6],[6.72 5.28] ; [7.28 5.72],0
p4,1,0.829638,0.046296,[10 14] ; [14 22],[ 9.6 14.4] ; [14.4 21.6],0
b5,1,0.831547,0.045249,[14 10] ; [20 16],[13.6 10.4] ; [20.4 15.6],0
d5,1,0.832937,0.044494,[12 12] ; [17 19],[11.6 12.4] ; [17.4 18.6],0
a3,1,0.83609,0.042806,[11 13] ; [17 18],[11.38983051 12.61016949] ; [16.61016949 18.38983051],0
r4,1,0.895173,0.017361,[ 5 19] ; [ 7 29],[ 4.8 19.2] ; [ 7.2 28.8],0
a6,1,0.91563,0.011223,[11 13] ; [16 20],[10.8 13.2] ; [16.2 19.8],0
u2,1,0.946088,0.004573,[7 6] ; [10  9],[6.90625 6.09375] ; [10.09375  8.90625],0
p5,1,0.974266,0.001041,[ 2 22] ; [ 3 32],[ 2.03389831 21.96610169] ; [ 2.96610169 32.03389831],0
s7,1,1.0,0.0,[ 4 18] ; [ 6 27],[ 4. 18.] ; [ 6. 27.],0
