Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.009955,6.642979,[11  6] ; [12 30],[ 6.62711864 10.37288136] ; [16.37288136 25.62711864],0
p9,1,0.014524,5.973333,[14  2] ; [21 19],[10.  6.] ; [25. 15.],0
p11,1,0.021956,5.249265,[14  3] ; [21 21],[10.08474576  6.91525424] ; [24.91525424 17.08474576],0
r4,1,0.024009,5.093955,[ 7 10] ; [ 6 36],[ 3.74576271 13.25423729] ; [ 9.25423729 32.74576271],0
s8,1,0.024009,5.093955,[ 7 10] ; [ 6 36],[ 3.74576271 13.25423729] ; [ 9.25423729 32.74576271],0
r3,1,0.028264,4.811912,[15  2] ; [24 17],[11.43103448  5.56896552] ; [27.56896552 13.43103448],0
a5,1,0.03614,4.390475,[12  5] ; [17 25],[8.3559322 8.6440678] ; [20.6440678 21.3559322],0
p10,1,0.05094,3.810234,[12  4] ; [19 22],[8.70175439 7.29824561] ; [22.29824561 18.70175439],0
u2,1,0.059635,3.547513,[7 2] ; [ 8 12],[4.65517241 4.34482759] ; [10.34482759  9.65517241],0
v4,1,0.062392,3.47263,[13  4] ; [21 21],[9.79661017 7.20338983] ; [24.20338983 17.79661017],0
p4,1,0.071054,3.258497,[10  7] ; [14 28],[ 6.91525424 10.08474576] ; [17.08474576 24.91525424],0
p2,1,0.088018,2.910257,[13  4] ; [22 20],[10.08474576  6.91525424] ; [24.91525424 17.08474576],0
n3,1,0.180812,1.790936,[5 1] ; [10  9],[3.6 2.4] ; [11.4  7.6],0
p3,1,0.18401,1.764937,[ 6 11] ; [ 8 34],[ 4.03389831 12.96610169] ; [ 9.96610169 32.03389831],0
n6,1,0.195807,1.673379,[13  4] ; [24 17],[10.84482759  6.15517241] ; [26.15517241 14.84482759],0
b4,1,0.222483,1.48828,[8 9] ; [27 15],[10.08474576  6.91525424] ; [24.91525424 17.08474576],0
n2,1,0.257757,1.280763,[5 1] ; [11  8],[3.84 2.16] ; [12.16  6.84],0
